"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LMSPW","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1171",-3.57776231524971,NA,3.2600898872282,NA,NA,1.21263679184291,NA,NA,-2.78495248916142,NA,NA,4.66368415154133,NA,NA,5,-87.0955777453613,184.548298347865,0,0.00784555042001359
"1155",-3.30703011639481,NA,3.8389738469979,NA,NA,NA,NA,NA,-2.69352160779801,NA,NA,4.7213934130979,NA,NA,4,-88.2628813628187,184.76244911617,0.214150768304506,0.00704889707596256
"5267",-3.33141975818688,NA,3.37124895375396,NA,NA,1.17069612488489,NA,NA,-2.70023880044632,NA,NA,4.63388094794318,NA,-0.853490869433625,6,-86.4008718798698,185.304737771716,0.756439423850225,0.005374829398451
"5251",-3.05941570951248,NA,3.9620600158322,NA,NA,NA,NA,NA,-2.61180709729781,NA,NA,4.66251489876039,NA,-0.902121934653742,5,-87.479277455503,185.315697768149,0.767399420283454,0.00534545589980107
"1219",-3.80853481926039,NA,3.20799854095387,NA,NA,NA,NA,1.64001166031247,-2.80196993793248,NA,NA,4.74985982578988,NA,NA,5,-87.5681932976279,185.493529452399,0.945231104533264,0.00489067824044019
"1163",-2.8922980513419,NA,3.75531933977134,NA,-0.859320830518,NA,NA,NA,-2.58656430268018,NA,NA,4.7360355727138,NA,NA,5,-87.6403115853501,185.637766027843,1.08946767997767,0.00455038891722527
"1203",-4.15046276742901,NA,3.69355992675684,NA,NA,1.27948633754825,0.932963851001844,NA,-2.96739714679537,NA,NA,4.52597746935181,NA,NA,6,-86.5791834723764,185.661360956729,1.11306260886332,0.0044970212861134
"7299",-3.84892735399002,NA,3.83893227156552,NA,NA,NA,NA,NA,-2.65596094817318,NA,NA,5.15971069473538,1.38110662970839,-1.11019702741115,6,-86.5957652008217,185.694524413619,1.14622606575395,0.00442306773367225
"1235",-3.965023999272,NA,2.75074974080348,NA,NA,1.11401380521845,NA,1.40152472525992,-2.88621615258574,NA,NA,4.68500582673296,NA,NA,6,-86.6003971364172,185.70378828481,1.15548993694489,0.00440262774369874
"3203",-3.95421294485765,NA,3.72788076623506,NA,NA,NA,NA,NA,-2.75668020862343,NA,NA,5.10467100425913,1.0650310175257,NA,5,-87.7153936248716,185.787930106886,1.2396317590206,0.00422124735489851
"1175",-4.19733777102186,NA,3.41130259484573,0.858594477655021,NA,1.26532874407426,NA,NA,-2.72595821178909,NA,NA,4.70283937911689,NA,NA,6,-86.6445107428667,185.79201549771,1.24371714984403,0.00421263343309941
"1195",-3.4635524378021,NA,4.37226781296944,NA,-1.2744035757098,NA,1.35494093509777,NA,-2.80921609155183,NA,NA,4.50294693395102,NA,NA,6,-86.6901579887867,185.883309989549,1.33501164168393,0.00402466116520851
"3219",-4.10770557120608,NA,3.20686995178348,NA,NA,1.13535176752489,NA,NA,-2.82050751800977,NA,NA,4.98685199977193,0.897164436771528,NA,6,-86.7285406586146,185.960075329205,1.4117769813397,0.00387311098011835
"1227",-3.40537742427329,NA,3.01965809921395,NA,-0.993158598766099,NA,NA,1.88152669099028,-2.70918614919031,NA,NA,4.78140979423583,NA,NA,6,-86.7577449475357,186.018483907048,1.47018555918206,0.00376163523588983
"1179",-3.24615725400117,NA,3.26320675057293,NA,-0.624424978923588,1.07582139776048,NA,NA,-2.70929384167913,NA,NA,4.69655756637702,NA,NA,6,-86.7871599305129,186.077313873002,1.52901552513634,0.00365259832078355
"5315",-3.56831102015239,NA,3.30954583898511,NA,NA,NA,NA,1.66948697493285,-2.72740300468021,NA,NA,4.69892290787576,NA,-0.898102787226552,6,-86.7884306240269,186.07985526003,1.53155691216446,0.0036479599353951
