"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"130",-1.70014445997172,6.58956449666336,NA,NA,NA,NA,NA,NA,-4.57164997035829,NA,NA,NA,NA,3,-90.6747203674948,187.488975618711,0,0.0163432007301487
"134",-2.53380435974116,6.82865487509251,NA,1.35723324175016,NA,NA,NA,NA,-4.67683873833965,NA,NA,NA,NA,4,-89.8418465158077,187.91761116027,0.428635541559714,0.0131904645053489
"146",-1.0177006785684,6.02726874384054,NA,NA,NA,-0.907346415562655,NA,NA,-4.53888745717784,NA,NA,NA,NA,4,-89.9851668033691,188.204251735393,0.715276116682617,0.0114292275549186
"142",-2.16051254015283,6.71152262437233,NA,1.60480823789409,-0.993995597538007,NA,NA,NA,-4.60318321333835,NA,NA,NA,NA,5,-88.9949178655416,188.342776907554,0.853801288843073,0.0106644023183925
"138",-1.29351629545896,6.47379310379427,NA,NA,-0.802704709619806,NA,NA,NA,-4.47959032828292,NA,NA,NA,NA,4,-90.1065940897307,188.447106308116,0.958130689405721,0.0101223576760214
"162",-2.33874747043242,7.02589530622414,NA,NA,NA,NA,1.08005801552431,NA,-5.23324238780271,NA,NA,NA,NA,4,-90.21715707722,188.668232283095,1.17925666438427,0.00906284982826333
"150",-1.84583814261888,6.27579367012897,NA,1.30299761063976,NA,-0.851406589430289,NA,NA,-4.65320376413566,NA,NA,NA,NA,5,-89.2376712485697,188.82828367361,1.33930805489931,0.00836584985588901
"1154",-2.10226758872562,6.67168589048099,NA,NA,NA,NA,NA,NA,-4.61760837623741,NA,NA,0.710165202264466,NA,4,-90.3814309924083,188.996780113472,1.50780449476096,0.0076899148142605
"178",-1.69420444781851,6.47264851573638,NA,NA,NA,-1.01514150340844,1.27310809365546,NA,-5.30022192497127,NA,NA,NA,NA,5,-89.3686861894796,189.09031355543,1.6013379367192,0.00733856254585133
"166",-3.1965957791082,7.29639029724402,NA,1.35625406146565,NA,NA,1.09210807611985,NA,-5.34084935016797,NA,NA,NA,NA,5,-89.384353698785,189.121648574041,1.63267295532992,0.00722448156491151
"174",-2.92287226355301,7.27086435284526,NA,1.61553287253532,-1.11502755065723,NA,1.34017710575713,NA,-5.39857229415735,NA,NA,NA,NA,6,-88.334846313602,189.166734047322,1.67775842861175,0.00706344391385601
"386",-1.92368888653034,6.67927095809367,NA,NA,NA,NA,NA,NA,-4.6473967076849,0.506001190693576,NA,NA,NA,4,-90.5203009038694,189.274519936394,1.78554431768319,0.00669285001427597
"170",-1.99535856602623,6.97720844586781,NA,NA,-0.932471892763981,NA,1.30093283296848,NA,-5.26096890474603,NA,NA,NA,NA,5,-89.4677890484822,189.288519273435,1.79954365472432,0.00664616586012904
"642",-1.59964542284735,6.4972986608398,NA,NA,NA,NA,NA,NA,-4.31946471722351,NA,-0.381954836111821,NA,NA,4,-90.5579552306341,189.349828589923,1.86085297121247,0.00644552097923457
"132",-1.71946331699868,6.68344339190888,0.222087433903928,NA,NA,NA,NA,NA,-4.73801300117308,NA,NA,NA,NA,4,-90.5707640628528,189.37544625436,1.88647063564989,0.006363487878132
"1158",-2.96233831641399,6.92141520322425,NA,1.37304493604542,NA,NA,NA,NA,-4.73330201201514,NA,NA,0.738380928510137,NA,5,-89.5273347796895,189.40761073585,1.91863511713905,0.00626196726168308
"2178",-1.64674796913063,6.64984173234331,NA,NA,NA,NA,NA,NA,-4.52495246109475,NA,NA,NA,-0.25060656205689,4,-90.6070712209213,189.448060570498,1.95908495178693,0.00613659162119654
"390",-2.90754352567435,6.9888533638412,NA,1.46082750910325,NA,NA,NA,NA,-4.7950962309581,0.679758026618605,NA,NA,NA,5,-89.5759484094788,189.504837995428,2.01586237671751,0.005964831249308
"194",-1.61102112365955,6.82150481321686,NA,NA,NA,NA,NA,-0.400963422970829,-4.56130790315365,NA,NA,NA,NA,4,-90.6410121489738,189.515942426603,2.02696680789202,0.00593180498956921
"154",-0.810698260391299,6.03058462303149,NA,NA,-0.626137175418362,-0.756502779297113,NA,NA,-4.47809160153631,NA,NA,NA,NA,5,-89.6627337084154,189.678408593301,2.18943297459086,0.00546899825925716
"136",-2.60946074019983,6.9756300412851,0.295432977906908,1.42880634665154,NA,NA,NA,NA,-4.89881133521908,NA,NA,NA,NA,5,-89.6643869848757,189.681715146222,2.19273952751141,0.00545996396332605
"646",-2.43075204769425,6.71584534380647,NA,1.39548051081851,NA,NA,NA,NA,-4.38350788358921,NA,-0.453487009295477,NA,NA,5,-89.6806335052025,189.714208186876,2.2252325681649,0.00537197523848845
"182",-2.53360897160245,6.74689553172065,NA,1.29160919759274,NA,-0.956913782853944,1.27075590844995,NA,-5.40778578624761,NA,NA,NA,NA,6,-88.6345998433914,189.766241106901,2.27726548819055,0.0052340178226591
"198",-2.42133049324831,7.29716720872322,NA,1.44804519502752,NA,NA,NA,-0.767965334454197,-4.66604791390122,NA,NA,NA,NA,5,-89.7229747703857,189.798890717242,2.30991509853129,0.00514926715269116
"144",-2.22679753740637,6.89705420521795,0.401194495413894,1.73004838028141,-1.0853922796824,NA,NA,NA,-4.90244730296549,NA,NA,NA,NA,6,-88.683315421316,189.86367226275,2.37469664403972,0.0049851506885267
"158",-1.70765002755167,6.32186040767298,NA,1.51122014299584,-0.824266318095501,-0.625193099305967,NA,NA,-4.60273683773425,NA,NA,NA,NA,6,-88.7005227395782,189.898086899275,2.40911128056413,0.004900103430138
