"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"587",-3.04004112508918,NA,-2.48601899085268,NA,-1.56093463025452,NA,NA,3.88368444627817,NA,NA,5.80716191165862,NA,NA,5,-90.7551512373844,191.863243651239,0,0.0183167617745005
"603",-2.29166168436896,NA,-2.4942315316993,NA,-1.28490971205332,-1.11378953858065,NA,3.31540259550973,NA,NA,5.67337670823842,NA,NA,6,-89.7252065191178,191.947454458354,0.0842108071145162,0.0175615381973599
"595",-2.61950562231407,NA,-2.43542754582992,NA,NA,-1.41490575764701,NA,2.92899393498657,NA,NA,5.68647462718024,NA,NA,5,-91.0555732552666,192.464087687004,0.600844035764368,0.0135636655490185
"715",-3.53364659896715,NA,-2.71989786264477,NA,-1.54683606542161,NA,NA,3.92843365017809,1.10830529472089,NA,6.07107451245676,NA,NA,6,-90.0693376178624,192.635716655843,0.772473004603739,0.0124482503921779
"731",-2.7927578260895,NA,-2.73154949675476,NA,-1.2440496292838,-1.14524115075589,NA,3.34516516211441,1.14751464231246,NA,5.93582706091701,NA,NA,7,-89.0034263495689,192.673519365804,0.81027571456508,0.0122151712872136
"723",-3.13089635889281,NA,-2.68293049341027,NA,NA,-1.46393235265334,NA,2.96266309093025,1.2156896283099,NA,5.97108285824404,NA,NA,6,-90.2445346900478,192.986110800214,1.12286714897445,0.0104477120316701
"604",-2.21067491117798,0.514919549357997,-2.88200539805618,NA,-1.43132024903418,-1.16947212485711,NA,3.48908613229474,NA,NA,5.72897978420117,NA,NA,7,-89.2456198718972,193.157906410461,1.29466275922158,0.00958774005755588
"588",-2.98602105438597,0.45408147388274,-2.84092857078751,NA,-1.68418031172461,NA,NA,4.04044628552029,NA,NA,5.84628552792771,NA,NA,6,-90.3693807908177,193.235803001754,1.37255935051431,0.00922149257845285
"635",-2.89208565615148,NA,-2.85530571892164,NA,-1.430308512471,-1.17106873154696,0.992162651062067,3.55550053745483,NA,NA,5.89041366487597,NA,NA,7,-89.3620230125552,193.390712691777,1.52746904053765,0.00853420379054546
"591",-3.39484577355745,NA,-2.51199269299849,0.77918281581507,-1.66657759553224,NA,NA,3.83864523718158,NA,NA,5.82203272138029,NA,NA,6,-90.4791965494286,193.455434518976,1.59219086773615,0.00826244997519692
"619",-3.56593323375457,NA,-2.79271618226424,NA,-1.70080243732849,NA,0.827240423753763,4.1030293432934,NA,NA,5.99830285750577,NA,NA,6,-90.4914228633235,193.479887146765,1.61664349552603,0.0081620457060369
"1611",-3.45416439504359,NA,-2.53988387417397,NA,-1.47540463005567,NA,NA,3.80568459320286,NA,NA,5.99741209927089,0.669920857777888,NA,6,-90.4934146106535,193.483870641425,1.62062699018603,0.0081458051522034
"607",-2.63748385793453,NA,-2.51987921533657,0.729379639043256,-1.38182960784099,-1.0958494454234,NA,3.27732377002244,NA,NA,5.69473596596284,NA,NA,7,-89.4886000803833,193.643866827433,1.78062317619384,0.00751954023019959
"1627",-2.6720408653057,NA,-2.54045174293546,NA,-1.20599330826682,-1.08753022949458,NA,3.25668318347488,NA,NA,5.83730576557844,0.586595361567931,NA,7,-89.5340969730705,193.734860612808,1.87161696156826,0.00718509041857279
"1619",-3.09228274962557,NA,-2.49650462242376,NA,NA,-1.37939185092874,NA,2.87055731005097,NA,NA,5.91042488399735,0.786471503485395,NA,6,-90.6875531547562,193.872147729631,2.00890407839128,0.00670842732281522
"2635",-2.97320966079849,NA,-2.4481496054326,NA,-1.58315159431129,NA,NA,3.90661307317355,NA,NA,5.81020901967952,NA,-0.207030818513548,6,-90.7078842360286,193.912809892175,2.04956624093609,0.00657341486692852
"979",-3.44171289258074,NA,-1.90317296139688,NA,NA,-1.33580671700189,NA,3.20218788895876,1.82878352782738,-1.21315940699013,5.96762248364366,NA,NA,7,-89.6282078527405,193.923082372148,2.05983872090826,0.00653973878888708
"843",-3.02117526763374,NA,-2.62925874734444,NA,-1.61748373351116,NA,NA,3.87578227298958,NA,0.182578117948881,5.82380461000461,NA,NA,6,-90.7380769763032,193.973195372725,2.10995172148543,0.00637791169884594
"579",-3.72717029734538,NA,-2.43597765715813,NA,NA,NA,NA,3.57017121219841,NA,NA,5.92969027491231,NA,NA,4,-92.883439321125,194.000796770905,2.13755311966565,0.00629049664053782
"2651",-2.22424107634406,NA,-2.45657798831151,NA,-1.30577521523926,-1.11301277040043,NA,3.33648684736116,NA,NA,5.67514552092475,NA,-0.206173865581157,7,-89.6785788599132,194.023824386493,2.16058073525369,0.00621848443418088
"859",-2.2615923755627,NA,-2.68974834229078,NA,-1.35696034004185,-1.12395389852617,NA,3.29906805623441,NA,0.249368473459993,5.69798804970123,NA,NA,7,-89.6938711419777,194.054408950622,2.19116529938273,0.0061241130323336
"719",-3.94528904567262,NA,-2.76246254903501,0.854434202212921,-1.66488690815179,NA,NA,3.8866375677781,1.15650136122058,NA,6.10094212073015,NA,NA,7,-89.7398837622536,194.146434191174,2.28319053993442,0.00584871111426424
"732",-2.68157480457755,0.446257597800995,-3.04819746309079,NA,-1.37080384946906,-1.18824215306915,NA,3.48649989234156,1.05325327914083,NA,5.96328797168001,NA,NA,8,-88.6482735181166,194.158822485335,2.29557883409558,0.00581259530617686
"596",-2.62958530189624,0.33440728987113,-2.67425146942131,NA,NA,-1.45750863656228,NA,3.04045815802218,NA,NA,5.74726449623188,NA,NA,6,-90.8367760989523,194.170593618023,2.30734996678345,0.00577848536748914
"716",-3.4513600963126,0.389602877034777,-3.00690299169942,NA,-1.64943503219457,NA,NA,4.05275005263123,1.02734667266468,NA,6.08862795612467,NA,NA,7,-89.7899059785686,194.246478623804,2.38323497256448,0.00556334250894977
"735",-3.20263513819612,NA,-2.77641438570735,0.820543498445221,-1.35423319741369,-1.13191834126767,NA,3.30646547744412,1.20111291104012,NA,5.97520138412077,NA,NA,8,-88.7066858720739,194.27564719325,2.41240354201017,0.00548279393716849
"977",-4.31304551009042,NA,NA,NA,NA,-1.22509750729269,NA,3.23777833497069,2.06716980791686,-2.22840964369682,6.33282051215432,NA,NA,6,-90.9254702792132,194.347981978545,2.48473832730539,0.00528803869976872
"627",-2.97444895704511,NA,-2.62238904334261,NA,NA,-1.47158404524904,0.547054528338322,3.02936684131357,NA,NA,5.82166281040926,NA,NA,6,-90.9356357499238,194.368312919966,2.50506926872663,0.0052345555982641
"599",-2.82144405505698,NA,-2.44216328767706,0.394667367012462,NA,-1.42269227382572,NA,2.88960566485634,NA,NA,5.70167400986846,NA,NA,6,-90.9825797040901,194.462200828299,2.59895717705922,0.00499450344155517
"971",-3.75691435627629,NA,-2.28037723852771,NA,-1.3393593487067,NA,NA,3.98178807817351,1.46035329498947,-0.668518311634922,6.09499552778374,NA,NA,7,-89.9126176360005,194.491901938668,2.62865828742821,0.00492088031776767
"851",-2.63418326880116,NA,-2.20486599243128,NA,NA,-1.3780345015364,NA,2.97950651637265,NA,-0.300651595124247,5.65052244072689,NA,NA,6,-91.0039420617976,194.504925543713,2.64168189247405,0.00488894062225735
"1739",-3.80364509374401,NA,-2.74443097449039,NA,-1.48442549608097,NA,NA,3.87075581770367,1.02098574625822,NA,6.18490156404255,0.502038177324985,NA,7,-89.928339353503,194.523345373673,2.66010172243332,0.00484412060586788
"2643",-2.58665503468815,NA,-2.41324294129524,NA,NA,-1.41791146312648,NA,2.93635914647292,NA,NA,5.68843131430215,NA,-0.110461066445006,6,-91.041776241104,194.580593902326,2.71735025108686,0.00470742692837885
"987",-3.00009091591114,NA,-2.33532925918402,NA,-1.06239350223457,-1.1291690332386,NA,3.40165982552695,1.46435050845115,-0.602195833888555,5.94860693338993,NA,NA,8,-88.8782921955185,194.618859840139,2.75561618889941,0.0046182160314282
"763",-3.09100451648698,NA,-2.91173890839388,NA,-1.33726660979577,-1.17906086266032,0.603199784180069,3.48494571321857,0.987730628644479,NA,6.03526675238594,NA,NA,8,-88.8855852297864,194.633445908675,2.7702022574351,0.00458465774326979
"2763",-3.45690535816726,NA,-2.68085545415715,NA,-1.57537887831614,NA,NA,3.95884835732606,1.13843901003293,NA,6.08174846286838,NA,-0.270275976931383,7,-89.9898649650136,194.646396596694,2.7831529454545,0.00455506641761917
"747",-3.75456095650632,NA,-2.84813308582689,NA,-1.62006487559565,NA,0.425704066285042,4.03518320087392,0.989394734786468,NA,6.14443365085483,NA,NA,7,-90.008573362276,194.683813391219,2.82056973997922,0.00447064062360243
"1755",-3.02792037654215,NA,-2.75296922780842,NA,-1.19149399095267,-1.12742087488187,NA,3.30537816330579,1.08052807811411,NA,6.02824757756322,0.413045970228708,NA,8,-88.9125026794475,194.687280807997,2.82403715675736,0.00446289655137
"707",-4.22822989258094,NA,-2.66376390368083,NA,NA,NA,NA,3.61943207779345,1.12243016713711,NA,6.19627251691521,NA,NA,5,-92.1734146255324,194.699770427535,2.8365267762959,0.00443511345176226
"2779",-2.7150187221112,NA,-2.6932034159393,NA,-1.27119696991551,-1.14316310911098,NA,3.37392090958181,1.17497104146905,NA,5.94269356127493,NA,-0.265997335701453,8,-88.9267656260322,194.715806701166,2.85256304992683,0.00439969429290419
