"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"10543",-3.25505954672628,NA,4.2722786893431,1.89010273887511,-2.94147895497137,NA,2.526249636454,NA,NA,-3.01717096394227,NA,NA,2.99532848583705,NA,-1.75277967253929,8,-79.688630804376,176.249988881479,0,0.0149163366764319
"14639",-3.87218642505221,NA,4.13034559691997,1.76761047640776,-2.84770139464874,NA,2.58561371523052,NA,NA,-3.0865474060286,NA,NA,3.26656236627741,1.27824753502434,-1.95144966143631,9,-79.060234984197,177.218030944004,0.968042062524376,0.00919294187664948
"10511",-2.38106871627312,NA,3.52857095188214,1.95699632221968,-2.15434148275851,NA,NA,NA,NA,-2.66833509215181,NA,NA,3.27174776778185,NA,-1.9262526828837,7,-81.3669246647087,177.408548124598,1.1585592431187,0.00835765104383989
"10671",-3.72066754475875,NA,3.74079931193924,1.80739013647296,-3.1503606781226,NA,2.75582219717437,NA,1.50701341712838,-3.13302891028539,NA,NA,3.02956924799491,NA,-1.719357148006,9,-79.2072214637274,177.512003903065,1.2620150215852,0.00793631865887946
"10559",-3.55861476555693,NA,3.89317367439539,1.9807896477784,-2.7299111452334,0.860671995968523,2.48443542402257,NA,NA,-3.13683015071771,NA,NA,2.89561273449065,NA,-1.72377012348116,9,-79.2142124904915,177.525985956593,1.27599707511337,0.0078810291331908
"10539",-1.90938927912224,NA,3.82584998320805,NA,-3.12732342087993,NA,2.62716099709292,NA,NA,-3.12788218018373,NA,NA,2.8412195081576,NA,-1.42057123200686,7,-81.4681558714731,177.611010538127,1.36102165664749,0.00755301034688158
"8495",-1.70301774502026,NA,4.81882003876569,1.74506047545251,-3.01812343892184,NA,2.82144258634952,NA,NA,-4.11788259487477,NA,NA,NA,NA,-1.65427201291003,7,-81.673464952838,178.021628700857,1.77163981937741,0.00615113811390708
"11055",-3.62678113262029,NA,4.27130874011235,1.95402633673124,-2.8955598274892,NA,2.49324026086676,NA,NA,-3.07045864798992,0.669837394885964,NA,3.19184041502735,NA,-1.82342765906283,9,-79.4729133172972,178.043387610204,1.79339872872484,0.00608457980117791
"14635",-2.73336616516272,NA,3.69512420209765,NA,-3.04163579876341,NA,2.69312118151232,NA,NA,-3.21499732961726,NA,NA,3.21599732962511,1.48079210034174,-1.65597776963488,8,-80.5982300880724,178.069187448872,1.8191985673927,0.00600659330378581
"10544",-3.27359999787505,-0.11503847693289,4.26234539623706,1.90008356312393,-2.92470986925128,NA,2.54066055264657,NA,NA,-2.95118132617302,NA,NA,2.99347150676171,NA,-1.7574496120888,9,-79.6655597352329,178.428680446075,2.17869156459614,0.00501840046901574
"14607",-2.96707663538685,NA,3.36867993856986,1.84291655727261,-2.04501365697012,NA,NA,NA,NA,-2.68707486857472,NA,NA,3.55702298622403,1.20714328992225,-2.11839845107866,8,-80.7865806915115,178.44588865575,2.19589977427091,0.00497540685129811
"10607",-3.32167267911662,NA,4.32074431488957,1.87346943822243,-2.94877279559526,NA,2.48044618497585,0.0266200437390308,NA,-3.11645472038596,NA,NA,3.03337393570687,NA,-1.76878966396821,9,-79.6752269768037,178.448014929217,2.19802604773784,0.00497012012426537
"11567",-3.26121878755387,NA,4.27608882777898,1.89174177455021,-2.9491296540266,NA,2.52630803138426,NA,NA,-3.03663023414023,NA,0.0325895581343797,3.00154011707658,NA,-1.75734703819369,9,-79.6879489733924,178.473458922395,2.22347004091517,0.00490729077776942
"10667",-2.48913361140291,NA,3.25738831267788,NA,-3.36167404181832,NA,2.85181759636418,NA,1.71477663622312,-3.24638819478346,NA,NA,2.87742056734346,NA,-1.41003929304217,8,-80.8240413725663,178.52081001786,2.27082113638045,0.00479247253632097
"10527",-2.73766336942777,NA,3.15006434164685,2.05494684867058,-1.93562515184664,0.891912462443282,NA,NA,NA,-2.76752633808965,NA,NA,3.18826482676913,NA,-1.91291169575231,8,-80.8564808424953,178.585688957718,2.33570007623854,0.00463950182623428
"14767",-4.29264798652474,NA,3.63931249044361,1.69157956853092,-3.04075965602569,NA,2.80673664956581,NA,1.42597050443984,-3.19396860781788,NA,NA,3.27689753911999,1.23251366505943,-1.91526147703726,10,-78.6352835437083,178.62026033895,2.37027145747106,0.00455999398671305
"2347",-2.36052198484871,NA,3.79866574150315,NA,-3.17393149414992,NA,2.92756613978066,NA,NA,-3.38187992291133,NA,NA,2.76609324826844,NA,NA,6,-83.2026642188512,178.908322449678,2.65833356819911,0.00394832030589013
"14655",-4.02179886692742,NA,3.85301974568877,1.84758426075503,-2.68967278388781,0.673892650575582,2.55329743022513,NA,NA,-3.1646429483413,NA,NA,3.14765708550956,1.09409061093566,-1.89888736563367,10,-78.7890442644892,178.927781780512,2.67779289903274,0.00391009075232536
"8511",-2.14413014352333,NA,4.37575213168245,1.86044306161193,-2.76342326174173,0.978776313236012,2.78662565655615,NA,NA,-4.20589369661038,NA,NA,NA,NA,-1.61284745223143,8,-81.0502793933991,178.973286059525,2.72329717804612,0.00382213223858223
"2351",-3.42008270560465,NA,4.09958538693157,1.38312753870818,-3.01592239123019,NA,2.88243552477986,NA,NA,-3.3043102743978,NA,NA,2.84707899677318,NA,NA,7,-82.1523460526272,178.979390900435,2.72940201895571,0.00381048327177325
"11023",-2.82158884677018,NA,3.53641540566522,2.02239567552937,-2.11270272986355,NA,NA,NA,NA,-2.72687031457021,0.761178894843557,NA,3.50053462913106,NA,-1.99455565106451,8,-81.0816397053654,179.036006683458,2.78601780197866,0.00370412895991039
"8491",-0.548368370414797,NA,4.41008822217404,NA,-3.18532035880388,NA,2.87622724806074,NA,NA,-4.12662213697435,NA,NA,NA,NA,-1.36870048882123,6,-83.2751731445934,179.053340301163,2.80335141968342,0.00367216469641013
"10687",-3.89171228904445,NA,3.49879543124358,1.89229733736379,-2.93192308472238,0.719811460458396,2.67648356282072,NA,1.27096542689552,-3.21828090878173,NA,NA,2.93703785972514,NA,-1.70079159262453,10,-78.8884576310868,179.126608513707,2.87661963222803,0.003540072536398
"10639",-2.63608358486939,NA,3.09817993570579,1.88779175857762,-2.23480393487479,NA,NA,NA,1.04043825328617,-2.71546030948944,NA,NA,3.31234708268865,NA,-1.91440776996033,8,-81.1272536285223,179.127234529772,2.87724564829259,0.00353896463865875
"14763",-3.26088617128201,NA,3.17341829219594,NA,-3.2540735475849,NA,2.91811249434329,NA,1.62230171063931,-3.32309833199148,NA,NA,3.21773630830403,1.42936089367501,-1.64281318955477,9,-80.0306111272968,179.158783230203,2.90879434872406,0.00348357776550347
"10555",-2.10486724905139,NA,3.50360195632391,NA,-2.97022625848206,0.685873218942651,2.6061901234042,NA,NA,-3.23559730944442,NA,NA,2.77059113567444,NA,-1.37789053281103,8,-81.1516799753861,179.1760872235,2.92609834202023,0.00345356787230478
"10287",-5.01083765720532,NA,4.31343820932569,1.99442357217017,-2.86141044204563,NA,2.12196591357062,NA,NA,NA,NA,NA,4.24997240142529,NA,-1.91891759554811,7,-82.2515431064468,179.177785008074,2.92779612659504,0.00345063740917369
"10507",-0.925379453073748,NA,3.00201625084271,NA,-2.30494400818594,NA,NA,NA,NA,-2.75517444245336,NA,NA,3.0921212512492,NA,-1.59942652167987,6,-83.3385107874559,179.180015586888,2.93002670540847,0.0034467910951002
"15151",-4.12453686855249,NA,4.12935606402089,1.82301311987166,-2.8170598320519,NA,2.55317379490684,NA,NA,-3.13797669248945,0.54676858353911,NA,3.39562921195679,1.21158963956091,-1.99705145936436,10,-78.9183436230397,179.186380497613,2.93639161613385,0.00343583927238235
"10575",-2.64937773246913,NA,3.71998974395344,1.9022111107639,-2.22192819010766,NA,NA,0.0838886544580171,NA,-2.98777552403487,NA,NA,3.37946680633569,NA,-1.95789731216259,8,-81.2230587228927,179.318844718513,3.06885583703342,0.00321564871532404
"11183",-4.06741378247954,NA,3.75831292861056,1.8680559642892,-3.10035707477475,NA,2.72819079959862,NA,1.47329350752368,-3.18750869570623,0.640619303941546,NA,3.21047239091149,NA,-1.78516155032686,10,-79.0109803812623,179.371654014058,3.12166513257904,0.00313185182589038
"8623",-2.11354566303428,NA,4.33208000387535,1.66435997575774,-3.21577965097302,NA,3.041367641747,NA,1.39857088080325,-4.25010619070398,NA,NA,NA,NA,-1.62651165658912,8,-81.2560451376825,179.384817548092,3.13482866661286,0.00311130639363344
"11071",-3.89375513209167,NA,3.89514960504786,2.03568881532583,-2.68280347633815,0.838651472002994,2.45043871553335,NA,NA,-3.17784831717202,0.625157587930881,NA,3.07354523204969,NA,-1.79041449366551,10,-79.0267612232544,179.403215698043,3.15322681656326,0.0030828164941165
"14640",-3.89929787820898,-0.13615004112713,4.11804811296139,1.77952404390586,-2.82797732989732,NA,2.6020073323407,NA,NA,-3.0071814927401,NA,NA,3.26616716877948,1.28455479053253,-1.95481864572924,10,-79.0286767994719,179.407046850478,3.15705796899817,0.00307691677664089
"14703",-3.92324377957776,NA,4.16912701170117,1.75547466330655,-2.85333109956581,NA,2.54766659694399,0.0217213133165503,NA,-3.16817056432735,NA,NA,3.29618693832601,1.2727874384137,-1.96389268545549,10,-79.0514798306728,179.452652912879,3.20266403140002,0.00300754766621808
"15663",-3.86819936119743,NA,4.12673120008413,1.76546577859855,-2.83975592089225,NA,2.58580700235932,NA,NA,-3.06659510090153,NA,-0.032642465864042,3.26138105969097,1.28096122087818,-1.94697493101121,10,-79.059574173879,179.468841599292,3.21885271781244,0.00298330180274782
"12591",-2.08545123386662,NA,4.76604282826355,1.66796649536284,-2.95468608868644,NA,2.89753906013462,NA,NA,-4.23475199999158,NA,NA,NA,0.937398374566126,-1.79484129979665,8,-81.3214614619751,179.515650196678,3.26566131519823,0.00291429044756664
"10255",-4.1108695704795,NA,3.69108211556148,2.02959390488662,-2.17638001163447,NA,NA,NA,NA,NA,NA,NA,4.35720863723085,NA,-2.02964664115017,6,-83.5102632204807,179.523520452938,3.27353157145819,0.00290284487591275
"11051",-2.1475089431614,NA,3.81236665860984,NA,-3.09691569146445,NA,2.59916516740378,NA,NA,-3.15452845018511,0.482114284067234,NA,2.9802339205064,NA,-1.46132911908877,8,-81.3523931977328,179.577513668193,3.3275247867135,0.00282552627759195
"10512",-2.3879904502673,-0.0591779173486153,3.52357134231411,1.96278399108061,-2.14246657527779,NA,NA,NA,NA,-2.63412150340836,NA,NA,3.26993332706159,NA,-1.93183931818253,8,-81.3606808556116,179.594088983951,3.3441001024712,0.00280220605098497
"11535",-2.38656463366471,NA,3.53185978303234,1.95781858502023,-2.16210730649937,NA,NA,NA,NA,-2.69024938399989,NA,0.0351228753945871,3.27828970706262,NA,-1.9306593189676,8,-81.3661312736246,179.604989819976,3.35500093849711,0.00278697440377809
"10603",-2.08486329100616,NA,3.95200757208578,NA,-3.14308224074956,NA,2.52198844764694,0.0600809402182292,NA,-3.34593944161212,NA,NA,2.91998283806765,NA,-1.4655935951188,8,-81.3977399518237,179.668207176375,3.41821829489533,0.00270025951784061
"14603",-1.71597190868109,NA,2.84809083410256,NA,-2.20042187934694,NA,NA,NA,NA,-2.78754012388851,NA,NA,3.48211273604146,1.41751368448809,-1.82556362042295,7,-82.5175750912069,179.709848977595,3.45986009611519,0.00264461893635452
"10672",-3.7408760093999,-0.121052826293388,3.72813347445887,1.81784583986778,-3.13419280365733,NA,2.77077839675301,NA,1.51115330082685,-3.06202679274226,NA,NA,3.02665234733225,NA,-1.7240328053796,10,-79.182043643787,179.713780539108,3.46379165762843,0.00263942530178676
"10735",-3.80914521148507,NA,3.79764307766852,1.78555732548777,-3.16165359871907,NA,2.69804283546549,0.0341025582951637,1.52306475162676,-3.26362550775165,NA,NA,3.07717723895193,NA,-1.73951768366806,10,-79.1851854171708,179.720064085875,3.4700752043961,0.00263114583853401
"10623",-3.63813241425663,NA,3.94777391798051,1.960606298075,-2.73680563604527,0.865966737777506,2.42497959036038,0.0328856227814705,NA,-3.26075196266169,NA,NA,2.93916765148991,NA,-1.74462948575033,10,-79.1941217927249,179.737936836984,3.48794795550427,0.00260773767901432
"11695",-3.71032453903623,NA,3.7191495575491,1.80081959395284,-3.13046717650428,NA,2.75925223266584,NA,1.53341188364422,-3.0730877832601,NA,-0.100706660047807,3.01155644824076,NA,-1.70478862299691,10,-79.2008687375407,179.751430726615,3.50144184513579,0.00259020263729749
"2475",-2.9540082364045,NA,3.2591688569188,NA,-3.41854017123457,NA,3.17424172952038,NA,1.69270412625908,-3.49999270029781,NA,NA,2.82021431072082,NA,NA,7,-82.5399295286859,179.754557852553,3.50456897107324,0.00258615585689474
"10560",-3.56773363346527,-0.0749848271207399,3.89041700599535,1.98515742121451,-2.71926253041396,0.850860786105651,2.49342880513472,NA,NA,-3.09107268135717,NA,NA,2.89480356945548,NA,-1.72644162436769,10,-79.2048315600475,179.759356371629,3.5093674901494,0.0025799584353724
"11583",-3.55143513234695,NA,3.88627941304177,1.97883408362,-2.71713397166988,0.865746926991711,2.48486112595467,NA,NA,-3.10699752952881,NA,-0.0519004516069358,2.88491155460973,NA,-1.71612219417716,10,-79.2125169598049,179.774727171143,3.52473828966416,0.00256020642172117
"10540",-1.9146336811748,-0.0635713467225353,3.81631110831815,NA,-3.11842941303214,NA,2.63638514570626,NA,NA,-3.09305752283512,NA,NA,2.84014206829658,NA,-1.42137168433452,8,-81.4609109431406,179.794549159008,3.54456027752909,0.0025349575587515
"11563",-1.90295450346442,NA,3.82131606815139,NA,-3.11817707444386,NA,2.62870319514094,NA,NA,-3.10404514886049,NA,-0.0424057677174525,2.83423823178352,NA,-1.41506751977904,8,-81.4669585890391,179.806644450805,3.55665556932615,0.00251967329655504
"2367",-3.77422487797773,NA,3.71530140403146,1.48972331797168,-2.7784889748007,0.95697796622979,2.85532407606507,NA,NA,-3.43760696589351,NA,NA,2.72100424003563,NA,NA,8,-81.5543306763833,179.981388625494,3.73139974401445,0.00230886753918982
