"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"270",-1.46338824474717,4.67810850929118,NA,2.65614000995043,-2.56940191404355,NA,NA,NA,NA,-4.62374299980163,NA,NA,NA,NA,5,-84.8343064656116,180.021554107694,0,0.0442358199475888
"782",-1.76948396590122,4.77097534632569,NA,2.7451316542659,-2.538827484033,NA,NA,NA,NA,-4.74252623417161,0.582861537393767,NA,NA,NA,6,-84.6499874105051,181.797016241129,1.77546213343481,0.018206957481184
"2318",-1.83338743236678,4.74418502407388,NA,2.69678106007603,-2.49934660736014,NA,NA,NA,NA,-4.69160302142204,NA,NA,0.573477589872433,NA,6,-84.6666573033469,181.830356026812,1.80880191911845,0.0179059651758153
"286",-1.13052514551697,4.4074007464382,NA,2.57247380099073,-2.43101997886153,-0.458866670932229,NA,NA,NA,-4.63322888077829,NA,NA,NA,NA,6,-84.6895030240835,181.876047468285,1.85449336059173,0.0175015279166339
"1294",-1.43178871747623,4.6111946956864,NA,2.67687407851935,-2.49202155505917,NA,NA,NA,NA,-4.37992582262443,NA,-0.358591769352697,NA,NA,6,-84.7422257449701,181.981492910059,1.95993880236483,0.0166027022084061
"334",-1.70355400877105,4.83910154594269,NA,2.6374068089357,-2.6111385430303,NA,NA,0.466224446272699,NA,-4.89056315804483,NA,NA,NA,NA,6,-84.7550941761925,182.007229772503,1.98567566480958,0.0163904202740886
"302",-1.57512976975469,4.74559942294316,NA,2.62377403374386,-2.69822199135448,NA,0.411132172480122,NA,NA,-4.67769560691107,NA,NA,NA,NA,6,-84.7791824180897,182.055406256298,2.03385214860396,0.0160003211295307
"4366",-1.37803933374291,4.70234843463223,NA,2.63002243318746,-2.58947657967495,NA,NA,NA,NA,-4.58499452250788,NA,NA,NA,-0.21543041759681,6,-84.7879368196847,182.072915059488,2.05136095179407,0.0158608592361143
"272",-1.4722741253882,4.71683767088777,0.142792686738453,2.69191132302844,-2.60393285947574,NA,NA,NA,NA,-4.71889961201567,NA,NA,NA,NA,6,-84.7987500447435,182.094541509605,2.07298740191172,0.0156902761344304
"398",-1.42203503074104,4.81508408208506,NA,2.67835241804134,-2.54880361048903,NA,NA,NA,-0.258259109947808,-4.61607104803539,NA,NA,NA,NA,6,-84.8215920727249,182.140225565568,2.1186714578744,0.0153359406843847
"1806",-2.00679795880985,4.68625080434051,NA,2.90429826510582,-2.30519952165104,NA,NA,NA,NA,-4.21863249522507,1.20790714641322,-0.96825448614243,NA,NA,7,-84.2061969455742,183.079060557815,3.05750645012142,0.00959058263877615
"266",-0.190600699214708,4.47006943479044,NA,NA,-2.22736310948091,NA,NA,NA,NA,-4.24594825551787,NA,NA,NA,NA,4,-87.5918821570456,183.417682442746,3.3961283350524,0.00809681439221458
"798",-1.44144415971031,4.50289367742932,NA,2.66381293667373,-2.40118122966397,-0.44600080621286,NA,NA,NA,-4.74660309615037,0.568476041914239,NA,NA,NA,7,-84.5145365346123,183.695739735891,3.67418562819748,0.00704587298232675
