"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_LM","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1167",-2.54470074492944,NA,-2.82591983479334,2.06277823676803,-3.1024169149358,NA,NA,NA,2.94663305053529,NA,NA,4.17927969913051,NA,NA,6,-85.2633074138189,183.023656247756,0,0.0271824223821148
"1423",-3.04830268339202,NA,-3.10254613899976,2.15644280558478,-3.08655038245012,NA,NA,NA,2.94194976308941,1.14701350638043,NA,4.40484580258202,NA,NA,7,-84.5893856797973,183.845438026261,0.821781778505084,0.0180235572651156
"1183",-1.99847311658426,NA,-2.84231625574744,2.00616374033675,-2.86151340888695,-0.768307489091511,NA,NA,2.54683774571214,NA,NA,4.05933561443893,NA,NA,7,-84.822363829854,184.311394326375,1.28773807861853,0.0142777372595224
"1163",-1.6342779014695,NA,-2.63586919929245,NA,-2.82788122779203,NA,NA,NA,2.99892776355189,NA,NA,4.17130984381796,NA,NA,5,-87.0189533674655,184.390847911402,1.3671916636454,0.0137216475187097
"1168",-2.48470954077784,0.331553741679184,-3.08465947674544,2.12279419614141,-3.21431338445082,NA,NA,NA,3.02018436749792,NA,NA,4.1578787163009,NA,NA,7,-85.0888033175951,184.844273301857,1.82061705410069,0.0109382082229444
"3215",-2.86936524491922,NA,-2.86225774126356,2.08952005613739,-3.0321928714162,NA,NA,NA,2.86484039960991,NA,NA,4.29568237849993,0.532759708218035,NA,7,-85.1165751347491,184.899816936165,1.87616068840867,0.0106386137018515
"1439",-2.5113740971989,NA,-3.13227473876356,2.11972138078298,-2.81943929284108,-0.819862364320445,NA,NA,2.51657785423811,1.19929955416048,NA,4.29512147895977,NA,NA,8,-84.098223999485,185.058723448072,2.03506720031567,0.00982604907652707
"1231",-2.74681892028774,NA,-2.94817417982043,2.03244958599877,-3.15140458325513,NA,NA,0.332568800571872,3.03632589255002,NA,NA,4.26294559178197,NA,NA,7,-85.2238842975355,185.114435261738,2.09077901398155,0.00955611268497336
"1679",-2.50692581086202,NA,-3.02766163399002,2.03609644232853,-3.1772339687998,NA,NA,NA,2.932919499774,NA,0.257908981535441,4.20777834679842,NA,NA,7,-85.2318532156729,185.130373098012,2.10671685025622,0.00948026342493932
"5263",-2.4773846027217,NA,-2.79795841660559,2.04029789300651,-3.11911806958087,NA,NA,NA,2.9638495044098,NA,NA,4.17646299798302,NA,-0.160804758145853,7,-85.2372549166813,185.141176500029,2.11752025227301,0.00942919193707258
"1199",-2.63893656888103,NA,-2.84301838008984,2.03273970452178,-3.20163044976536,NA,0.280265056356803,NA,3.0194583926708,NA,NA,4.18966771583739,NA,NA,7,-85.2376947194845,185.142056105636,2.11839985787952,0.00942504586382036
