"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_SP","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"3",-3.03275060750244,NA,2.85121686910037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-77.4067238783702,158.883623195337,0,0.00872803074460649
"131",-2.15950801080324,NA,2.52273628880941,NA,NA,NA,NA,NA,-1.62032827293152,NA,NA,NA,NA,NA,3,-76.5712554025386,159.283687275665,0.400064080328605,0.00714567823204702
"1027",-3.59984203015649,NA,2.3764240198341,NA,NA,NA,NA,NA,NA,NA,NA,1.72968053407042,NA,NA,3,-76.6474268177571,159.436030106102,0.552406910765626,0.00662159525283531
"643",-2.47208405599031,NA,2.78696419557465,NA,NA,NA,NA,NA,-2.36021872014486,NA,1.10120285937671,NA,NA,NA,4,-75.8535856862279,159.943857762988,1.06023456765146,0.00513675977761155
"4099",-2.85172471818942,NA,2.9343329407114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.652957315430727,3,-77.0783250358446,160.297826542277,1.4142033469405,0.00430354067890927
"7",-3.47824162400135,NA,2.9717683690377,0.693483359321761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.1564298879196,160.454036246427,1.5704130510905,0.00398020468157445
"515",-3.30744902990103,NA,3.00830774338539,NA,NA,NA,NA,NA,NA,NA,0.429420305561358,NA,NA,NA,3,-77.2730821780243,160.687340826637,1.8037176313,0.00354196251181161
"67",-3.29001383707069,NA,2.60428259025788,NA,NA,NA,NA,0.724528817856204,NA,NA,NA,NA,NA,NA,3,-77.2938257734951,160.728828017578,1.84520482224158,0.00346924627978902
"1539",-4.21258968686156,NA,2.5686904053032,NA,NA,NA,NA,NA,NA,NA,0.767237205983396,2.085169770986,NA,NA,4,-76.2510005189722,160.738687428477,1.85506423314004,0.00345218600311814
"1155",-2.79074199254511,NA,2.28206487095005,NA,NA,NA,NA,NA,-1.18314628743251,NA,NA,1.20501821695564,NA,NA,4,-76.2666296192407,160.769945629014,1.88632243367718,0.00339865088453979
"2051",-2.82140101081942,NA,2.90096844855013,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.461111893941491,NA,3,-77.3176214776812,160.776419425951,1.89279623061375,0.00338766758220443
"132",-2.20455026791402,0.404462950204801,2.65279901129561,NA,NA,NA,NA,NA,-1.89304860072026,NA,NA,NA,NA,NA,4,-76.2822214679747,160.801129326482,1.9175061311451,0.00334607061109305
"4",-3.12932370855757,0.195919338086338,2.94680226134655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.3309931723067,160.803162815202,1.91953961986476,0.00334267024161781
"19",-3.12023696901654,NA,2.70141699094589,NA,NA,0.311482584923447,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.3413915617004,160.823959593989,1.94033639865228,0.00330809194569197
"4227",-2.01482204811093,NA,2.59387704986449,NA,NA,NA,NA,NA,-1.56692120994473,NA,NA,NA,NA,-0.593053792414447,4,-76.3031951770323,160.843076744597,1.95945354926025,0.0032766219435173
"259",-2.87586690119665,NA,2.81735215899348,NA,NA,NA,NA,NA,NA,-0.333812568509925,NA,NA,NA,NA,3,-77.3542490292389,160.849674529066,1.96605133372918,0.00326583053047352
"5123",-3.4135083572758,NA,2.47228667546579,NA,NA,NA,NA,NA,NA,NA,NA,1.68640082596657,NA,-0.629676653626738,4,-76.3489586272037,160.93460364494,2.05098044960312,0.00313005177593951
"11",-2.97526944871948,NA,2.83609745082089,NA,-0.0992525537831615,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.3988652507541,160.938906972096,2.05528377675955,0.00312332419787316
