"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"258",-2.76670899223361,3.79151552606799,NA,NA,NA,NA,NA,NA,NA,-1.79528019676215,NA,NA,NA,NA,3,-75.3721765836473,156.883888051016,0,0.00993568908986173
"2",-3.67037771934074,4.03798621329173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-76.4180303189308,156.905424799711,0.0215367486957803,0.00982927186889839
"1282",-3.05442820259135,4.04878268534433,NA,NA,NA,NA,NA,NA,NA,-2.624941123753,NA,1.15659102080213,NA,NA,4,-74.5511807300693,157.336279588794,0.452391537777942,0.00792432755084273
"262",-3.59610336722282,3.86667511702354,NA,1.46524572788199,NA,NA,NA,NA,NA,-1.89828760558251,NA,NA,NA,NA,4,-74.6095698485472,157.453057825749,0.569169774733808,0.00747488209610947
"322",-3.66574299437296,4.30856499683376,NA,NA,NA,NA,NA,1.58745684555155,NA,-2.74015933725517,NA,NA,NA,NA,4,-74.6315300489119,157.496978226479,0.613090175463242,0.00731252144857338
"6",-4.4921842644067,4.13372077145836,NA,1.3559559894727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-75.7528778152443,157.645290514209,0.761402463193917,0.00678987140035587
"326",-4.48660464077453,4.40554543907463,NA,1.43087171388079,NA,NA,NA,1.5804747106599,NA,-2.83331658649379,NA,NA,NA,NA,5,-73.9064187442695,158.16577866501,1.28189061399408,0.00523406344859981
"1286",-3.80480945818806,4.11148697784474,NA,1.36119908625081,NA,NA,NA,NA,NA,-2.68685641380595,NA,1.0874922822645,NA,NA,5,-73.908162869299,158.169266915069,1.28537886405294,0.00522494254384474
"260",-2.79812343449372,3.92597364190105,0.458025207928628,NA,NA,NA,NA,NA,NA,-2.1278604049746,NA,NA,NA,NA,4,-75.0096600618904,158.253238252436,1.36935020142025,0.00501011131149589
"264",-3.6724816521678,4.01741934832891,0.505067502008776,1.53761846768848,NA,NA,NA,NA,NA,-2.26282921025129,NA,NA,NA,NA,5,-74.1806057885367,158.714152753544,1.83026470252844,0.003978882027242
"1026",-3.90094652788681,4.15592651453351,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.383360364380122,NA,NA,3,-76.3037945108252,158.747123905371,1.86323585435574,0.00391382558536798
"4098",-3.54367083463664,4.07018193732939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.344225194049985,3,-76.318116177268,158.775767238257,1.89187918724144,0.0038581725541405
"4",-3.75863020070796,4.1203266264916,0.19532766549095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-76.3422734080315,158.824081699784,1.94019364876829,0.00376608653917176
