"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_SP","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1153",-3.84934410337447,NA,NA,NA,NA,NA,NA,NA,2.02842755849973,NA,NA,2.59751152323128,NA,NA,3,-78.312419823487,162.764374530695,0,0.00708111310570185
"1025",-2.87383489008781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82862737338856,NA,NA,2,-79.4105572292088,162.890478620267,0.126104089572351,0.00664841891250833
"1155",-3.16668702025214,NA,-0.976360871180701,NA,NA,NA,NA,NA,2.07006306304063,NA,NA,2.14989968140238,NA,NA,4,-77.8402875421884,163.914493213032,1.15011868233688,0.00398434037872232
"1029",-3.50313658944476,NA,NA,1.06622149425865,NA,NA,NA,NA,NA,NA,NA,2.86659892911806,NA,NA,3,-78.9718589923924,164.083252868506,1.31887833781079,0.00366193591010402
"1157",-4.41753344262045,NA,NA,0.995412503858109,NA,NA,NA,NA,1.99134607705532,NA,NA,2.63432214017461,NA,NA,4,-77.9304928451708,164.094903818997,1.33052928830165,0.00364066540865242
"1027",-2.22468428290359,NA,-0.895982415867137,NA,NA,NA,NA,NA,NA,NA,NA,2.4129323902047,NA,NA,3,-79.0070334456311,164.153601774983,1.38922724428818,0.00353536833852718
"1041",-2.41948687000818,NA,NA,NA,NA,-0.696016208397424,NA,NA,NA,NA,NA,2.54439717025377,NA,NA,3,-79.027025204278,164.193585292277,1.42921076158186,0.00346539191447597
"131",-1.99089660978765,NA,-1.53248949395979,NA,NA,NA,NA,NA,2.29442681614388,NA,NA,NA,NA,NA,3,-79.0515776359751,164.242690155671,1.47831562497615,0.00338134412708309
"1539",-2.44305866003207,NA,-2.04235179552446,NA,NA,NA,NA,NA,NA,NA,1.46367198003446,2.7176432870811,NA,NA,4,-78.05513387981,164.344185888275,1.57981135757998,0.00321402946468023
"1667",-3.28623333550965,NA,-2.04939389799749,NA,NA,NA,NA,NA,1.92956522487403,NA,1.3558404772974,2.429907196356,NA,NA,5,-77.03491898337,164.422779143211,1.65840461251565,0.00309017834913214
"1169",-3.4798919635138,NA,NA,NA,NA,-0.445933246191363,NA,NA,1.85028985790157,NA,NA,2.44905939032144,NA,NA,4,-78.1667817783251,164.567481685305,1.80310715461016,0.00287449652266572
"1161",-3.69763863765061,NA,NA,NA,-0.328212180955727,NA,NA,NA,2.08907348421255,NA,NA,2.55324696133988,NA,NA,4,-78.2276028035191,164.689123735693,1.92474920499828,0.00270487719273119
"1537",-3.15752794489416,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.401678623668525,3.05054503700412,NA,NA,3,-79.2874702090244,164.71447530177,1.95010077107474,0.00267080714474314
"1665",-4.02928451012802,NA,NA,NA,NA,NA,NA,NA,1.98437761009078,NA,0.288662604163872,2.75690827967367,NA,NA,4,-78.2493859547575,164.73269003817,1.96831550747498,0.00264659354911433
"5249",-3.74525034213004,NA,NA,NA,NA,NA,NA,NA,2.04805000756343,NA,NA,2.58652826254106,NA,-0.262536241381694,4,-78.2510703207427,164.73605877014,1.97168423944541,0.00264213946916695
"1154",-3.94541527346802,0.165033268866267,NA,NA,NA,NA,NA,NA,2.06179605567451,NA,NA,2.68212391826438,NA,NA,4,-78.2576889209968,164.749295970649,1.98492143995358,0.00262470994734999
"3201",-3.70818938360665,NA,NA,NA,NA,NA,NA,NA,2.05374093826428,NA,NA,2.55978269920588,-0.26259157854569,NA,4,-78.2779165020051,164.789751132665,2.02537660197012,0.00257215176869963
"129",-2.7876303323606,NA,NA,NA,NA,NA,NA,NA,2.33394864956944,NA,NA,NA,NA,NA,2,-80.3614457972033,164.792255756256,2.0278812255614,0.00256893264879113
"1217",-4.08931632933155,NA,NA,NA,NA,NA,NA,0.248806943210562,2.06647293015256,NA,NA,2.71912136090025,NA,NA,4,-78.2865296022082,164.806977333071,2.04260280237645,0.00255009270262305
"1185",-3.90606214907481,NA,NA,NA,NA,NA,0.119994534412095,NA,2.02567177570093,NA,NA,2.59655944374303,NA,NA,4,-78.3040320154669,164.841982159589,2.0776076288937,0.00250584824811853
