"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"260",-2.49907532931869,1.04317366492041,3.7219697041363,NA,NA,NA,NA,NA,NA,-4.08483312258466,NA,NA,NA,NA,NA,4,-58.2387742106839,124.7142348119,0,0.00464700283451157
"4356",-1.83553157249496,1.1280827170692,4.05010412768286,NA,NA,NA,NA,NA,NA,-3.98674615092688,NA,NA,NA,-1.80870948237599,NA,5,-57.2869118383516,124.930966533846,0.216731721945692,0.00416975215626406
"2308",-3.85531631060182,1.05714109015525,3.29642177367167,NA,NA,NA,NA,NA,NA,-3.15657281518413,NA,NA,2.45259933308666,NA,NA,5,-57.3480543933635,125.05325164387,0.339016831969488,0.00392244052930535
"772",-2.00221563250124,1.17186840664233,3.67963674078607,NA,NA,NA,NA,NA,NA,-3.80054605407833,-1.54961666439149,NA,NA,NA,NA,5,-57.4787756962723,125.314694249688,0.600459437787165,0.00344179363551987
"259",-2.40499231733833,NA,3.42734115750392,NA,NA,NA,NA,NA,NA,-3.31063836292714,NA,NA,NA,NA,NA,3,-59.640761276464,125.422699023516,0.708464211615862,0.00326085801084701
"6404",-3.14495626932283,1.12942295732107,3.62922647311443,NA,NA,NA,NA,NA,NA,-3.15817912870199,NA,NA,2.27168385071086,-1.65502480215592,NA,6,-56.55333463639,125.609663284756,0.895428472855642,0.00296984042864047
"8452",-2.238379232782,1.05286925472534,3.83122419862233,NA,NA,NA,NA,NA,NA,-4.03582568729204,NA,NA,NA,NA,-1.01243502299344,5,-57.6746150648308,125.706372986804,0.992138174903985,0.00282965097204566
"2307",-3.70628258386026,NA,3.02859520883312,NA,NA,NA,NA,NA,NA,-2.43573735651841,NA,NA,2.36244247462368,NA,NA,4,-58.7983058999368,125.833298190406,1.11906337850577,0.00265565351872076
"4868",-1.4367984704169,1.22128328509579,3.98483998387501,NA,NA,NA,NA,NA,NA,-3.78394308847452,-1.36537542552515,NA,NA,-1.65480513251564,NA,6,-56.7069141340519,125.91682228008,1.20258746817956,0.00254703191406273
"4355",-1.77266420875555,NA,3.63805710772436,NA,NA,NA,NA,NA,NA,-3.17065207407662,NA,NA,NA,-1.60086941902134,NA,4,-58.88025672145,125.997199833433,1.28296502153219,0.0024466994408282
"10500",-3.61399859066174,1.06368728611544,3.41681026641251,NA,NA,NA,NA,NA,NA,-3.06789870861121,NA,NA,2.44737430312493,NA,-1.01636810954085,6,-56.7954664656722,126.09392694332,1.3796921314201,0.0023311842362451
"2051",-5.26193348742497,NA,3.12051510442208,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.39502999713255,NA,NA,3,-59.9989526458095,126.139081762207,1.4248469503068,0.00227914183718458
"4360",-2.50828473838031,1.14008968169292,4.25260114051133,1.12559763773954,NA,NA,NA,NA,NA,-3.95970963663364,NA,NA,NA,-1.96109778738433,NA,6,-56.8875910565594,126.278176125095,1.56394131319443,0.00212602024716709
"4364",-1.32556818476528,1.22049954661554,4.07084523794542,NA,-0.887354784133472,NA,NA,NA,NA,-3.97673111436496,NA,NA,NA,-2.06512109365786,NA,6,-56.8950014835768,126.29299697913,1.57876216722934,0.00211032375995453
