"","(Intercept)","ALK_avg","boatlaunch","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"260",-2.47923731144692,4.06458966617306,1.02213625677223,NA,NA,NA,NA,NA,NA,-4.45772520164867,NA,NA,NA,NA,4,-59.0746340162596,126.383186161174,0,0.013723453076743
"258",-2.42326396243435,3.78590776579318,NA,NA,NA,NA,NA,NA,NA,-3.63311500525256,NA,NA,NA,NA,3,-60.4490092688272,127.037553421375,0.654367260201099,0.0098939419194562
"2308",-1.74794329264072,3.98310548204238,1.04550296364987,NA,NA,NA,NA,NA,NA,-4.40051411440743,NA,NA,-1.4236209139628,NA,5,-58.3690252578089,127.090991692088,0.707805530914101,0.00963308480330351
"772",-2.05424027354009,4.00450485210651,1.13120369221191,NA,NA,NA,NA,NA,NA,-4.25628946522791,-1.25712768718755,NA,NA,NA,5,-58.5540804385345,127.46110205354,1.0779158923655,0.00800565627662484
"2306",-1.6745929791691,3.62695880983028,NA,NA,NA,NA,NA,NA,NA,-3.55628235714526,NA,NA,-1.37005134536815,NA,4,-59.7914500154563,127.816818159568,1.43363199839347,0.00670122451689113
"388",-2.16306135482621,4.95674163362854,1.0205774853931,NA,NA,NA,NA,NA,-1.5636723217041,-4.36523768959637,NA,NA,NA,NA,5,-58.7451156569701,127.843172490411,1.45998632923664,0.00661350061840995
"292",-2.86491401121036,4.16697212297852,1.03716182495552,NA,NA,NA,0.942099087315812,NA,NA,-4.69227445281418,NA,NA,NA,NA,5,-58.8446199637832,128.042181104037,1.65899494286279,0.00598710985787715
"268",-2.24975518267142,4.0834073949334,1.05893715737019,NA,-0.560733006010343,NA,NA,NA,NA,-4.40435879806706,NA,NA,NA,NA,5,-58.9028220620633,128.158585300597,1.77539913942294,0.00564859421614562
"264",-2.68022578001175,4.06582128015883,1.03047924975889,0.381076721579804,NA,NA,NA,NA,NA,-4.49027404574472,NA,NA,NA,NA,5,-59.0356450245207,128.424231225512,2.04104506433782,0.00494602260990604
"1284",-2.4298121750448,4.03904222072678,1.09580852389479,NA,NA,NA,NA,NA,NA,-4.31603186017889,NA,-0.268851310764756,NA,NA,5,-59.0485448816778,128.450030939826,2.06684477865204,0.00488262938559522
"324",-2.62776323627239,4.14214983665743,0.984786960615716,NA,NA,NA,NA,0.281847026313745,NA,-4.61073350597763,NA,NA,NA,NA,5,-59.0571913953366,128.467323967144,2.08413780596968,0.00484059365706215
"276",-2.59278817107001,4.14733061521312,1.01610702901682,NA,NA,0.154718228690149,NA,NA,NA,-4.45595712198985,NA,NA,NA,NA,5,-59.0634846468962,128.479910470263,2.09672430908884,0.00481022623860742
"386",-2.0724919671602,4.61586287462191,NA,NA,NA,NA,NA,NA,-1.54268113442341,-3.56437618179193,NA,NA,NA,NA,4,-60.1249321186028,128.483782365861,2.10059620468644,0.00480092290000367
"4356",-2.46027833421042,4.06380471787363,1.02161675816775,NA,NA,NA,NA,NA,NA,-4.45355693545728,NA,NA,NA,-0.0479546397847403,5,-59.0731509729238,128.499243122318,2.11605696114401,0.00476395302978524
