"","(Intercept)","boatlaunch","depth_max_m","dist_waterfowl","latitude","longitude","nearest_W","nonFP_species_richness","PH_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1028",-2.56001495710128,1.10503306878262,-3.13972484961567,NA,NA,NA,NA,NA,NA,NA,NA,3.87394536231135,NA,NA,4,-59.8111770154877,127.85627215963,0,0.00894296074393484
"1027",-2.60177834290165,NA,-2.26107500005484,NA,NA,NA,NA,NA,NA,NA,NA,3.66197861764945,NA,NA,3,-61.3583662595419,128.856267402805,0.999995243174297,0.00542419278075746
"3076",-1.95051245805792,1.06154719320609,-3.04627647118261,NA,NA,NA,NA,NA,NA,NA,NA,3.84289269036905,-1.26503067004642,NA,5,-59.2608159792435,128.874573134958,1.01830097532722,0.00537477238481053
"1156",-3.21150842353947,1.2134947283632,-3.35579310509217,NA,NA,NA,NA,NA,1.60199637998377,NA,NA,3.61956471433201,NA,NA,5,-59.2629928400026,128.878926856476,1.02265469684544,0.00536308497925944
"1036",-1.96586218220219,1.25348664180457,-3.27512510619787,NA,-0.94992227908897,NA,NA,NA,NA,NA,NA,3.66327417231312,NA,NA,5,-59.3118922575161,128.976725691503,1.12045353187243,0.00510714197742616
"1539",-2.8484937580599,NA,-3.53901796026175,NA,NA,NA,NA,NA,NA,NA,1.58415335845209,4.03381866119576,NA,NA,4,-60.5666182409891,129.367154610633,1.51088245100273,0.00420143228867241
"1060",-2.97667212865257,1.13303579819156,-3.37079245160004,NA,NA,NA,1.02183080589954,NA,NA,NA,NA,3.98655816517149,NA,NA,5,-59.5386585618139,129.430258300098,1.57398614046802,0.00407093882966987
"1540",-2.72459362473821,0.932161409103041,-3.75529924544212,NA,NA,NA,NA,NA,NA,NA,0.95429708930346,4.07248885532142,NA,NA,5,-59.5710644297793,129.495070036029,1.63879787639881,0.00394113114824373
"3084",-1.01732706012906,1.25999724995165,-3.24356134247147,NA,-1.22573475643472,NA,NA,NA,NA,NA,NA,3.58894943692704,-1.6080398606893,NA,6,-58.5044958482379,129.506033116594,1.6497609569637,0.00391958678119992
"3075",-1.9071929252696,NA,-2.22630869839094,NA,NA,NA,NA,NA,NA,NA,NA,3.61372820370315,-1.38733946085121,NA,4,-60.6801287531592,129.594175634973,1.737903475343,0.00375059680791632
"1164",-2.61235411052918,1.38358800570267,-3.57229469616579,NA,-1.10784973513046,NA,NA,NA,1.87403266940502,NA,NA,3.32417054533096,NA,NA,6,-58.6098760470563,129.716793514231,1.86052135460055,0.00352755866889279
"1284",-2.35223352001612,1.1222950952642,-3.02043911442852,NA,NA,NA,NA,NA,NA,-0.552585759881029,NA,3.77708805777742,NA,NA,5,-59.7154346937486,129.783810563968,1.92753840433743,0.00341131385428392
"1044",-2.26114753329137,1.13599365373445,-3.18145712052074,NA,NA,-0.405213761845036,NA,NA,NA,NA,NA,3.66766160193188,NA,NA,5,-59.7231985368498,129.79933825017,1.94306609053977,0.00338493149551867
"3204",-2.61778185665463,1.18928381828544,-3.26347048453328,NA,NA,NA,NA,NA,1.69153753160083,NA,NA,3.56285378287309,-1.3071348182836,NA,6,-58.6672447438858,129.83153090789,1.97525874825958,0.0033308826856694
"1032",-2.67497018866945,1.10973041447821,-3.15826901829971,0.217488423232531,NA,NA,NA,NA,NA,NA,NA,3.8736991288719,NA,NA,5,-59.7978722717555,129.948685719982,2.09241356035112,0.0031413728997816
"5124",-2.56863831976721,1.1043953608219,-3.14261535732919,NA,NA,NA,NA,NA,NA,NA,NA,3.87340265098914,NA,0.02513691644557,5,-59.8107666534425,129.974474483356,2.11820232372519,0.00310112687004912
"1092",-2.57429020780142,1.10252599276908,-3.14661387902957,NA,NA,NA,NA,0.0214582686799871,NA,NA,NA,3.88292573123443,NA,NA,5,-59.81106417777,129.975069532011,2.11879737238026,0.00310020434660589
"3212",-1.64022244775456,1.43426361119914,-3.58774074265448,NA,-1.46074150767752,NA,NA,NA,2.12354356376286,NA,NA,3.17535887996144,-1.74534320358257,NA,7,-57.6566331350307,129.979932936728,2.1236607770977,0.0030926747309861
"3587",-2.12712275504451,NA,-3.50399475269137,NA,NA,NA,NA,NA,NA,NA,1.58787011291655,3.96677000281698,-1.42211596957587,NA,5,-59.8581753443765,130.069291865224,2.21301970559317,0.00295753709941345
"1548",-2.05425438246788,0.998858684883968,-4.22113404807898,NA,-1.230077422775,NA,NA,NA,NA,NA,1.47228205303664,3.90829333324509,NA,NA,6,-58.8041205739275,130.105282567973,2.24901040834304,0.00290479119405165
