"","(Intercept)","boatlaunch","COND_avg","dist_waterfowl","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","waterbodies_10km","waterbodies_1km","df","logLik","AICc","delta","weight"
"1059",-0.0567273785873264,NA,0.00380695684423558,NA,NA,NA,-0.471558488676597,NA,NA,NA,NA,-0.138822382374282,4,-176.016231308037,360.269149006606,0,0.0302419573149898
"35",-0.194771403052634,NA,0.00378405846401298,NA,NA,NA,-0.485591985510281,NA,NA,NA,NA,NA,3,-177.154837315414,360.450851101417,0.181702094811214,0.0276155557431826
"1063",-0.176980447715715,NA,0.003901044591476,0.0130558501833758,NA,NA,-0.480318479205307,NA,NA,NA,NA,-0.161052640813801,5,-175.057306048898,360.47175495494,0.202605948333598,0.0273284231355038
"39",-0.300837849725407,NA,0.00383194324748607,0.0102596147475594,NA,NA,-0.495260672609865,NA,NA,NA,NA,NA,4,-176.547134442488,361.330955275509,1.06180626890296,0.017784497321008
"1060",-0.0562452337459889,0.175806204798224,0.00380732264467949,NA,NA,NA,-0.494324308006489,NA,NA,NA,NA,-0.138639913658941,5,-175.758704630329,361.8745521178,1.60540311119394,0.0135519265718692
"1064",-0.184809304303501,0.208430063710529,0.00391127520379791,0.0138541551604053,NA,NA,-0.508186289979076,NA,NA,NA,NA,-0.161551376725771,6,-174.701707701335,361.906409414646,1.63726040803988,0.0133377728159333
"1075",-0.63903312088791,NA,0.00361541537345835,NA,NA,0.0936807640451085,-0.473552578271862,NA,NA,NA,NA,-0.142554283373898,5,-175.781170739002,361.919484335147,1.65033532854147,0.0132508620536771
"36",-0.198211187160646,0.169143020080835,0.00380441043047119,NA,NA,NA,-0.507318057077528,NA,NA,NA,NA,NA,4,-176.916872163706,362.070430717944,1.80128171133782,0.0122875852030405
"99",0.0310947170734531,NA,0.00373334062450917,NA,NA,NA,-0.472759335604955,-0.146858319392377,NA,NA,NA,NA,4,-176.956905146633,362.150496683798,1.88134767719203,0.0118053927129369
"51",-0.709833138016467,NA,0.00360179969177934,NA,NA,0.0828920575921177,-0.4885111439599,NA,NA,NA,NA,NA,4,-176.975846822002,362.188380034537,1.91923102793146,0.0115838832991136
"1079",-0.72626309040656,NA,0.00372955730545393,0.0128649269577307,NA,0.0882234105554711,-0.481315573375492,NA,NA,NA,NA,-0.164563701038242,6,-174.849449757203,362.201893526382,1.93274451977641,0.0115058777714008
"1123",0.0747112677791947,NA,0.00378009570134843,NA,NA,NA,-0.463143909135852,-0.090691867383311,NA,NA,NA,-0.133310640595742,5,-175.944425390193,362.245993637529,1.97684463092338,0.0112549491885292
"1187",-0.0594038035121509,NA,0.0038250078083008,NA,NA,NA,-0.474980177959226,NA,0.0003377736433039,NA,NA,-0.140458147646274,5,-176.010229808127,362.377602473397,2.10845346679093,0.0105381661861914
"1067",-0.0664443922699526,NA,0.00382962256517661,NA,0.00141610712422702,NA,-0.477200264286352,NA,NA,NA,NA,-0.139492853026113,5,-176.0110740214,362.379290899942,2.11014189333639,0.010529273480625
