"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nearest_LM)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"2631",-5.33783192072185,NA,1.21414631414206,0.573612453332704,NA,NA,NA,-0.773005023441881,NA,NA,0.496505113337566,NA,-0.952611774946946,6,-84.7536810626252,182.010356137227,0,0.0355527301809663
"3655",-8.45294888178485,NA,1.16448187236445,0.548174610879123,NA,NA,NA,-0.785810328579154,NA,NA,0.547390096001155,0.915662842154002,-1.07033226873652,7,-83.7838799710853,182.242458737351,0.232102600124819,0.0316572012886722
"2759",-5.58200862515811,NA,1.22027005716507,0.592798934182443,NA,NA,NA,-0.799523882777628,0.704683669957957,NA,0.534729355008879,NA,-0.993512329673713,7,-84.3897665681978,183.454231931576,1.44387579434974,0.0172718680640563
"3783",-8.46080086161848,NA,1.16985415649971,0.564458849241177,NA,NA,NA,-0.810338021361331,0.566795790846556,NA,0.572956962330339,0.86146488831058,-1.09337314990069,8,-83.5534368134126,183.979600899552,1.96924476232587,0.013281798584757
"2632",-5.2738383229492,-0.197731498427029,1.20522188852476,0.575980347967085,NA,NA,NA,-0.740380436033694,NA,NA,0.496108609378054,NA,-0.958185121370759,7,-84.6795280656347,184.03375492645,2.02339878922362,0.0129269923695329
"2639",-5.67450105857726,NA,1.25689213681069,0.573292016373944,0.0655104613089963,NA,NA,-0.790918656804751,NA,NA,0.492652460339766,NA,-0.927672849667707,7,-84.6825132051796,184.03972520554,2.02936906831329,0.0128884610327364
"2663",-6.30304866976428,NA,1.15650197331296,0.569876570090911,NA,NA,0.670694552060317,-0.778369279315231,NA,NA,0.499044857209639,NA,-0.949894864933323,7,-84.7060495983796,184.08679799194,2.07644185471332,0.0125886551605285
"2647",-5.49946724293728,NA,1.23052196662567,0.570792838867546,NA,0.0503396909441523,NA,-0.79854472274551,NA,NA,0.502192392572367,NA,-0.956845275655918,7,-84.7426281934492,184.159955182079,2.14959904485258,0.0121364998577562
"2887",-5.31496880187139,NA,1.21098550960044,0.572643279889257,NA,NA,NA,-0.756279086403495,NA,-0.0122013802614028,0.494155184684333,NA,-0.947070300348112,7,-84.7478599226236,184.170418640428,2.16006250320146,0.0120731707821094
"3663",-8.86593624312992,NA,1.21308401882308,0.547907275148378,0.0735306625307792,NA,NA,-0.807804567691076,NA,NA,0.54288503900307,0.923493681338187,-1.04252202140051,8,-83.6966798173127,184.266086907353,2.25573077012618,0.0115092558316901
"3656",-8.39692917892221,-0.21332827904193,1.15518365680773,0.551318570800398,NA,NA,NA,-0.750058644158619,NA,NA,0.547225649788946,0.917866726950855,-1.0746755102398,8,-83.7003460917771,184.273419456282,2.26306331905502,0.0114671369977112
"3687",-9.30076180086191,NA,1.11412947887388,0.544742672675096,NA,NA,0.597585486318691,-0.79000323340244,NA,NA,0.548857727474549,0.9107568818458,-1.06757521265622,8,-83.7469617454349,184.366650763597,2.35629462637053,0.0109448567033038
"3671",-8.66066176232489,NA,1.18439024172426,0.544716754028224,NA,0.0626641462205315,NA,-0.817993575146683,NA,NA,0.554516722008583,0.917859220744961,-1.07556678184948,8,-83.7672340009423,184.407195274612,2.39683913738534,0.0107252136241047
"3911",-8.43994671249649,NA,1.16044049834023,0.546159029540041,NA,NA,NA,-0.758464123331892,NA,-0.0192011988297611,0.54399352944991,0.920684168942592,-1.06201114976431,8,-83.769854759246,184.412436791219,2.40208065399278,0.0106971422316746
"2567",-5.5035770447739,NA,1.28765513518373,0.591758412300532,NA,NA,NA,NA,NA,NA,0.664274026347922,NA,-0.988963936442649,5,-87.0396830236209,184.436508904385,2.42615276715804,0.0105691625528251
"3591",-8.5160317481798,NA,1.23884987365418,0.569574956946226,NA,NA,NA,NA,NA,NA,0.71262434496138,0.884411645147544,-1.10669545108051,6,-86.0965361421021,184.69606629618,2.68571015895364,0.00928278743793445
"2119",-7.51074857429839,NA,1.37771466399318,0.534374064388786,NA,NA,NA,-1.08140228759641,NA,NA,NA,NA,-0.932064135286693,5,-87.2173836664033,184.79191018995,2.78155405272295,0.00884842896584774
"3651",-7.01974489462405,NA,1.00069148760305,NA,NA,NA,NA,-0.819680695678933,NA,NA,0.528223512505574,1.01549262871835,-0.893020042111121,6,-86.3388883352839,185.180770682544,3.1704145453173,0.00728494346376763
"3015",-5.52227855303522,NA,1.20226483552297,0.59344841369095,NA,NA,NA,-0.710009754871426,0.941111526516836,-0.0718360382318868,0.533270728249471,NA,-0.974561668271536,8,-84.2337108388359,185.340148950399,3.32979281317256,0.00672694124670637
"2760",-5.53152568045924,-0.287788736015702,1.20916020988302,0.600474586446654,NA,NA,NA,-0.75659824671967,0.792973172308119,NA,0.537858378977378,NA,-1.00649405010638,8,-84.2377598808668,185.348247034461,3.33789089723425,0.00669975864773993
"2627",-3.50665121583075,NA,1.05217736101449,NA,NA,NA,NA,-0.802547043068661,NA,NA,0.463485589063657,NA,-0.774168639550512,5,-87.5669862269332,185.491115311009,3.48075917378267,0.0062378611846038
"2767",-5.89377194085253,NA,1.26002542389838,0.592712732301266,0.0609912244275032,NA,NA,-0.816024726929193,0.695412639171105,NA,0.530485196199357,NA,-0.970475824206113,8,-84.329431013041,185.531589298809,3.52123316158276,0.00611289436706145
"2791",-6.54836988839155,NA,1.16308267734739,0.588506872897647,NA,NA,0.669953981993219,-0.805382537021595,0.704399479960944,NA,0.536768085740305,NA,-0.990184171761107,8,-84.3421781715999,185.557083615927,3.54672747870055,0.0060354668720191
