"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(latitude)","log(longitude)","log(nearest_SP)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"3",-6.11832618984783,NA,0.943877413075632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,-77.2745598996788,158.619295237954,0,0.00488889484160637
"259",-5.4572274341903,NA,0.846563061706272,NA,NA,NA,NA,NA,NA,-0.440387003524684,NA,NA,NA,NA,NA,3,-76.5426281760315,159.226432822651,0.607137584697028,0.00360888002502416
"2051",-4.55152808369909,NA,0.790700369646548,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.258019643640286,NA,NA,3,-76.5508351273792,159.242846725347,0.623551487392547,0.00357938332678257
"35",-5.26367223838972,NA,0.844185657011591,NA,NA,NA,-0.192027403341638,NA,NA,NA,NA,NA,NA,NA,NA,3,-76.7382677010591,159.617711872706,0.998416634752317,0.00296761309151678
"1283",-6.05114458361596,NA,0.920265392687592,NA,NA,NA,NA,NA,NA,-0.671694064817339,NA,0.161005159756628,NA,NA,NA,4,-75.7576599082464,159.752006207025,1.1327109690713,0.00277488912001001
"2083",-3.40495214431724,NA,0.660194186728201,NA,NA,NA,-0.219217882729277,NA,NA,NA,NA,NA,0.28677625278667,NA,NA,4,-75.8656761190238,159.96803862858,1.34874339062608,0.00249077667340208
"8195",-6.02106711954651,NA,0.9702517594127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.336423723502189,3,-76.9453085599637,160.031793590516,1.41249835256153,0.00241262917756418
"291",-4.5444789810062,NA,0.739916561533076,NA,NA,NA,-0.202079246016303,NA,NA,-0.45572805187847,NA,NA,NA,NA,NA,4,-75.9521514079381,160.140989206409,1.52169396845471,0.00228443628146398
"7",-6.68610388717314,NA,0.98218294489572,0.175809853436618,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.0240429268389,160.189262324266,1.56996708631192,0.00222995795498316
"1027",-6.49342235486447,NA,0.992906410873723,NA,NA,NA,NA,NA,NA,NA,NA,0.0661067058240307,NA,NA,NA,3,-77.1093894503764,160.359955371341,1.74066013338697,0.00204753413363292
"323",-6.80153268030411,NA,0.969959410960274,NA,NA,NA,NA,0.349003107799331,NA,-0.643675293597303,NA,NA,NA,NA,NA,4,-76.0772128665669,160.391112123666,1.77181688571221,0.00201588404526745
"3075",-4.85325313228146,NA,0.844072011096309,NA,NA,NA,NA,NA,NA,NA,NA,0.116152102078694,0.320538857549281,NA,NA,4,-76.0878909610586,160.41246831265,1.79317307469569,0.00199447276423424
"4",-6.34250610461219,0.217874229824738,0.979441905609695,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.1815699004724,160.504316271533,1.88502103357888,0.00190494999214801
"4099",-5.0394902357878,NA,0.960330517631809,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.290538084461543,NA,3,-77.1856160518819,160.512408574352,1.89311333639787,0.00189725784833574
"515",-5.88540143940441,NA,0.93019132582994,NA,NA,NA,NA,NA,NA,NA,-0.360033814988763,NA,NA,NA,NA,3,-77.1878805276575,160.516937525903,1.89764228794908,0.00189296641465574
"131",-7.47096008910955,NA,0.878590520155422,NA,NA,NA,NA,NA,0.887121196519205,NA,NA,NA,NA,NA,NA,3,-77.200778665377,160.542733801342,1.9234385633882,0.00186870745714152
"1315",-5.11112677136422,NA,0.810658070833582,NA,NA,NA,-0.21508557136591,NA,NA,-0.698490504146111,NA,0.169494040352729,NA,NA,NA,5,-75.0989411497797,160.555025156702,1.93572991874819,0.001857258201186
"19",-52.8576008173575,NA,0.901822295754451,NA,NA,10.9509465295049,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.2291341118382,160.599444694265,1.98014945631058,0.00181646362195126
"67",-6.48320104077508,NA,0.980552790633323,NA,NA,NA,NA,0.0784086337712364,NA,NA,NA,NA,NA,NA,NA,3,-77.2438630675845,160.628902605757,2.00960736780303,0.0017899050795837
"11",6.33804849046815,NA,0.940050171603977,NA,-3.33765236506868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,-77.2699158875833,160.681008245755,2.06171300780076,0.0017438752121879
"2307",-4.5306066749395,NA,0.76564878237056,NA,NA,NA,NA,NA,NA,-0.312445753779475,NA,NA,0.184426408270945,NA,NA,4,-76.2373216839168,160.711329758366,2.09203452041208,0.00171763614966696
"8227",-5.02829830517454,NA,0.866536395866171,NA,NA,NA,-0.224854267734044,NA,NA,NA,NA,NA,NA,NA,-0.423296335159188,4,-76.2384635684069,160.713613527346,2.09431828939228,0.00171567592697497
"260",-5.74433412837246,0.411531881413467,0.892802896561887,NA,NA,NA,NA,NA,NA,-0.519180334363361,NA,NA,NA,NA,NA,4,-76.2438935660257,160.724473522584,2.10517828462989,0.00170638505830257
"10243",-4.50624105232878,NA,0.821579708720177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.251280591643262,NA,-0.324223938021684,4,-76.2517866135412,160.740259617615,2.12096437966076,0.00169296949444851
"8451",-5.37015383312905,NA,0.869992770569934,NA,NA,NA,NA,NA,NA,-0.425454604490736,NA,NA,NA,NA,-0.30814677433435,4,-76.2689977225134,160.774681835559,2.15538659760514,0.00166408092724826
"2115",-5.35381588679536,NA,0.876677099385559,NA,NA,NA,NA,0.239519589651348,NA,NA,NA,NA,0.316971857033674,NA,NA,4,-76.2953626061458,160.827411602824,2.20811636487002,0.00162078093502312
"2055",-5.10733985643253,NA,0.826477305419591,0.179016593702306,NA,NA,NA,NA,NA,NA,NA,NA,0.260077311254524,NA,NA,4,-76.2996863889501,160.836059168433,2.21676393047852,0.00161378815880381
"263",-5.99634110891131,NA,0.883069167159549,0.164730381503263,NA,NA,NA,NA,NA,-0.43118857398462,NA,NA,NA,NA,NA,4,-76.3307122692343,160.898110929001,2.27881569104704,0.00156448771016903
"3331",-4.97551253147685,NA,0.830914036474996,NA,NA,NA,NA,NA,NA,-0.540498154364966,NA,0.180852225622035,0.232192919641496,NA,NA,5,-75.2848666362456,160.926876129634,2.30758089167992,0.0015421473500765
"1795",-5.72792327053689,NA,0.921850732724585,NA,NA,NA,NA,NA,NA,-0.694811869990077,-0.984221090815405,0.22687457866395,NA,NA,NA,5,-75.2947560766367,160.946655010416,2.32735977246219,0.00152697153960405
"2052",-4.75763941811401,0.308310876424174,0.829344986301329,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.274871249169471,NA,NA,4,-76.3710540261382,160.978794442809,2.35949920485481,0.00150262964779598
"3107",-3.63563862881696,NA,0.708149079971875,NA,NA,NA,-0.235652079461006,NA,NA,NA,NA,0.129274891663014,0.362095748798439,NA,NA,5,-75.3113039771678,160.979750811478,2.36045557352432,0.00150191128560593
"2081",0.474950674817429,NA,NA,NA,NA,NA,-0.321736537633529,NA,NA,NA,NA,NA,0.434708653644195,NA,NA,3,-77.4196553739795,160.980487218547,2.36119198059308,0.0015013583783597
