"","(Intercept)","COND_avg","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"38",-2.4590031275575,2.89320223294779,NA,-2.94175399200047,NA,NA,3.12727669179708,4,-89.6447720044308,187.526230399394,0,0.183050314851773
"54",-2.20921819024484,2.78089815932454,NA,-2.51558419768075,NA,-0.756341860216816,3.01457401314372,5,-89.2071282351244,188.771399327392,1.24516892799744,0.0982167327647149
"46",-2.73760192698098,2.90864576372045,NA,-2.97766961463653,0.513336066039407,NA,3.27312450644788,5,-89.4964427332603,189.350028323663,1.82379792426931,0.0735423990307495
"40",-2.65604682368016,2.66030513655165,0.614985132088375,-2.96906338969467,NA,NA,3.13802462947866,5,-89.5399394196832,189.437021696509,1.91079129711511,0.0704121202535903
"62",-2.68720421076249,2.72490190328789,NA,-2.31104704412122,1.20840688160625,-1.26081197444402,3.28119131592681,6,-88.5737851995262,189.650564411028,2.12433401163426,0.063281564953986
"6",-0.84766616620219,3.44372518125627,NA,-3.91426135032843,NA,NA,NA,3,-92.0568719339476,190.254920338483,2.72868993908929,0.0467781442225478
"50",-3.43836701258491,2.78761606423135,NA,NA,NA,-1.31329329168273,3.81800168281575,4,-91.1023724753637,190.44143134126,2.91520094186586,0.042613051886556
"56",-2.45819732750069,2.44615216884014,0.847627938396506,-2.50039384373923,NA,-0.83845597890389,3.02234423928198,6,-89.0160380139126,190.535070039801,3.00883964040716,0.0406639210813421
"58",-3.89891697139773,2.69947116781029,NA,NA,1.50460008089572,-1.89495424209874,4.08090377692332,5,-90.096212464768,190.549567786679,3.02333738728461,0.0403702192536642
"22",-0.630928879417612,3.29488450868369,NA,-3.33365786831748,NA,-0.918729946537226,NA,4,-91.3862792217446,191.009244834022,3.48301443462762,0.0320806755889501
"64",-3.03323420320762,2.3130037334378,1.04473581777727,-2.27116204184779,1.309064991001,-1.41153633541193,3.31029356020246,7,-88.2889530027633,191.252604800707,3.72637440131305,0.0284052463556644
"48",-2.94044850939517,2.67546531027581,0.623098167474285,-3.00689581590377,0.519259666325964,NA,3.28401948930562,6,-89.3882670234143,191.279528058805,3.75329765941046,0.0280254276909065
"34",-4.35698696636484,3.03779927996898,NA,NA,NA,NA,4.31144210226383,3,-92.6390524106988,191.419281291986,3.89305089259165,0.0261339598773767
"60",-4.26868760709931,2.22792722867829,1.19445894477586,NA,1.61537635000676,-2.06252434845518,4.09868148123957,6,-89.7323144430668,191.96762289811,4.4413924987154,0.0198670942979991
"52",-3.70748582904686,2.41628848872774,0.950641538821554,NA,NA,-1.40612538163272,3.81335117994251,5,-90.8660624832815,192.089267823706,4.56303742431174,0.0186947427400873
"8",-1.00234935713526,3.25649203864486,0.498185265449068,-3.94210343334517,NA,NA,NA,4,-91.986702348806,192.210091088145,4.68386068875046,0.0175987999528288
"14",-0.893234190745598,3.45110158934616,NA,-3.94011674699992,0.124832169639014,NA,NA,4,-92.0474037597628,192.331493910058,4.80526351066399,0.0165623045722301
"30",-0.849282109198721,3.27280500789955,NA,-3.26518677952192,0.853266499592016,-1.29507455896045,NA,5,-91.0523384639833,192.461819785109,4.9355893857153,0.0155174681493239
"24",-0.853218076023112,2.99883233161275,0.760443002597269,-3.32658587513736,NA,-0.987836158002538,NA,5,-91.229399819334,192.815942495811,5.28971209641671,0.0129994235138259
"55",-2.15417930092637,NA,2.30630734292165,-2.47631470340334,NA,-1.14557719934691,3.73281243837992,5,-91.303441639757,192.964026136657,5.43779573726272,0.012071691799731
"39",-2.32849679712099,NA,2.1263530808548,-3.18762390341247,NA,NA,3.92711610799626,4,-92.3721002205108,192.980886831554,5.45465643215999,0.0119703510127852
"63",-2.83783130155076,NA,2.4264689156876,-2.16666090839125,1.52891818935309,-1.82558951890256,4.01798034026601,6,-90.2992495215762,193.101493055129,5.57526265573435,0.0112698355006453
"42",-4.59726268089065,3.04991034723478,NA,NA,0.407283967659999,NA,4.44414686119923,4,-92.5436631320844,193.324012654701,5.79778225530723,0.0100831925320004
"36",-4.52925214565019,2.85818372166276,0.490759139543857,NA,NA,NA,4.32390272792847,4,-92.5721899429297,193.381066276392,5.85483587699784,0.00979961521467865
"59",-4.0561784399043,NA,2.55445144527891,NA,1.85543756277901,-2.4749534916949,4.76182863847745,5,-91.6134509138817,193.584044684906,6.05781428551208,0.00885386349477567
"37",-1.34692499063394,NA,NA,-3.10489841911369,NA,NA,4.15476791485505,3,-93.9714826910077,194.084141852604,6.55791145320941,0.00689506082620924
"32",-1.13416833190558,2.92510943288833,0.900619908129945,-3.25122997237891,0.935855960714837,-1.41622480185407,NA,6,-90.8361088532983,194.175211718573,6.64898131917857,0.00658813563310858
"16",-1.05043973801752,3.26380331248648,0.500469605836702,-3.96943384823923,0.129505577666334,NA,NA,5,-91.9765329019796,194.310208661102,6.78397826170783,0.00615812241757718
"53",-1.11242903022591,NA,NA,-2.49964287322227,NA,-0.999213520170502,4.0026078937483,4,-93.1373372686296,194.511360927792,6.98513052839766,0.00556889024049081
"51",-3.41069379634868,NA,2.42378719634405,NA,NA,-1.73036593582928,4.50502035133401,4,-93.1476846968687,194.53205578427,7.00582538487581,0.00551156365123243
"47",-2.55565351246248,NA,2.12478049538241,-3.22198153113079,0.442805169880646,NA,4.04565063832679,5,-92.2573362427406,194.871815342624,7.34558494322997,0.00465047138686801
"61",-1.67304734182922,NA,NA,-2.23565000107721,1.37228610282875,-1.5889061811204,4.26234552134902,5,-92.3013436424874,194.959830142118,7.43359974272349,0.00445025406690355
"44",-4.7699744016416,2.87125896639285,0.490477562956004,NA,0.407556188366182,NA,4.45689111573438,5,-92.4767179576509,195.310578772445,7.78434837305051,0.00373439891687832
"57",-2.88151774815202,NA,NA,NA,1.70273314884953,-2.24665589369243,5.07213889729674,4,-93.8211365712941,195.878959533121,8.35272913372657,0.00281059580953486
"45",-1.5722600555741,NA,NA,-3.13699862683918,0.439734368906388,NA,4.26867139131756,4,-93.8571632643181,195.951012919169,8.42478251977468,0.0027111415970384
"18",-1.81549931201647,3.53208565597358,NA,NA,NA,-1.8003796131693,NA,3,-95.0927403679421,196.326657206472,8.80042680707825,0.00224689138905789
"49",-2.34347838013137,NA,NA,NA,NA,-1.58272223937198,4.83499717637294,3,-95.1646156663351,196.470407803258,8.94417740386419,0.00209106259965926
"26",-2.06113318828744,3.48994225101202,NA,NA,1.12494100390761,-2.28490968605339,NA,4,-94.4918227932443,197.220331977021,9.69410157762701,0.00143721939446301
"20",-2.06689937278083,3.19854541121521,0.868905112930325,NA,NA,-1.88225394773527,NA,4,-94.8924008560464,198.021488102625,10.4952577032311,0.000962840227639112
"35",-4.34137567265813,NA,2.12296334568341,NA,NA,NA,5.26749678892469,3,-96.0393148987052,198.219806267999,10.6935758686046,0.000871946792503543
"23",0.0373191844260934,NA,2.59340042611695,-3.59742009900628,NA,-1.37948477338727,NA,4,-95.1275870074877,198.491860405508,10.9656300061138,0.000761051732757475
"28",-2.37932196553496,3.0941803881542,1.03548387647018,NA,1.20819813079361,-2.42079178930028,NA,5,-94.2130561102508,198.783255077645,11.2570246782504,0.000657867800110216
"33",-3.32612181292709,NA,NA,NA,NA,NA,5.49602822938276,2,-97.6567092505752,199.383593939747,11.8573635403528,0.000487277886122463
"31",-0.320522371356245,NA,2.68902312096757,-3.4833183632849,1.14519456640557,-1.91149243238999,NA,5,-94.5305765203493,199.418295897841,11.8920654984472,0.000478896064418974
"7",-0.0241098474193899,NA,2.40758594553355,-4.58569300684159,NA,NA,NA,3,-96.7878126419952,199.716801754579,12.1905713551844,0.000412497712781085
"43",-4.52542400879862,NA,2.11841030992296,NA,0.325521527336533,NA,5.37429091481235,4,-95.9758156712729,200.188317733078,12.6620873336841,0.000325861574058007
"2",-2.82032240796658,4.00941935039857,NA,NA,NA,NA,NA,2,-98.3038333096452,200.677842057887,13.1516116584928,0.000255114001339629
"21",1.39550489076818,NA,NA,-3.69841698882312,NA,-1.24724467879235,NA,3,-97.5850282690994,201.311233008787,13.7850026093928,0.000185863964761867
"41",-3.51582902534026,NA,NA,NA,0.333305040472685,NA,5.60235422600216,3,-97.5891912353705,201.319558941329,13.7933285419351,0.000185091827651031
"15",-0.0125995540470295,NA,2.40737076291149,-4.57706829615975,-0.0355907451175476,NA,NA,4,-96.7869977644314,201.810681919395,14.2844515200011,0.000144790892167532
"5",1.23920810152617,NA,NA,-4.5607682241631,NA,NA,NA,2,-98.9785232287261,202.027221896049,14.5009914966545,0.000129933215333889
"29",1.13101546001087,NA,NA,-3.61531474427867,0.980726171127777,-1.68720528168882,NA,4,-97.131152430075,202.498991250683,14.9727608512883,0.000102630577323766
"10",-2.66997152941357,3.97957141286963,NA,NA,-0.321464844503896,NA,NA,3,-98.2360426549573,202.613261780503,15.0870313811087,9.69311224093325e-05
"4",-2.89353736254631,3.9318164157994,0.214518078496908,NA,NA,NA,NA,3,-98.2906881876649,202.722552845918,15.1963224465239,9.17763936996398e-05
"13",1.25409515400312,NA,NA,-4.54975996673497,-0.0462320745151336,NA,NA,3,-98.9771321120934,204.095440694775,16.5692102953808,4.61968304561033e-05
"12",-2.74534742619578,3.89717515456945,0.226071320533173,NA,-0.325047266919137,NA,NA,4,-98.2214744684882,204.679635327509,17.1534049281148,3.44949823566045e-05
"27",-1.65362773583122,NA,3.0381995391311,NA,1.47797943388931,-3.08609641170771,NA,4,-98.5845054973546,205.405697385242,17.8794669858475,2.39934972484747e-05
"19",-1.25501926829364,NA,2.93053895888249,NA,NA,-2.43332704636,NA,3,-99.6365053166273,205.414187103843,17.8879567044487,2.38918640903633e-05
"17",0.243532881578545,NA,NA,NA,NA,-2.3270628968176,NA,2,-102.861581511133,209.793338460862,22.2671080614681,2.67503458127649e-06
"25",-0.0660680234351438,NA,NA,NA,1.31463469838657,-2.90021049799772,NA,3,-101.985278418156,210.1117333069,22.5855029075057,2.28134432360043e-06
"3",-2.1232199094426,NA,2.61491902107247,NA,NA,NA,NA,2,-106.467557036436,217.005289511469,29.4790591120749,7.26564422705919e-08
"11",-1.84248955754543,NA,2.61436234050865,NA,-0.669706894661416,NA,NA,3,-106.140571037301,218.42231854519,30.8960881457955,3.57742208010921e-08
"1",-0.74533293373011,NA,NA,NA,NA,NA,NA,1,-109.315141695211,220.653539204376,33.1273088049819,1.17237560521371e-08
"9",-0.459318453654423,NA,NA,NA,-0.68174998592781,NA,NA,2,-108.963926979079,221.998029396755,34.471798997361,5.98569298263884e-09
