"","(Intercept)","COND_avg","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"2",-3.03275060750244,2.85121686910037,NA,NA,NA,NA,NA,2,-77.4067238783702,158.883623195337,0,0.0893752886387134
"6",-2.15950801080324,2.52273628880941,NA,-1.62032827293152,NA,NA,NA,3,-76.5712554025386,159.283687275665,0.400064080328605,0.0731719528947842
"34",-3.59984203015649,2.3764240198341,NA,NA,NA,NA,1.72968053407042,3,-76.6474268177571,159.436030106102,0.552406910765626,0.0678053279471545
"22",-2.47208405599031,2.78696419557465,NA,-2.36021872014486,NA,1.10120285937671,NA,4,-75.8535856862279,159.943857762988,1.06023456765146,0.0526005695013698
"18",-3.30744902990103,3.00830774338539,NA,NA,NA,0.429420305561358,NA,3,-77.2730821780243,160.687340826637,1.8037176313,0.0362697991223607
"4",-3.29001383707069,2.60428259025788,0.724528817856204,NA,NA,NA,NA,3,-77.2938257734951,160.728828017578,1.84520482224158,0.0355251827918379
"50",-4.21258968686156,2.5686904053032,NA,NA,NA,0.767237205983396,2.085169770986,4,-76.2510005189722,160.738687428477,1.85506423314004,0.0353504850626098
"38",-2.79074199254511,2.28206487095005,NA,-1.18314628743251,NA,NA,1.20501821695564,4,-76.2666296192407,160.769945629014,1.88632243367718,0.0348022838915489
"10",-2.87586690119665,2.81735215899348,NA,NA,-0.333812568509925,NA,NA,3,-77.3542490292389,160.849674529066,1.96605133372918,0.0334421996034517
"8",-2.43177378583738,2.23441396356535,0.828408201352841,-1.66424612403228,NA,NA,NA,4,-76.4193531898486,161.07539277023,2.1917695748929,0.0298731308644164
"54",-3.28288694805628,2.52836796561912,NA,-1.90564386914738,NA,1.21995513712676,1.47523301401447,5,-75.4043354497476,161.165813756638,2.28219056130126,0.0285526271142931
"36",-3.93354751942538,2.05984658647203,0.883110566731119,NA,NA,NA,1.78929197182828,4,-76.4838375553667,161.204361501266,2.32073830592901,0.0280075769119992
"30",-2.2164763554143,2.81502844846814,NA,-2.43019770001979,-1.0325459883713,1.53094920510652,NA,5,-75.4996911661589,161.356525189461,2.47290199412382,0.0259557517764886
"14",-2.10433920872539,2.51334474419241,NA,-1.59081086794728,-0.150863400833956,NA,NA,4,-76.560836530559,161.358359451651,2.47473625631375,0.0259319578621783
"42",-3.58315040787022,2.3758339401,NA,NA,-0.0288358469052113,NA,1.720457893888,4,-76.6470624478185,161.530811286169,2.6471880908326,0.0237896398412024
"35",-3.85643400177119,NA,2.05235091006437,NA,NA,NA,2.61343585662259,3,-77.878977790358,161.899132051304,3.01550885596737,0.0197882791945001
