"","(Intercept)","COND_avg","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"6",-2.40499231733833,3.42734115750392,NA,-3.31063836292714,NA,NA,NA,3,-59.640761276464,125.422699023516,0,0.104652957889955
"38",-3.70628258386026,3.02859520883312,NA,-2.43573735651841,NA,NA,2.36244247462368,4,-58.7983058999368,125.833298190406,0.410599166889909,0.0852297140631414
"34",-5.26193348742497,3.12051510442208,NA,NA,NA,NA,3.39502999713255,3,-59.9989526458095,126.139081762207,0.716382738690939,0.0731460658264471
"14",-2.01112471793049,3.37699028672474,NA,-3.03460852592003,-1.20034529045863,NA,NA,4,-59.1737912998691,126.584268990271,1.16156996675444,0.058549042110366
"22",-2.57333348782747,3.57467526907292,NA,-3.73649143324447,NA,0.618884217406648,NA,4,-59.4722659992911,127.181218389115,1.75851936559845,0.0434404063684837
"30",-2.12633474618553,3.67598697222151,NA,-3.79775426738084,-2.08161706007445,1.45804213875298,NA,5,-58.4520035504695,127.261149958082,1.83845093456554,0.0417385117516286
"8",-2.18985446864689,3.66676663847623,-0.687387772218345,-3.25836410026411,NA,NA,NA,4,-59.5589810569248,127.354648504382,1.93194948086581,0.0398321737999673
"54",-4.04761788696752,3.20039815750089,NA,-2.94180576885647,NA,0.836305310629126,2.56336727642548,5,-58.4990280560953,127.355198969333,1.93249994581714,0.0398212122007244
"46",-3.24861179433549,3.01864012559021,NA,-2.3300638104882,-0.938416024734711,NA,2.11736164941831,5,-58.526590182883,127.410323222909,1.98762419939254,0.0387386423964995
"42",-4.67629332063545,3.09526836155526,NA,NA,-1.05420431827056,NA,3.08523051638032,4,-59.6469709844633,127.530628359459,2.1079293359428,0.0364771138133283
"40",-3.48457888454429,3.25844097616484,-0.668597509606697,-2.40393032007122,NA,NA,2.35462049239314,5,-58.7240990554888,127.80534096812,2.38264194460419,0.0317956262426159
"62",-3.42305944277718,3.31413934665866,NA,-3.11930409789914,-1.78422014673019,1.49299455482973,2.20203020322653,6,-57.7604837709444,128.023961553865,2.60126253034859,0.0285032594645999
"36",-4.96282820816746,3.40754079947162,-0.819165498171316,NA,NA,NA,3.35504737686841,4,-59.8952187365469,128.027123863626,2.60442484011013,0.028458227007806
"50",-5.34225998436137,3.1437588594668,NA,NA,NA,0.103939804082424,3.44320577123888,4,-59.9935422229596,128.223770836452,2.80107181293543,0.0257932751956496
"2",-4.01839045259441,3.90154244998853,NA,NA,NA,NA,NA,2,-62.1934337183426,128.457042875282,3.03434385176548,0.0229536688667724
"16",-1.80360352406813,3.59709247330131,-0.653156433590089,-2.99642395338514,-1.1842792070605,NA,NA,5,-59.1017101998838,128.56056325691,3.13786423339424,0.0217958066631545
"10",-3.32372043156037,3.77738603231973,NA,NA,-1.57888431304011,NA,NA,3,-61.3332338474551,128.807644165498,3.38494514198219,0.0192628263374659
"24",-2.3351806684138,3.88493528732613,-0.835285592627968,-3.71756378962187,NA,0.693097613989842,NA,5,-59.3528856813003,129.062914219743,3.64021519622717,0.0169546497030987
"32",-1.82289578722349,4.02465619855095,-0.981371346592976,-3.79347663277818,-2.11836007196913,1.56766683671533,NA,6,-58.2933658394735,129.089725690923,3.66702666740683,0.0167288768588841
