waterbody,date,dateNUTR,year,town,latitude,longitude,state,data_source,mult_survey,off_season,surfacearea_ha,surfaceaarea_sqm,perimeter_m,shoreline_development,depth_max_m,depth_avg_m,forested_shoreline_prop,inflow,outflow,FP_presence,FPcover_avg,FPcover_low_est,FPcover_max,FPcover_min,azolla,eichhornia_crassipes,lemna_minor,lemna_trisulca,lemna_valdiviana,riccia,spirodela_polyrhiza,wolffia,wolffia_borealis ,wolffia_brasiliensis ,allplant_species_richness,FP_species_richness,nonFP_species_richness,regime,azolla_cover_prop,lminor_cover_prop,lvaldiviana_cover_prop,ltrisulca_cover_prop,riccia_cover_prop,spolyrhiza_cover_prop,wolffia_cover_prop,wbrasiliensis_cover_prop,wborealis_cover_prop,TOTP_n,TOTP_avg,TOTP_SE,PO4_n,PO4_avg,PO4_SE,TOTN_n,TOTN_avg,TOTN_SE,NO3_n,NO3_avg,NO3_SE,NH4_n,NH4_avg,NH4_SE,totNtotP_n,totNtotP_avg,totNtotP_SE,PH_n,PH_avg,PH_SE,COND_n,COND_avg,COND_SE,DO_n,DO_avg,DO_SE,TEMP_n,TEMP_avg,TEMP_SE,ALK_n,ALK_avg,ALK_SE,secchi_n,secchi_avg,secchi_SE,notes,alisma,alisma_subcordatum,brasenia,cabomba,callitriche,callitriche_verna,callitriche_hetero,callitriche_stag,cardamine,ceratophyllum_dem,ceratophyllum_echin,charphyte,decodon,egeria,elatine,elatine_ameri,elatine_minima,elatine_triandra,eleocharis,eleocharis_acic,eleocharis_ellip,ellocharis_parv,elodea_canad,elodea_nutt,eriocaulon_aqua,fil_algae,glossostigma,gratiola,hydrilla,isoetes,isoetes_acad,isoetes_eaton,isoetes_echino,isoetes_engel,isoetes_lacus,isoetes_tuck,juncus,juncus_pelo,lobelia,ludwigia,ludwigia_dub,ludwigia_lac,ludwigia_pal,marsilea,megalodonta,myosotis,myriophyllum,myriophyllum_alt,myriophyllum_aqua,myriophyllum_hetero,myriophyllum_hetero_lax,myriophyllum_hum,myriophyllum_ten,myriophyllum_sibi,myriophyllum_spic,najas_flex,najas_grac,najas_guad,najas_minor,nasturtium,nelumbo,nuphar,nymphaea_odor,nymphaea_odor_odor,nymphaea_odor_tuber,nymphoides,nymphoides_cordata,nymphoides_pelt,peltandra,phragmites,polygonum,polygonum_amphi,polygonum_hydro,pontederia,potamogeton,potamogeton_ampli,potamogeton_berch,potamogeton_biculp,potamogeton_conferv,potamogeton_crispus,potamogeton_epi,potamogeton_foli,potamogeton_frie,potamogeton_grami,potamogeton_ilino,potamogeton_ilino_hybrid,potamogeton_natans,potamogeton_nodos,potamogeton_oakes,potamogeton_palus,potamogeton_perfo,potamogeton_pulch,potamogeton_pusil,potamogeton_prael,potamogeton_rich,potamogeton_robb,potamogeton_spir,potamogeton_vase,potamogeton_zost,proserpinaca,ranunculus,sagittaria,sagittaria_gram,sagittaria_lati,schoenoplectus,sparganium,sparganium_ameri,stuckenia,trapa,typha,typha_latif,sedge,utricularia,utricularia_gemi,utricularia_gibb,utricularia_inter,utricularia_macro,utricularia_mini,utricularia_mino,utricularia_purp,utricularia_radi,utricularia_subu,utricularia_vulg,vallisneria,zannichellia,zosterella
116 Old Field Road Pond,9/20/2011,9/20/2011,2011,Old Field,40.9624,73.1285,NY,MJM,Y,N,0.4,3968,231.99,1.039,1,,0.9551,0,0,Y,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,FP,0,1,0,0,0,0,0,0,0,,,,4,2.166207213,0.066203697,,,,4,0.024538942,0.002261478,4,0.183950246,0.07077977,,,,3,5.953333333,0.085114302,3,81.76666667,7.816719971,3,23.16666667,1.426339526,3,17.43333333,0.762306442,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116 Old Field Road Pond,11/8/2011,11/8/2011,2011,Old Field,40.9624,73.1285,NY,MJM,Y,Y,0.4,3968,231.99,1.039,1,,0.9551,0,0,Y,0.9636,0.9636,0.9636,0.9636,0,0,1,0,0,0,0,0,0,0,1,1,0,FP,0,0.96364,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,3,6.3,0.135769412,3,74.3,0.589726867,3,2.133333333,0.589726867,3,12.56666667,2.021825358,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116 Old Field Road Pond,3/6/2012,3/6/2012,2012,Old Field,40.9624,73.1285,NY,MJM,Y,Y,0.4,3968,231.99,1.039,1,,0.9551,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.38664,0.02331,4,1.58648,0.04306,4,0.93713,0.37824,4,0.09258,0.01696,4,0.284167015,0.10899507,,2.4238,,4,7.0075,0.189445463,4,234,7.449832213,4,14.025,1.14190995,4,7.675,0.50062461,,,,,,,Late winter  no plants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116 Old Field Road Pond,7/26/2012,7/26/2012,2012,Old Field,40.9624,73.1285,NY,MJM,Y,N,0.4,3968,231.99,1.039,1,,0.9551,0,0,Y,1,1,1,1,0,0,1,0,0,0,0,0,0,1,2,2,0,FP,0,0.77696,0,0,0,0,0,0.22304,0,,,,4,3.05343,0.04486,,,,4,0.06499,0.00173,4,0.12471,0.0213,,,,2,6.8,0,2,75.7,11.1,1,6,,2,29.4,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116 Old Field Road Pond,combined,3/6/2012,comb,Old Field,40.9624,73.1285,NY,MJM,Y,N,0.4,3968,231.99,1.039,1,,0.9551,0,0,Y,1,1,1,1,0,0,1,0,0,0,0,0,0,1,2,2,0,FP,0,0.91353,0,0,0,0,0,0.07435,0,4,0.38664,0.02331,3,2.2687,0.42656,4,0.93713,0.37824,3,0.0607,0.01976,3,0.19761,0.04654,,2.4238,,4,6.515208333,0.239004101,4,116.4416667,39.21959633,3,10.43333333,6.463773694,3,19.8,5.001370183,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4H Camp Pond,7/23/2009,7/23/2009,2009,Marlborough,41.5904,72.4266,CT,CAES,N,N,0.36,3642.171,229.7,1.04,3,,0,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,neither,0,0,0,0,0,0,0,0,0,2,0.0165,0.0045,,,,,,,,,,,,,,,,2,6.15,0.15,2,91.65,1.55,1,8.9,,1,22.5,,2,10.9,0.4,1,1.5,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander Lake,7/13/2005,7/13/2005,2005,Killingly,41.8607,71.8991,CT,CAES,N,N,87.01,870074.13,5755.31,1.822,15.545,7.62,,0,0,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,SAV,0,0,0,0,0,0,0,0,0,2,0.028,0.006,,,,,,,,,,,,,,,,2,5.7,0.2,2,30.25,1.75,1,7.7,,1,24.6,,2,5.25,1.5,1,5.8,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Amos Lake,8/1/2006,8/1/2006,2006,Preston,41.5147,71.9742,CT,CAES,Y,N,45.73,457294.775,3971.46,1.707,14,6,,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,21,SAV,0,0,0,0,0,0,0,0,0,2,0.015,0.003,,,,,,,,,,,,,,,,2,6.4,0.2,2,116,3,1,7.6,,1,30.5,,2,59.95,43.45,,2.3,,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0
Amos Lake,8/15/2013,8/15/2013,2013,Preston,41.5147,71.9742,CT,CAES,Y,N,45.73,457294.775,3971.46,1.707,14,6,,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,SAV,0,0,0,0,0,0,0,0,0,2,0.0295,0.0148,,,,,,,,,,,,,,,,2,7.05,0.75,2,117,6,1,8.4,,1,19.6,,2,20.25,4.5,,1,,,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0
Amos Lake,combined,8/1/2006,comb,Preston,41.5147,71.9742,CT,CAES,Y,N,45.73,457294.775,3971.46,1.707,14,6,,1,1,N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,SAV,0,0,0,0,0,0,0,0,0,2,0.0222,0.0072,,,,,,,,,,,,,,,,2,6.73,0.33,2,116.5,0.5,2,8,0.4,2,25.05,5.45,2,40.1,19.85,2,1.65,0.65,,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
