"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"10",-0.194771403052634,0.00378405846401298,NA,NA,-0.485591985510281,NA,NA,NA,3,-177.154837315414,360.450851101417,0,0.200088706320466
"26",0.0310947170734531,0.00373334062450917,NA,NA,-0.472759335604955,-0.146858319392377,NA,NA,4,-176.956905146633,362.150496683798,1.69964558238081,0.0855360571955803
"14",-0.709833138016467,0.00360179969177934,NA,0.0828920575921177,-0.4885111439599,NA,NA,NA,4,-176.975846822002,362.188380034537,1.73752893312025,0.0839311091560803
"42",-0.188547547801845,0.00375975486010109,NA,NA,-0.48122636402849,NA,-0.000437316108040407,NA,4,-177.144060107083,362.524806604699,2.07395550328209,0.0709363536949102
"74",-0.200149321694826,0.0037695823742508,NA,NA,-0.482959204361485,NA,NA,0.0448558926263325,4,-177.150431994183,362.537550378899,2.08669927748139,0.0704857922456826
"12",-0.190670100956628,0.00377465443095963,-0.000523145051004748,NA,-0.483523644655065,NA,NA,NA,4,-177.154134007059,362.544954404651,2.09410330323351,0.07022533534008
"30",-0.504026669467313,0.00354243021444735,NA,0.0877489289955487,-0.474848747481022,-0.154329007054948,NA,NA,5,-176.757681784331,363.872506425805,3.4216553243881,0.0361592624195047
"28",0.0342644937259557,0.00377540242984182,0.00275118802816799,NA,-0.482345038616913,-0.162626100225286,NA,NA,5,-176.939688236968,364.23651933108,3.78566822966258,0.0301422151239361
"58",0.0377127900792731,0.00374518068723926,NA,NA,-0.474552552981955,-0.153609181732609,0.000249647022767094,NA,5,-176.953781706194,364.264706269531,3.81385516811343,0.0297203862410448
"90",0.0286555377734415,0.00372963686540671,NA,NA,-0.472110478256211,-0.146208325526899,NA,0.0120974776304231,5,-176.956588461237,364.270319779617,3.81946867820017,0.0296370853543501
"46",-0.715404613276893,0.00356410824615313,NA,0.0851075619454894,-0.482525932019413,NA,-0.000592385032356627,NA,5,-176.956591705041,364.270326267225,3.8194751658076,0.0296369892176183
"78",-0.728380380076409,0.00357586341747779,NA,0.084564436256359,-0.484546317446427,NA,NA,0.0681261223662311,5,-176.965891040952,364.288924939047,3.83807383762968,0.0293626624050071
"16",-0.722943489612888,0.00361373412308069,0.000771294931352162,0.0840199140157828,-0.491632944609817,NA,NA,NA,5,-176.974368820075,364.305880497293,3.85502939587553,0.0291147844505871
"106",-0.193803700121236,0.00374623847751811,NA,NA,-0.478771665760277,NA,-0.00043030042846807,0.0430528806955105,5,-177.140007797735,364.637158452613,4.18630735119598,0.0246704735126309
"44",-0.188295664277737,0.00375922048245025,-3.53525112687291e-05,NA,-0.481105306515777,NA,-0.000435487035319147,NA,5,-177.144057087434,364.645257032011,4.19440593059409,0.0245707776033986
"76",-0.197032278446252,0.00376332529688328,-0.000374272378362329,NA,-0.481567857317225,NA,NA,0.0433557347879907,5,-177.150076990085,364.657296837312,4.20644573589527,0.0244233082351449
"32",-0.545110885039433,0.00360071714726323,0.00459751999760675,0.0952135971321524,-0.491228933658641,-0.1811059788177,NA,NA,6,-176.711654008762,365.926302029501,5.47545092808355,0.0129492171654965
"94",-0.515925527567723,0.00352979837932006,NA,0.0885552970588273,-0.47298905630058,-0.152538646188848,NA,0.034846929765155,6,-176.755106711466,366.013207434908,5.56235633349115,0.0123985884700834
"62",-0.498417768671033,0.00354947669137018,NA,0.0874102227148995,-0.475806783261584,-0.157880983098344,0.000131453457254834,NA,6,-176.756841131225,366.016676274426,5.56582517300927,0.0123771027512701
"60",0.0388511766728597,0.00378205047447339,0.0026418730786565,NA,-0.483241568256727,-0.166779231622055,0.000176536203805555,NA,6,-176.938166799285,366.379327610547,5.92847650912967,0.0103245292568876
"92",0.0302774454140042,0.00377015174335899,0.00280541950523042,NA,-0.481458948795639,-0.16186069564889,NA,0.0200300544098284,6,-176.93882411382,366.380642239616,5.92979113819911,0.0103177450236747
"110",-0.733547577173711,0.00353916133303113,NA,0.0867309836043035,-0.478726679582946,NA,-0.000585354435572157,0.0665337034831819,6,-176.947112922573,366.397219857122,5.94636875570478,0.0102325766681375
"48",-0.744223748326224,0.00358333940867666,0.0016266725344854,0.0878720179473482,-0.488133052147126,NA,-0.000685933121952791,NA,6,-176.950515075382,366.404024162739,5.95317306132193,0.0101978230308012
"122",0.0353408241150038,0.00374156935866128,NA,NA,-0.473921241553494,-0.152960387870507,0.000248792098507019,0.0116612501344582,6,-176.953487342044,366.409968696063,5.9591175946461,0.0101675573824512
"80",-0.747027150722983,0.00359032817748955,0.00103361201280976,0.0861640250016231,-0.488477657548739,NA,NA,0.0724299547392633,6,-176.963275961025,366.429545934026,5.97869483260928,0.0100685165644917
"108",-0.194683510824787,0.00374785344997595,0.000115811267069098,NA,-0.479142824293302,NA,-0.000436232673782494,0.043495153623276,6,-177.139975831959,366.782945675894,6.33209457447634,0.00843773166640752
"96",-0.562807442205741,0.00358514564881276,0.00473936350942663,0.0965238401009857,-0.489121981203281,-0.179415112254019,NA,0.0488921081399414,7,-176.706607217292,368.087913229765,7.63706212834813,0.00439395501306458
"64",-0.546033975035377,0.00359991178378644,0.00461096660090336,0.0952848607972494,-0.491141594032118,-0.18068738172508,-1.83395348268283e-05,NA,7,-176.711638326609,368.0979754484,7.64712434698254,0.0043719040619447
"126",-0.5103572816733,0.00353675341006697,NA,0.0882169777817277,-0.47393616500844,-0.155993667956615,0.000127097007557166,0.0344685147717452,7,-176.754321800891,368.183342396963,7.73249129554574,0.00418922248403955
"124",0.0349136970738186,0.00377684433072584,0.00269612689801315,NA,-0.482367903584115,-0.16596609071984,0.000173467132506817,0.0193960474036201,7,-176.937356770295,368.549412335772,8.09856123435435,0.00348852908808885
"112",-0.769331895367681,0.00355899975607901,0.00190929265405813,0.0901370447396743,-0.484859077891674,NA,-0.00069480840487467,0.0742621928653822,7,-176.938872252483,368.552443300146,8.10159219872907,0.00348324628840126
"128",-0.564399583631963,0.00358376267375309,0.00476215590795682,0.0966468151904952,-0.488970436094304,-0.178717069821677,-3.03281670056335e-05,0.0490568714981992,8,-176.706564472612,370.285856217952,9.83500511653455,0.00146412565467504
"13",-1.17342729568973,NA,NA,0.260358898535591,-0.561323320822824,NA,NA,NA,3,-183.729074173614,373.599324817817,13.1484737163999,0.000279297974426089
"77",-1.27678283138957,NA,NA,0.263282066646637,-0.532877788040238,NA,NA,0.481516292983986,4,-183.278408126848,374.793502644229,14.3426515428118,0.000153728845564447
"29",-0.856549449003392,NA,NA,0.26005875849657,-0.539509063238144,-0.215869993249472,NA,NA,4,-183.304661267348,374.846008925228,14.3951578238104,0.000149745497070329
"45",-1.18234183238972,NA,NA,0.262208664846596,-0.528670403119765,NA,-0.00262937911970398,NA,4,-183.33964452509,374.915975440713,14.4651243392962,0.000144597483899276
"15",-0.991862891712639,NA,-0.0113719374048484,0.239754519445673,-0.509500553229127,NA,NA,NA,4,-183.3878554993,375.012397389133,14.5615462877154,0.000137791673874536
"9",0.569960218428674,NA,NA,NA,-0.573329085757485,NA,NA,NA,2,-185.768803404956,375.607782248509,15.1569311470918,0.000102314408158626
"109",-1.28260853416034,NA,NA,0.26522074677028,-0.503209497685949,NA,-0.00249456271483224,0.459232540690822,5,-182.93056258614,376.218268029423,15.7674169280063,7.54000256197464e-05
