"","(Intercept)","log(COND_avg)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","nonFP_species_richness","df","logLik","AICc","delta","weight"
"38",-3.10115912453769,0.711854440078987,NA,-0.403667723131275,NA,NA,0.210134012176979,NA,4,-173.940936802618,356.118559995769,0,0.180205929111515
"102",-3.33740227454175,0.747544883340598,NA,-0.447970894431714,NA,NA,0.218971811884229,0.00897177287554041,5,-173.758698386287,357.874539629717,1.75597963394779,0.0748967449231344
"54",-3.15097816383487,0.719712111787479,NA,-0.440554110812242,NA,0.0273867324014934,0.218619027430769,NA,5,-173.828856712432,358.014856282007,1.89629628623771,0.0698222065414395
"40",-3.53780643037817,0.690284563375475,0.291878484592141,-0.40562755722,NA,NA,0.212316947851592,NA,5,-173.901251506676,358.159645870496,2.04108587472672,0.0649460750019122
"46",-3.08973505350533,0.711586322839503,NA,-0.402065918812101,-0.035055319432078,NA,0.208416949113842,NA,5,-173.937500024884,358.232142906912,2.11358291114254,0.0626340332183918
"6",-4.15829111886264,0.807405752967348,NA,-0.569269409908681,NA,NA,NA,NA,3,-176.062555175632,358.266286821853,2.14772682608412,0.0615738233458655
"34",-3.05926326981592,0.735791711531036,NA,NA,NA,NA,0.310240616187437,NA,3,-176.533451585823,359.208079642234,3.08951964646519,0.0384492974633322
"104",-3.85260783494034,0.724857245405473,0.334926155116648,-0.45243570321219,NA,NA,0.221190676019428,0.00930791728703867,6,-173.706286834348,359.915567680671,3.79700768490216,0.0269935083369591
"110",-3.32869029727501,0.751152828755677,NA,-0.448919195027531,-0.121465401080937,NA,0.214207452304222,0.0102344016401587,6,-173.72122398885,359.945441989676,3.82688199390736,0.0265932985710746
"118",-3.32580676563425,0.746000490797568,NA,-0.46262928790232,NA,0.0166945573516468,0.222500984311654,0.00735543747923412,6,-173.723467968553,359.949929949082,3.8313699533129,0.0265336906533429
"62",-3.11692349343513,0.721278994957963,NA,-0.446387029553958,-0.159843232092792,0.0371699529622524,0.213705946770427,NA,6,-173.772757928742,360.048509869461,3.92994987369201,0.0252575547941037
"56",-3.46805171078507,0.703399231371156,0.213870516118141,-0.439382290020833,NA,0.0253163430119817,0.219400482955989,NA,6,-173.808004905099,360.119003822174,4.00044382640527,0.0243828089895758
