"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"10",-0.280102985574773,0.00628069022986006,NA,NA,-0.800794904553808,NA,NA,NA,3,-92.7615994434823,191.664375357553,0,0.171584288960399
"42",-0.208844626894894,0.00598294006112893,NA,NA,-0.753650782167774,NA,-0.00492115630410139,NA,4,-92.3865907075261,193.009867805585,1.34549244803193,0.0875603616250248
"14",-1.34469718664901,0.00566811220454375,NA,0.177047505247326,-0.807688671199828,NA,NA,NA,4,-92.5838565967743,193.404399584081,1.74002422652828,0.0718846329236938
"12",-0.174023486527911,0.00596167001780877,-0.0115778946748075,NA,-0.754153194598491,NA,NA,NA,4,-92.6657719117952,193.568230214123,1.90385485657023,0.066230905099106
"26",-0.134344011149269,0.00625725237908935,NA,NA,-0.7938308485095,-0.0932383653016695,NA,NA,4,-92.7358053741965,193.708297138926,2.04392178137283,0.0617512202224993
"74",-0.261577110584879,0.00634025933300517,NA,NA,-0.808294397876557,NA,NA,-0.224067392766892,4,-92.7510197858766,193.738725962286,2.07435060473293,0.0608188226622039
"46",-1.4768858335415,0.00522097169424096,NA,0.211780883244412,-0.754907997360931,NA,-0.005482028690874,NA,5,-92.1370588441929,194.631260545529,2.96688518797598,0.0389248176360026
"44",-0.157636166877351,0.0058370984884005,-0.00616704287136856,NA,-0.732407331630172,NA,-0.00456698294287502,NA,5,-92.3617018905089,195.080546638161,3.41617128060778,0.031093195044472
"106",-0.186786298336494,0.00605259148391568,NA,NA,-0.762089762992193,NA,-0.00495489566856442,-0.264933068946345,5,-92.3715375331335,195.10021792341,3.43584256585706,0.0307888725469597
"58",-0.281574174379767,0.00597994822017046,NA,NA,-0.754530987188647,0.0486374805554893,-0.0051789930306241,NA,5,-92.3807496318234,195.11864212079,3.45426676323697,0.0305065448265062
"16",-1.20020308985876,0.00541026875827565,-0.0105924009066681,0.168938750487762,-0.764235382289265,NA,NA,NA,5,-92.5035288265495,195.364200510242,3.69982515268899,0.0269817861233403
"30",-1.19905850153319,0.00564181188218865,NA,0.177135781222443,-0.800463786424809,-0.0935312411891081,NA,NA,5,-92.5579192024482,195.472981262039,3.80860590448643,0.0255534330722764
"78",-1.31858211627468,0.00571510130886193,NA,0.174831829086094,-0.81276689391323,NA,NA,-0.150789820557765,5,-92.5790158509479,195.515174559039,3.85079920148596,0.0250199880130651
"76",-0.145080861917008,0.00602556258930439,-0.0121202671173379,NA,-0.761719710418519,NA,NA,-0.292755555245297,5,-92.6474562102266,195.652055277596,3.98767992004332,0.0233648946360846
"28",-0.134034943742181,0.00597393102402493,-0.0108571869658555,NA,-0.754814639850927,-0.0298219726226444,NA,NA,5,-92.663509250395,195.684161357933,4.01978600038015,0.0229928115666432
"90",-0.102141584266014,0.00632526798803572,NA,NA,-0.801960688635208,-0.100158782442462,NA,-0.261041283755931,5,-92.7215600033976,195.800262863938,4.13588750638527,0.0216960642579387
"62",-1.5975986640501,0.00520806728451216,NA,0.214707629653528,-0.756035255958375,0.068937081163142,-0.00587233162439061,NA,6,-92.1255057907613,196.754005593499,5.08963023594578,0.0134672324457486
"48",-1.41254820503226,0.00514408561608596,-0.00416423783524476,0.206717121832214,-0.740556075418069,NA,-0.00521744259200629,NA,6,-92.1258373069668,196.75466862591,5.0902932683569,0.0134627685799115
"110",-1.44574831773398,0.00527677919628148,NA,0.209151240685121,-0.760783756441413,NA,-0.00549686238515698,-0.179856642397059,6,-92.1300157590449,196.763025530066,5.09865017251312,0.0134066324093865
"108",-0.1280793207545,0.00590324599645328,-0.006725723803844,NA,-0.740014971687861,NA,-0.00457502084695964,-0.300349362129225,6,-92.3423233973275,197.187640806631,5.52326544907825,0.010842156356973
"60",-0.274537566503746,0.00579342648457136,-0.00781434310779859,NA,-0.728449515072243,0.0873525485390469,-0.00493010635390249,NA,6,-92.344565212436,197.192124436848,5.52774907929523,0.0108178774715976
"122",-0.250037656424703,0.00604641406500854,NA,NA,-0.762449132791559,0.0415967472156317,-0.00517361806232193,-0.251511698622336,6,-92.3673045262354,197.237603064447,5.57322770689399,0.0105746621162569
"80",-1.15675544453206,0.00546840288099698,-0.0110185657500022,0.165402492208014,-0.769795563920654,NA,NA,-0.217773517908899,6,-92.4933383288993,197.489670669775,5.8252953122219,0.00932246399196663
"32",-1.1549560959858,0.00542143241293259,-0.00970121285969436,0.16969128784672,-0.765018416958907,-0.0370321715582299,NA,NA,6,-92.5000383178258,197.503070647628,5.83869529007478,0.00926021236194124
"94",-1.15909538278079,0.00569891893496973,NA,0.174369175097422,-0.806304227291039,-0.098424288112733,NA,-0.18644669716278,6,-92.5505762433154,197.604146498607,5.939771141054,0.0088038493868257
"92",-0.0969726510514163,0.00604197737272062,-0.0112766967002039,NA,-0.762688411773211,-0.0353665493263168,NA,-0.300642381977472,6,-92.6442909221205,197.791575856217,6.12720049866434,0.00801627922629398
"45",-2.56115047931782,NA,NA,0.519577292689823,-0.808569605894226,NA,-0.00827256049233551,NA,4,-94.7829004754346,197.802487341402,6.13811198384897,0.00797266355640656
"13",-2.45749105540745,NA,NA,0.501179236112,-0.905752963480625,NA,NA,NA,3,-95.8410682146452,197.823312899879,6.15893754232582,0.00789007669643396
"15",-1.96166573690119,NA,-0.0263916007400393,0.442822816165572,-0.785356655450616,NA,NA,NA,4,-95.2803315040525,198.797349398637,7.13297404108468,0.00484810354167499
"64",-1.55436779375885,0.00509455091807598,-0.0059167632184784,0.208545779865928,-0.736239388326707,0.0970399839252013,-0.00564875175253998,NA,7,-92.1048434780251,198.884385751231,7.22001039367814,0.00464164778766909
"112",-1.37024479727093,0.00520049834077993,-0.00459130194824573,0.203184548105725,-0.745821458200414,NA,-0.00520865474506186,-0.206855488458996,7,-92.116569037718,198.907836870617,7.24346151306398,0.00458753971312643
"126",-1.56189791544497,0.00525800439644563,NA,0.212199095052656,-0.761175139647134,0.0642323605882356,-0.00585846978285287,-0.158546216941046,7,-92.1200841386889,198.914867072559,7.25049171500572,0.004571442356319
"124",-0.23885115027756,0.00585825236246463,-0.00824105496608472,NA,-0.73590868297629,0.081617804344067,-0.00491329245972076,-0.282595449260055,7,-92.3274400971986,199.329578989578,7.66520363202523,0.00371534971871641
"9",0.841785418285424,NA,NA,NA,-0.904036799491821,NA,NA,NA,2,-97.6545655155411,199.379306469679,7.71493111212592,0.00362411119488224
"11",0.999214595591685,NA,-0.0345311068102934,NA,-0.754337462285164,NA,NA,NA,3,-96.6429199009465,199.427016272481,7.76264091492848,0.00353868139059909
