"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"10",-1.48314718409292,0.00426264524519494,NA,NA,-0.394183011075388,NA,NA,NA,3,-76.7939286514641,159.729033773517,0,0.0876250129890824
"2",-2.32498177473356,0.00521405807589331,NA,NA,NA,NA,NA,NA,2,-78.368942163907,160.80805976641,1.07902599289395,0.0510881972598458
"14",-2.63073928584781,0.00373265570412014,NA,0.18639427380569,-0.395680527264283,NA,NA,NA,4,-76.6281511912967,161.492988773126,1.76395499960933,0.0362735561028964
"9",-0.657349479358293,NA,NA,NA,-0.490203111553575,NA,NA,NA,2,-78.727149442235,161.524474323066,1.79544054954997,0.035706981104523
"12",-1.63379294216437,0.00464936747657085,0.0155879885735615,NA,-0.451173172440425,NA,NA,NA,4,-76.6509338384573,161.538554067447,1.80952029393072,0.0354564912639921
"26",-1.17518462108981,0.00420048779781325,NA,NA,-0.383082429450258,-0.194300782869766,NA,NA,4,-76.7153362262217,161.667358842976,1.93832506945935,0.0332449860040422
"42",-1.51659392584493,0.00439444587376655,NA,NA,-0.412485888123074,NA,0.00187137003846815,NA,4,-76.7430105074126,161.722707405358,1.99367363184118,0.0323375688840221
"74",-1.45779633996212,0.00434465160272059,NA,NA,-0.404356664222558,NA,NA,-0.291667566350447,4,-76.7730715305689,161.78282945167,2.05379567815385,0.0313799343282503
"13",-3.24342396248829,NA,NA,0.385785163318693,-0.467866240333404,NA,NA,NA,3,-77.8714661316851,161.884108733958,2.15507496044185,0.0298304299978376
"6",-3.56013819390548,0.0046417612900957,NA,0.20035210882215,NA,NA,NA,NA,3,-78.180790229024,162.502756928636,2.77372315511977,0.0218938311836225
"18",-1.87667631592049,0.00509933341302242,NA,NA,NA,-0.263845713395001,NA,NA,3,-78.2202998653565,162.581776201301,2.8527424277847,0.0210456792904189
"4",-2.23122103482218,0.00503898855886696,-0.00547443759318054,NA,NA,NA,NA,NA,3,-78.3485576976513,162.838291865891,3.10925809237429,0.018512338346012
"66",-2.32802392469257,0.00514495944646223,NA,NA,NA,NA,NA,0.195823914508742,3,-78.3590334617463,162.859243394081,3.13020962056439,0.0183194197059966
"34",-2.29275799735151,0.00513466865666255,NA,NA,NA,NA,-0.000821914513363367,NA,3,-78.3593276658005,162.859831802189,3.1307980286727,0.0183140308511997
"28",-1.1690808523254,0.00470814732586809,0.0228023616525947,NA,-0.459521775992099,-0.334508002854349,NA,NA,5,-76.4512799229665,163.259702703076,3.53066892955943,0.0149952281747872
"16",-2.90396369714433,0.00411280405822785,0.0172320346886368,0.203913385919416,-0.460206746540562,NA,NA,NA,5,-76.4553992340424,163.267941325228,3.53890755171119,0.0149335852157103
"25",-0.255213960045219,NA,NA,NA,-0.47221113114014,-0.26517509784415,NA,NA,3,-78.5830401045072,163.307256679603,3.57822290608618,0.014642892154313
"30",-2.33780687758174,0.00365715275998517,NA,0.191131369146424,-0.383436931364819,-0.204284857617874,NA,NA,5,-76.5413814848943,163.439905826931,3.71087205341487,0.0137032148636027
"58",-1.08146427349989,0.00439517523346504,NA,NA,-0.407101609314226,-0.290717989013304,0.00316655625782648,NA,5,-76.5888307647738,163.53480438669,3.80577061317388,0.0130681920129829
"46",-2.60668357092263,0.00386665776650686,NA,0.178055022142832,-0.411497473881101,NA,0.00156975877360871,NA,5,-76.5934639080684,163.54407067328,3.81503689976313,0.0130077852514339
"73",-0.692514580386819,NA,NA,NA,-0.480093155966648,NA,NA,0.252842001850564,3,-78.7113913028257,163.56395907624,3.83492530272321,0.012879074238859
"11",-0.644804457506673,NA,-0.00256095821502953,NA,-0.479413588177351,NA,NA,NA,3,-78.7227253237123,163.586627118013,3.85759334449622,0.0127339266491456
"78",-2.58294675894272,0.00380636322798564,NA,0.181837825113211,-0.403519082246755,NA,NA,-0.221439682230528,5,-76.616324960085,163.589792777313,3.86075900379632,0.0127137869555407
"41",-0.656626845637714,NA,NA,NA,-0.487706092991142,NA,-0.000210394645320712,NA,3,-78.7264582403106,163.594092951209,3.86505917769293,0.0126864805742106
"44",-1.64029790446724,0.00469559691809089,0.0141107884566654,NA,-0.45735124493882,NA,0.0011687954488881,NA,5,-76.6327582875952,163.622659432333,3.89362565881672,0.012506564471501
"76",-1.6106581003952,0.00469896254139613,0.0151548325483259,NA,-0.457215722665135,NA,NA,-0.215183581072321,5,-76.6396755831106,163.636494023364,3.90746024984759,0.0124203513936043
"29",-2.84994786020487,NA,NA,0.38570798994157,-0.449090154766562,-0.260316101304831,NA,NA,4,-77.7317457568259,163.700177904184,3.9711441306678,0.0120310935558783
"90",-1.12254593944063,0.00429815312840796,NA,NA,-0.394630151740299,-0.20809347888388,NA,-0.359863778389745,5,-76.684079800187,163.725302457517,3.99626868400031,0.011880900985505
"106",-1.49167842154312,0.00446994930245849,NA,NA,-0.421906986419539,NA,0.00183665301900722,-0.277941420925637,5,-76.7240809757442,163.805304808631,4.07627103511476,0.0114150307754579
"77",-3.28242269116195,NA,NA,0.386282600349468,-0.457441680768523,NA,NA,0.251815648182343,4,-77.8561176655464,163.948921721625,4.21988794810892,0.0106240735905897
"15",-3.32055907980471,NA,0.0042001983181028,0.394399766490095,-0.485838174921711,NA,NA,NA,4,-77.8601628471445,163.957012084822,4.22797831130507,0.0105811840899989
"45",-3.24523762610621,NA,NA,0.386208986627814,-0.462899192227865,NA,-0.000396714019279964,NA,4,-77.8691467396462,163.974979869825,4.24594609630839,0.010486549599138
"22",-3.14017485539228,0.00450097408813508,NA,0.208484335927146,NA,-0.277117236799934,NA,NA,4,-78.0171049879793,164.270896366491,4.54186259297464,0.00904430426957574
"5",-4.65364432587259,NA,NA,0.47390501404391,NA,NA,NA,NA,2,-80.2262682419664,164.522711922529,4.79367814901278,0.00797432829732742
"38",-3.5603555579993,0.00449267388903492,NA,0.208640841626872,NA,NA,-0.00129532426022659,NA,4,-78.1578872995651,164.552460989663,4.82342721614617,0.00785659169271344
"70",-3.60125944840696,0.00452903992332822,NA,0.206282865254074,NA,NA,NA,0.275835955893112,4,-78.1614572097912,164.559600810115,4.83056703659844,0.00782859436938625
"8",-3.46172842347117,0.00451438420177343,-0.00427555667342964,0.196345173347623,NA,NA,NA,NA,4,-78.1684623685651,164.573611127663,4.84457735414631,0.00777394545847938
"50",-1.86767957146921,0.00514681196256905,NA,NA,NA,-0.282378874372169,0.000572991681842453,NA,4,-78.216340577636,164.669367545805,4.94033377228803,0.00741051255362579
"82",-1.88576187545321,0.00506612103844283,NA,NA,NA,-0.259378164503354,NA,0.0989287476153661,4,-78.2178201416495,164.672326673832,4.94329290031507,0.00739955633314317
"20",-1.87230874631102,0.00508103399658371,-0.000629258404907827,NA,NA,-0.260096839588029,NA,NA,4,-78.220059658316,164.676805707165,4.94777193364803,0.00738300344556269
