"","(Intercept)","COND_avg","nonFP_species_richness","PH_avg","secchi_avg","shoreline_development","surfacearea_ha","TOTP_avg","df","logLik","AICc","delta","weight"
"10",-1.61371059058795,0.00602581704691834,NA,NA,-0.765773169640816,NA,NA,NA,3,-59.4859712516931,125.113118973975,0,0.137092754173486
"42",-1.71062902807299,0.00640849704442841,NA,NA,-0.824505036361188,NA,0.00545629304052276,NA,4,-59.1397744723788,126.51623533529,1.40311636131561,0.067972251372779
"26",-0.983963815886428,0.00591295577685937,NA,NA,-0.727277500577391,-0.416554164348999,NA,NA,4,-59.2533784146413,126.743443219815,1.63032424584065,0.0606728072433717
"12",-1.78127076315465,0.00649609708302187,0.0210532569155725,NA,-0.861270847327623,NA,NA,NA,4,-59.3130635619013,126.862813514335,1.74969454036054,0.0571574913747972
"74",-1.51982127643109,0.00627669470025147,NA,NA,-0.812685728620112,NA,NA,-0.854401429779278,4,-59.3266252787646,126.889936948062,1.77681797408722,0.0563875701870308
"14",-1.34902375607175,0.00614312376045946,NA,-0.0434308092003556,-0.763178259469325,NA,NA,NA,4,-59.478898597521,127.194483585574,2.08136461159998,0.0484230252402474
"58",-0.796632798839416,0.00641369134941849,NA,NA,-0.781125308619031,-0.641603456984344,0.00783733395140736,NA,5,-58.6259013938039,127.608945644751,2.49582667077622,0.0393597767086752
"28",-0.915487033310731,0.00658821044493743,0.034592601092234,NA,-0.866953729454118,-0.635909091548746,NA,NA,5,-58.8564554993366,128.070053855816,2.95693488184148,0.0312553416252557
"106",-1.6179873629477,0.00664112669431697,NA,NA,-0.86886765935271,NA,0.00536378297782488,-0.819572907067786,5,-58.9928252965681,128.342793450279,3.22967447630461,0.0272709080923295
"90",-0.81316725967175,0.00619340911651008,NA,NA,-0.776028684278849,-0.459877652129463,NA,-0.980718203620379,5,-59.0478490296265,128.452840916396,3.33972194242128,0.0258108969018034
"44",-1.81994862849954,0.00670894566212693,0.0151411318046238,NA,-0.888205016097832,NA,0.00487052764927268,NA,5,-59.0530555045987,128.46325386634,3.35013489236573,0.0256768623396471
"46",-1.32891958914986,0.00658282270830829,NA,-0.062936574093931,-0.820607721930653,NA,0.00551164217867021,NA,5,-59.1252127623534,128.60756838185,3.49444940787507,0.0238893566325409
"76",-1.6826556840569,0.00668817006014654,0.0193885142166426,NA,-0.896596032680742,NA,NA,-0.771779750795815,5,-59.1834104090188,128.72396367518,3.61084470120593,0.0225387349845255
"30",-0.768331974733883,0.00600791453026057,NA,-0.0357182386256892,-0.725622125029006,-0.414608938471833,NA,NA,5,-59.2486296315064,128.854402120156,3.74128314618113,0.0211156856791118
"16",-1.67601472381327,0.00653806614900604,0.020851881453,-0.0170333408764158,-0.859217526630411,NA,NA,NA,5,-59.3120044578829,128.981151772909,3.86803279893417,0.0198190051825667
"78",-1.15329536114968,0.00644775691685969,NA,-0.0599547848976675,-0.809871766927939,NA,NA,-0.872949315272337,5,-59.3131751832775,128.983493223698,3.87037424972343,0.0197958161465484
"60",-0.73662433658694,0.00697966341250825,0.0305109137984204,NA,-0.902684875030731,-0.827863535439166,0.00736877747704029,NA,6,-58.3182929266349,129.139579865246,4.02646089127126,0.0183096325253214
