"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"1319",-3.83267389160365,NA,0.806873078538656,0.253406532034222,NA,NA,-0.374674101841866,NA,NA,0.209683848227074,NA,-0.471757220481091,6,-169.462169457779,351.427332927534,0,0.0493501392773905
"1327",-4.33112837213843,NA,0.856845939444033,0.246354553536779,0.189718103425359,NA,-0.46942998757616,NA,NA,0.245655867518603,NA,-0.51151759877744,7,-168.815328689562,352.305356174305,0.878023246771193,0.0318147164673211
"1320",-3.93291943405757,0.250932699870652,0.819443542299362,0.256635641481231,NA,NA,-0.419276320428276,NA,NA,0.211971025667737,NA,-0.469660433698951,7,-168.960489505965,352.595677807112,1.16834487957789,0.0275160136110593
"1447",-3.8943153908072,NA,0.819138096254297,0.252289372320404,NA,NA,-0.43614000575056,NA,0.0454634244760863,0.223489174902979,NA,-0.495502921479444,7,-169.172302416633,353.019303628447,1.59197070091335,0.0222636485306273
"1063",-4.86831980871285,NA,0.898855964291773,0.2555039932621,NA,NA,-0.548252816437053,NA,NA,NA,NA,-0.478516295391648,5,-171.503263107745,353.363669072634,1.93633614509986,0.0187421034722594
"1287",-3.82301927360764,NA,0.838345994019291,0.256292644717735,NA,NA,NA,NA,NA,0.30431045923442,NA,-0.499167348845805,5,-171.526060163824,353.40926318479,1.98193025725635,0.0183196720792994
"1335",-4.38084785354471,NA,0.783053881811098,0.252296133106901,NA,0.360960978530159,-0.375234722889238,NA,NA,0.212708442394678,NA,-0.477246459492038,7,-169.401033932125,353.47676665943,2.0494337318961,0.0177116696069417
"1383",-3.86834968197892,NA,0.807689195893941,0.254996925204406,NA,NA,-0.380791584290956,0.111407639665022,NA,0.215026880958822,NA,-0.477821420608148,7,-169.429252041515,353.533202878211,2.105869950677,0.0172188654765688
"1831",-4.01564884006234,NA,0.802160639966672,0.251907185499949,NA,NA,-0.375509410694904,NA,NA,0.210744231127266,0.0540279929450133,-0.475705179334316,7,-169.448204177647,353.571107150474,2.14377422294041,0.0168956041164615
"1315",-3.04439524698136,NA,0.749974415393333,NA,NA,NA,-0.38194680710532,NA,NA,0.20728754300221,NA,-0.403914903320061,5,-171.759851475775,353.876845808693,2.44951288115902,0.0145005147316781
"1328",-4.28724705955745,0.174647558431604,0.853214798171067,0.250675900904012,0.150486202999132,NA,-0.480669205448785,NA,NA,0.24042856735031,NA,-0.501463663660109,8,-168.594893688227,354.062514649181,2.63518172164726,0.0132149627236103
"1323",-3.63011136573928,NA,0.807968351202452,NA,0.211426081818198,NA,-0.488250439943713,NA,NA,0.247686849915022,NA,-0.443326359064554,6,-170.927431996526,354.357858005028,2.93052507749388,0.0114007375350579
"1343",-4.92905773719707,NA,0.833864872960368,0.244593122186765,0.191451052013935,0.382761268276551,-0.47166381838795,NA,NA,0.247642070462846,NA,-0.518048575840842,8,-168.744962446459,354.362652165646,2.93531923811241,0.0113734417797304
"1455",-4.29529232947103,NA,0.855838527091964,0.246930563488263,0.165404160955954,NA,-0.485131200062289,NA,0.0202624727622551,0.247136117558016,NA,-0.516220914015612,8,-168.769130196763,354.410987666253,2.98365473871917,0.0111018661826812
"1839",-4.59064361558023,NA,0.850436810934931,0.244114880538503,0.191625327971925,NA,-0.471308454780765,NA,NA,0.247922904219598,0.0760386143583702,-0.518037313637723,8,-168.787645286607,354.448017845942,3.02068491840816,0.0108982053501959
"1391",-4.32909716422605,NA,0.857469517586371,0.245697683040939,0.19392425512414,NA,-0.469516219784388,-0.0376992588980266,NA,0.24465790879641,NA,-0.510316790693218,8,-168.811922302403,354.496571877533,3.06923894999954,0.0106368151714248
"1448",-3.94591227808294,0.206509194718452,0.8234682417607,0.255098567499186,NA,NA,-0.446177231085664,NA,0.0255011941977822,0.219259976522561,NA,-0.483214852951969,8,-168.884559659307,354.641846591341,3.21451366380705,0.00989157867456257
"1064",-4.96446088010577,0.226946513592289,0.908821761009873,0.260323340193111,NA,NA,-0.590321905359562,NA,NA,NA,NA,-0.472229769814623,6,-171.088372863065,354.679739738105,3.25240681057142,0.00970593139671708
"1336",-4.43035577358499,0.248545969497405,0.797996541522893,0.2548444002681,NA,0.327067573025981,-0.420269274533866,NA,NA,0.213864026730702,NA,-0.474714036717222,8,-168.909175473896,354.69107822052,3.2637452929863,0.00965106181190214
"1384",-3.94654520472261,0.246697934308557,0.81958328990303,0.257107879007408,NA,NA,-0.421260125551054,0.0511258836082615,NA,0.214520159399681,NA,-0.472676408976271,8,-168.953660500069,354.780048272865,3.35271534533166,0.00923114336259153
"1832",-4.0454218334654,0.249193965691266,0.816284406575204,0.255610095942224,NA,NA,-0.419488126503651,NA,NA,0.212612685264963,0.0337055182656131,-0.472363186928154,8,-168.955056948312,354.782841169352,3.3555082418182,0.0092182615451485
"1316",-3.12627422145232,0.24720187585911,0.761317909638101,NA,NA,NA,-0.422133448731037,NA,NA,0.211669209569966,NA,-0.400927142612107,6,-171.270759740404,355.044513492784,3.61718056525052,0.00808774785057396
"295",-3.69789368336845,NA,0.745235078880936,0.206797233912267,NA,NA,-0.394147828310697,NA,NA,0.218164557446347,NA,NA,5,-172.367730089016,355.092603035174,3.66527010764054,0.00789559914731815
"1463",-4.22608707670566,NA,0.804185476476993,0.251508405562205,NA,0.219649299635228,-0.433398221379508,NA,0.042996278882236,0.224272994826957,NA,-0.497457684892901,8,-169.150125086368,355.172977445464,3.74564451793003,0.00758458826966635
"1959",-4.01784744174299,NA,0.815638889829492,0.251255689880238,NA,NA,-0.436042531605078,NA,0.0450043982101227,0.224137988978347,0.0369522986410815,-0.497972439607551,8,-169.165752218184,355.204231709095,3.77689878156139,0.00746698420938858
"1511",-3.88632324679252,NA,0.819383121504294,0.251751034933938,NA,NA,-0.436796205881649,-0.0329156397057708,0.0473077343277704,0.222439647137655,NA,-0.494566416098392,8,-169.169967856729,355.212662986185,3.78533005865148,0.00743557235996173
"1071",-5.12325764103361,NA,0.921408085842688,0.252975695052772,0.0763816699522094,NA,-0.596389055175035,NA,NA,NA,NA,-0.491923869456742,6,-171.385337216855,355.273668445687,3.84633551815296,0.00721219129142413
"1288",-3.88097043949207,0.119440383207987,0.848026990369674,0.257138428228987,NA,NA,NA,NA,NA,0.309559775700326,NA,-0.50044396291147,6,-171.402029083114,355.307052178203,3.87971925066984,0.00709280551656089
"1191",-4.93041253158999,NA,0.907227781268681,0.255053679950767,NA,NA,-0.585178736825262,NA,0.0236482269629684,NA,NA,-0.490891415601174,6,-171.419614955097,355.342223922171,3.91489099463689,0.0069691627164641
"1443",-3.1281443110232,NA,0.766051196273955,NA,NA,NA,-0.447206581477963,NA,0.0477766277440105,0.221776788968547,NA,-0.428218156731794,6,-171.432712538983,355.368419089941,3.94108616240783,0.00687847869036828
"1303",-4.35754373625007,NA,0.813841075500529,0.256042071702535,NA,0.355490821436045,NA,NA,NA,0.307964702228982,NA,-0.504826508149918,6,-171.47104126661,355.445076545197,4.01774361766309,0.00661982397211779
"1079",-5.20383422742836,NA,0.885440587295927,0.254179220511698,NA,0.216064641609596,-0.550393632138202,NA,NA,NA,NA,-0.482155119939276,6,-171.47967523555,355.462344483075,4.03501155554142,0.00656291464775625
"1127",-4.83476939817365,NA,0.897270858933295,0.254543560101519,NA,NA,-0.542169476318149,-0.0615164547830885,NA,NA,NA,-0.475137865414748,6,-171.492774835367,355.488543682709,4.06121075517564,0.00647750373797493
"1575",-4.92274545747361,NA,0.897690610776645,0.255052861625381,NA,NA,-0.549038120998521,NA,NA,NA,0.0155882209196815,-0.479773789124161,6,-171.502099040375,355.507192092725,4.07985916519152,0.00641738687172508
"1295",-3.9034939616353,NA,0.847906376565535,0.255437680847985,0.0283341976336268,NA,NA,NA,NA,0.312636953379177,NA,-0.506449393647235,6,-171.508431014026,355.519856040029,4.0925231124952,0.00637688052503763
"1799",-3.98138653575901,NA,0.833578427127189,0.254733814226699,NA,NA,NA,NA,NA,0.305708959166851,0.0481497136308403,-0.503050119323728,6,-171.515119291791,355.533232595559,4.10589966802502,0.00633437248805128
"1415",-3.81162344312034,NA,0.835317931457215,0.25626734195202,NA,NA,NA,NA,-0.00800244479404759,0.299386732087385,NA,-0.494242762075606,6,-171.515303331061,355.533600674099,4.10626774656504,0.00633320682203005
"1351",-3.83041962442626,NA,0.838620636700314,0.256650432342346,NA,NA,NA,0.0217709460415408,NA,0.30561079986661,NA,-0.500137656902541,6,-171.524767712566,355.552529437107,4.12519650957347,0.00627354969075872
"1399",-4.40451745715807,NA,0.784139059573924,0.25394221608386,NA,0.354207269659992,-0.38118514619384,0.107787434297814,NA,0.217838131339095,NA,-0.482945298536714,8,-169.370331325312,355.613389923352,4.18605699581821,0.006085519460674
"1847",-4.55023295439347,NA,0.778749388376884,0.250828962096108,NA,0.357368716669667,-0.375960499650313,NA,NA,0.213744028950882,0.0517268351339387,-0.480918173347122,8,-169.388173952147,355.649075177022,4.22174224948844,0.00597790076307314
"1895",-4.04453983914612,NA,0.803139409401356,0.253579204828506,NA,NA,-0.381576534764598,0.109903961759155,NA,0.216018785225758,0.0521766293947477,-0.481689707857689,8,-169.416203764826,355.705134802379,4.27780187484535,0.0058126678661234
"1331",-3.68422255006012,NA,0.722443417631975,NA,NA,0.417520380156984,-0.38412922468538,NA,NA,0.20978815043052,NA,-0.409494684520874,6,-171.675608674086,355.854211360149,4.42687843261496,0.00539515523307983
"1827",-3.40200436878622,NA,0.742957548640823,NA,NA,NA,-0.382490812484198,NA,NA,0.209027926641529,0.100803878538959,-0.410923331583621,6,-171.711589695928,355.926173403833,4.49884047629939,0.00520448289798549
"1059",-4.03181475395334,NA,0.833339957920357,NA,NA,NA,-0.554588029408443,NA,NA,NA,NA,-0.400093700239418,4,-173.856661501563,355.950009393658,4.52267646612415,0.0051428240520183
"1379",-3.06125562654754,NA,0.75019787018554,NA,NA,NA,-0.385568929332546,0.0612634709000162,NA,0.210236880318339,NA,-0.406653175985813,6,-171.749646358625,356.002286729226,4.5749538016924,0.00501013914050092
"291",-3.10115912453769,NA,0.711854440078987,NA,NA,NA,-0.403667723131275,NA,NA,0.210134012176979,NA,NA,4,-173.940936802618,356.118559995769,4.69122706823538,0.0047271716035367
"1344",-4.84272163706921,0.171074312587755,0.831766519393095,0.248477265394475,0.15287609778746,0.355719645314377,-0.483033861700424,NA,NA,0.24203629237529,NA,-0.507751366330602,9,-168.533522721744,356.164606419097,4.73727349156354,0.00461958023310573
"1324",-3.56858547664842,0.152941895613607,0.802815171984296,NA,0.175895739148227,NA,-0.49503223415987,NA,NA,0.244260554470056,NA,-0.434114338343219,7,-170.758701226925,356.192101249031,4.76476832149712,0.00455650748364638
"1283",-3.04029482837692,NA,0.783931388057856,NA,NA,NA,NA,NA,NA,0.301784008495112,NA,-0.438053219686889,4,-173.97867630339,356.194038997313,4.76670606977927,0.00455209493931707
"296",-3.82936991489844,0.251056228266578,0.763349622427514,0.208857606414221,NA,NA,-0.439282266230114,NA,NA,0.217992378224392,NA,NA,6,-171.867703104472,356.238400220921,4.81106729338723,0.00445223822401382
"1840",-4.48410839851623,0.170386743972469,0.848323029535852,0.24880480087436,0.152920279063792,NA,-0.48187438075971,NA,NA,0.24221383376219,0.0575752899011307,-0.506853374439761,9,-168.579124981725,356.255810939061,4.82847801152701,0.00441364810573399
"1392",-4.28460406472849,0.176020438531978,0.854010452600073,0.249977371925947,0.155879019254981,NA,-0.480890314479155,-0.0513803205251169,NA,0.238951619607938,NA,-0.499587550720184,9,-168.588541684559,356.274644344728,4.84731141719425,0.00437228116886747
"1456",-4.27619233833609,0.165598197981379,0.852977261980696,0.250552533503045,0.143826694918633,NA,-0.485717884850512,NA,0.00721734217923259,0.241189175528738,NA,-0.503684651117668,9,-168.589608734928,356.276778445465,4.8494455179316,0.00436761821288116
"1339",-4.3720788707204,NA,0.781330091215982,NA,0.214883452887415,0.464321581894598,-0.493369880876819,NA,NA,0.248961643488786,NA,-0.450977050870464,7,-170.820638230553,356.315975256286,4.88864232875261,0.00428285320313129
"1835",-4.0771405757061,NA,0.799645701611169,NA,0.214343178716058,NA,-0.490099729686697,NA,NA,0.251082972667035,0.125075206052823,-0.453836267053908,7,-170.852884827811,356.380468450803,4.95313552326957,0.00414694876501635
"1451",-3.6010307835508,NA,0.807952814202912,NA,0.189317811740949,NA,-0.502466939356054,NA,0.0182196758459294,0.24890776235629,NA,-0.447607128540589,7,-170.889766380257,356.454231555694,5.02689862816015,0.00399678894120223
"1387",-3.6281067275519,NA,0.809823350556824,NA,0.222306383122721,NA,-0.487841908273951,-0.102471976158787,NA,0.24488489370687,NA,-0.44060875095603,7,-170.90143742698,356.477573649141,5.05024072160722,0.00395041338279278
"1855",-5.16341971388268,NA,0.828148364764056,0.242435540105621,0.193088658831074,0.375320836039672,-0.473239380862553,NA,NA,0.24978866354985,0.0723007202505687,-0.524001184032784,9,-168.719806567938,356.537174111486,5.10984118395208,0.00383442694547054
"1471",-4.81609915821116,NA,0.836284108124815,0.245249496736882,0.172602491309956,0.328237868190079,-0.483171949539453,NA,0.0153177800410854,0.248396373752709,NA,-0.520529939500887,9,-168.719933812868,356.537428601345,5.11009567381126,0.00383393906512467
"1407",-4.93168545420615,NA,0.834511091870212,0.243780185440175,0.196233490164059,0.385593739889236,-0.471766081750714,-0.0428906260874335,NA,0.246473142182304,NA,-0.516761027241582,9,-168.740568238387,356.578697452383,5.15136452484955,0.00375563855625923
"1967",-4.51956843948981,NA,0.850333104212162,0.244968172131202,0.168851984097583,NA,-0.485474539326176,NA,0.0186857155942577,0.248946132068502,0.065065590314818,-0.521356703446398,9,-168.74907988103,356.595720737669,5.16838781013558,0.00372380756216961
"1519",-4.28208950600546,NA,0.85718195438087,0.245369047432083,0.17035435498959,NA,-0.488762558293172,-0.0948533727151542,0.0248320194846352,0.244880900112383,NA,-0.514025444179329,9,-168.750085258319,356.597731492247,5.17039856471382,0.00372006561196862
"1903",-4.59345107656269,NA,0.851008971890441,0.243287997324912,0.196479835688307,NA,-0.471402767197244,-0.0430849789426886,NA,0.246817219509917,0.0775532614783995,-0.516736444949591,9,-168.783215408185,356.663991791979,5.23665886444547,0.0035988385049506
"303",-4.01936262956223,NA,0.776022872538528,0.196418651533494,0.120091487390691,NA,-0.453807392333062,NA,NA,0.238535720792143,NA,NA,6,-172.108677210278,356.720348432533,5.29301550499929,0.00349884472561837
"1128",-4.89998161984757,0.240388507831455,0.906006877509283,0.259069227914841,NA,NA,-0.579688814887373,-0.130947387006017,NA,NA,NA,-0.464281464813222,7,-171.041811721481,356.758322238144,5.33098931060999,0.00343303919935702
"1080",-5.32809564888101,0.228382789621452,0.894388129069883,0.258328283255274,NA,0.234479194081836,-0.593075016522404,NA,NA,NA,NA,-0.476223082364365,7,-171.059986597592,356.794671990364,5.36733906283064,0.00337120772892073
"1464",-4.33755387691754,0.210146532043552,0.806086930657047,0.253858894685599,NA,0.258237082418564,-0.443494617823293,NA,0.0222098410334836,0.219721537938421,NA,-0.485392931651616,9,-168.853668102262,356.804897180134,5.37756425260011,0.0033540160939102
"1072",-5.05389923331487,0.210058819679981,0.916321520751181,0.259194340895766,0.0294825317963768,NA,-0.605830726603421,NA,NA,NA,NA,-0.477677918247866,7,-171.072741788198,356.820182371577,5.3928494440438,0.00332848040861275
"1192",-4.96906520267194,0.222063311105877,0.909490525312681,0.260140590368395,NA,NA,-0.593689031221995,NA,0.00271320891136013,NA,NA,-0.473760530160176,7,-171.087458275177,356.849615345534,5.42228241800052,0.00327985554121
"1576",-4.95655081246228,0.227060355496306,0.90900645007927,0.260396515360869,NA,NA,-0.590225922844124,NA,NA,NA,-0.00229652967024956,-0.472026348367688,7,-171.088347630508,356.851394056196,5.42406112866246,0.00327693988092081
"1960",-4.03454533419079,0.2055867724394,0.82087725025837,0.254305700293719,NA,NA,-0.446009865968387,NA,0.0252118243591242,0.219710188682195,0.0266830670412716,-0.485179113553245,9,-168.881154863675,356.859870702959,5.43253777542532,0.00326308054093304
"1512",-3.94108680585398,0.206080556788282,0.823592788193804,0.254820251983993,NA,NA,-0.446621998443762,-0.0201237578462503,0.0266841070276189,0.218593017962687,NA,-0.482630678404011,9,-168.883678101418,356.864917178445,5.4375842509117,0.0032548573917961
"1400",-4.43762631099215,0.244602592419134,0.798271094561906,0.255345916145443,NA,0.323791254975295,-0.422079272850245,0.0470923770886172,NA,0.216212919935889,NA,-0.477419212971763,9,-168.9034067048,356.90437438521,5.47704145767614,0.00319127288038962
"1848",-4.52578944781977,0.246885214909884,0.795360616480833,0.253927619559368,NA,0.323702128686549,-0.420383856770718,NA,NA,0.21445016090806,0.0302000233133312,-0.477058050386603,9,-168.904800389258,356.907161754126,5.47982882659272,0.00318682835082934
"1896",-4.05545239112609,0.245067303251396,0.81651504791199,0.256117568145095,NA,NA,-0.421431674707766,0.0499816087380044,NA,0.21509583825028,0.0327235940058936,-0.475267713191111,9,-168.948539547344,356.994640070298,5.56730714276415,0.00305044358189197
"1444",-3.15817894864752,0.197399433809259,0.768308437463406,NA,NA,NA,-0.454998481884907,NA,0.0297290217550767,0.219781850549609,NA,-0.416577751331018,7,-171.163535917874,357.001770630929,5.57443770339569,0.00303958725985049
"1332",-3.78203517248245,0.248503182398503,0.734007856291426,NA,NA,0.424026769678023,-0.425880635647088,NA,NA,0.21310040042764,NA,-0.407137388376037,7,-171.181670662323,357.038040119826,5.61070719229264,0.00298496192693053
"423",-3.7218847339421,NA,0.749437389770293,0.204518283677953,NA,NA,-0.422806601535735,NA,0.0214531900322382,0.224892914926268,NA,NA,6,-172.300191817825,357.103377647625,5.6760447200918,0.00288902255330459
"1828",-3.42332528415809,0.243703718078008,0.755005817715031,NA,NA,NA,-0.422022512219704,NA,NA,0.213022507755924,0.0845253041679531,-0.407508663053134,7,-171.236750947752,357.148200690684,5.72086776315012,0.00282499531598137
"311",-3.99413016859985,NA,0.730052160969043,0.205653786761599,NA,0.201368381651482,-0.394958953610385,NA,NA,0.220072285960873,NA,NA,6,-172.349373968016,357.201741948008,5.77440902047448,0.00275037173216311
