"","(Intercept)","boatlaunch","log(COND_avg)","log(dist_waterfowl + 1)","log(nonFP_species_richness + 1)","log(PH_avg)","log(secchi_avg)","log(shoreline_development)","log(surfacearea_ha)","log(TOTP_avg)","log(waterbodies_10km)","log(waterbodies_1km + 1)","df","logLik","AICc","delta","weight"
"1319",-5.33783192072185,NA,1.21414631414206,0.573612453332704,NA,NA,-0.773005023441881,NA,NA,0.496505113337566,NA,-0.952611774946946,6,-84.7536810626252,182.010356137227,0,0.0487492324963319
"1831",-8.45294888178485,NA,1.16448187236445,0.548174610879123,NA,NA,-0.785810328579154,NA,NA,0.547390096001155,0.915662842154002,-1.07033226873652,7,-83.7838799710853,182.242458737351,0.232102600124819,0.0434077568149989
"1383",-5.58200862515811,NA,1.22027005716507,0.592798934182443,NA,NA,-0.799523882777628,0.704683669957957,NA,0.534729355008879,NA,-0.993512329673713,7,-84.3897665681978,183.454231931576,1.44387579434974,0.0236828594489045
"1895",-8.46080086161848,NA,1.16985415649971,0.564458849241177,NA,NA,-0.810338021361331,0.566795790846556,NA,0.572956962330339,0.86146488831058,-1.09337314990069,8,-83.5534368134126,183.979600899552,1.96924476232587,0.0182117514993099
"1320",-5.2738383229492,-0.197731498427029,1.20522188852476,0.575980347967085,NA,NA,-0.740380436033694,NA,NA,0.496108609378054,NA,-0.958185121370759,7,-84.6795280656347,184.03375492645,2.02339878922362,0.0177252479146607
"1335",-6.30304866976428,NA,1.15650197331296,0.569876570090911,NA,0.670694552060317,-0.778369279315231,NA,NA,0.499044857209639,NA,-0.949894864933323,7,-84.7060495983796,184.08679799194,2.07644185471332,0.0172613263204551
"1327",-5.49946724293728,NA,1.23052196662567,0.570792838867546,0.0503396909441523,NA,-0.79854472274551,NA,NA,0.502192392572367,NA,-0.956845275655918,7,-84.7426281934492,184.159955182079,2.14959904485258,0.0166413395046157
"1447",-5.31496880187139,NA,1.21098550960044,0.572643279889257,NA,NA,-0.756279086403495,NA,-0.0122013802614028,0.494155184684333,NA,-0.947070300348112,7,-84.7478599226236,184.170418640428,2.16006250320146,0.0165545038715497
"1832",-8.39692917892221,-0.21332827904193,1.15518365680773,0.551318570800398,NA,NA,-0.750058644158619,NA,NA,0.547225649788946,0.917866726950855,-1.0746755102398,8,-83.7003460917771,184.273419456282,2.26306331905502,0.0157235217864644
"1847",-9.30076180086191,NA,1.11412947887388,0.544742672675096,NA,0.597585486318691,-0.79000323340244,NA,NA,0.548857727474549,0.9107568818458,-1.06757521265622,8,-83.7469617454349,184.366650763597,2.35629462637053,0.0150073809058422
"1839",-8.66066176232489,NA,1.18439024172426,0.544716754028224,0.0626641462205315,NA,-0.817993575146683,NA,NA,0.554516722008583,0.917859220744961,-1.07556678184948,8,-83.7672340009423,184.407195274612,2.39683913738534,0.0147062104618402
"1959",-8.43994671249649,NA,1.16044049834023,0.546159029540041,NA,NA,-0.758464123331892,NA,-0.0192011988297611,0.54399352944991,0.920684168942592,-1.06201114976431,8,-83.769854759246,184.412436791219,2.40208065399278,0.0146677194984429
"1287",-5.5035770447739,NA,1.28765513518373,0.591758412300532,NA,NA,NA,NA,NA,0.664274026347922,NA,-0.988963936442649,5,-87.0396830236209,184.436508904385,2.42615276715804,0.0144922361786729
"1799",-8.5160317481798,NA,1.23884987365418,0.569574956946226,NA,NA,NA,NA,NA,0.71262434496138,0.884411645147544,-1.10669545108051,6,-86.0965361421021,184.69606629618,2.68571015895364,0.0127283829039989
"1063",-7.51074857429839,NA,1.37771466399318,0.534374064388786,NA,NA,-1.08140228759641,NA,NA,NA,NA,-0.932064135286693,5,-87.2173836664033,184.79191018995,2.78155405272295,0.0121327987664453
"1827",-7.01974489462405,NA,1.00069148760305,NA,NA,NA,-0.819680695678933,NA,NA,0.528223512505574,1.01549262871835,-0.893020042111121,6,-86.3388883352839,185.180770682544,3.1704145453173,0.0099889769598614
"1511",-5.52227855303522,NA,1.20226483552297,0.59344841369095,NA,NA,-0.710009754871426,0.941111526516836,-0.0718360382318868,0.533270728249471,NA,-0.974561668271536,8,-84.2337108388359,185.340148950399,3.32979281317256,0.00922385485321792
"1384",-5.53152568045924,-0.287788736015702,1.20916020988302,0.600474586446654,NA,NA,-0.75659824671967,0.792973172308119,NA,0.537858378977378,NA,-1.00649405010638,8,-84.2377598808668,185.348247034461,3.33789089723425,0.00918658258664024
"1315",-3.50665121583075,NA,1.05217736101449,NA,NA,NA,-0.802547043068661,NA,NA,0.463485589063657,NA,-0.774168639550512,5,-87.5669862269332,185.491115311009,3.48075917378267,0.00855323750441238
"1399",-6.54836988839155,NA,1.16308267734739,0.588506872897647,NA,0.669953981993219,-0.805382537021595,0.704399479960944,NA,0.536768085740305,NA,-0.990184171761107,8,-84.3421781715999,185.557083615927,3.54672747870055,0.00827571824358754
"1391",-5.43392280599731,NA,1.2040871520464,0.596620254519812,-0.0503242121240127,NA,-0.775946698958104,0.745594568640778,NA,0.531110810999882,NA,-0.991318868551622,8,-84.3798695663855,185.632466405498,3.62211026827171,0.00796960012896565
"1415",-5.27471889640136,NA,1.24613543368471,0.584524355807851,NA,NA,NA,NA,-0.0984937989803258,0.616367011567736,NA,-0.949770469780378,6,-86.5855625489704,185.674119109917,3.66376297269022,0.00780533884849289
"1927",-8.44822097674572,NA,1.19596058519874,0.559030148491858,NA,NA,NA,NA,-0.108789385291762,0.663008053420447,0.931867412299376,-1.06962991451074,7,-85.5532982187901,185.781295232761,3.77093909553446,0.00739807555229392
"295",-5.05960302427667,NA,1.08004372834456,0.45676091527233,NA,NA,-0.806915367094316,NA,NA,0.492664611751534,NA,NA,5,-87.7229215379004,185.802985932944,3.7926297957172,0.00731827435110319
"1575",-9.98671133007147,NA,1.35403278143314,0.517010081060443,NA,NA,-1.10826227986285,NA,NA,NA,0.673756954801111,-1.01609108550795,6,-86.6704977720548,185.843989556086,3.83363341885902,0.00716976403641448
"1288",-5.3639894591815,-0.418150919257467,1.26184022499745,0.596965360248126,NA,NA,NA,NA,NA,0.645262584229893,NA,-1.00061132429841,6,-86.6819969366387,185.866987885254,3.85663174802696,0.0070877899597207
"1896",-8.39330291628567,-0.286085494308896,1.15862023143316,0.572357992116799,NA,NA,-0.767038131127727,0.65138667062986,NA,0.575732299605869,0.856275114651473,-1.10260974401483,9,-83.4078355726883,185.913232120986,3.90287598375986,0.00692578540671915
"2023",-8.40796423503866,NA,1.1555427573179,0.563663573278976,NA,NA,-0.721683463109543,0.794899477669575,-0.0696143810999448,0.570582878336334,0.857955446691579,-1.07253491974397,9,-83.4100846493792,185.917730274368,3.90737413714169,0.00691022628757933
"1295",-4.70992925930616,NA,1.19935159620536,0.601604097833351,-0.239036154305238,NA,NA,NA,NA,0.611321124660386,NA,-0.967377202558041,6,-86.7370090625388,185.977012137054,3.96665599982705,0.00670840658272856
"1800",-8.42366680342784,-0.441951522915277,1.2120302110807,0.576227065633168,NA,NA,NA,NA,NA,0.694427805768762,0.89754519123884,-1.11555564788486,7,-85.7064393147551,186.087577424691,4.0772212874644,0.00634761282988484
"1351",-5.69506265956313,NA,1.29402567049512,0.603801766364676,NA,NA,NA,0.558972148627444,NA,0.699112707585843,NA,-1.01279878150467,6,-86.8047265725032,186.112447156982,4.10209101975582,0.00626916983882128
"1911",-9.32115766522917,NA,1.11930890302943,0.56061206686113,NA,0.604407783453767,-0.814934431094538,0.567661998499928,NA,0.57417001595747,0.856646676223866,-1.09028734877696,9,-83.5155628977023,186.128686771014,4.11833063378776,0.00621847149849958
"1336",-6.24124227255413,-0.198282309108615,1.1478178982038,0.572307582395069,NA,0.671027141926736,-0.745406267575511,NA,NA,0.498540301546638,NA,-0.955961515632569,8,-84.6318902169248,186.136507706577,4.12615156935041,0.00619420184982235
"1328",-5.57292981231029,-0.241434759001103,1.23498841101418,0.571270347949512,0.0973178959809266,NA,-0.782671578634314,NA,NA,0.507098642056237,NA,-0.967488135280453,8,-84.6417948097057,186.156316892139,4.14596075491218,0.00613315363084499
"1903",-8.40128462170497,NA,1.16421927049707,0.565825497092233,-0.017922297130667,NA,-0.801898461343462,0.581591908171826,NA,0.5715623960237,0.85945370402879,-1.0923610914391,9,-83.5522228795526,186.202006734715,4.19165059748849,0.00599463051814149
"1448",-5.27956102179535,-0.204548469617547,1.20599876412325,0.576402978714001,NA,NA,-0.744960587625176,NA,0.00414253011327345,0.496870306668241,NA,-0.960236594897505,8,-84.6789437405999,186.230614753927,4.22025861670048,0.00590949361676566
"1343",-6.51450398025068,NA,1.1730015449701,0.566704626041508,0.0563493090361166,0.691758451808669,-0.807343372705592,NA,NA,0.505446836276528,NA,-0.954396255195416,8,-84.6921959930136,186.257119258754,4.24676312152789,0.00583169615012842
