Var1,Var2,corrl
nearest_LM,nearest_any_FP,0.874611766
waterbodies_5km,waterbodies_10km,0.795321662
depth_max_m,secchi_avg,0.619441595
COND_avg,ALK_avg,0.571121747
nearest_LM,latitude,0.552596831
nearest_SP,nearest_any_FP,0.547458401
nearest_LM,nearest_SP,0.526597353
surfacearea_ha,depth_max_m,0.518123964
PH_avg,ALK_avg,0.516214121
nonFP_species_richness,boatlaunch,0.488035606
nearest_any_FP,latitude,0.469844694
surfacearea_ha,boatlaunch,0.458416195
depth_max_m,boatlaunch,0.452021152
PH_avg,COND_avg,0.445591447
waterbodies_1km,waterbodies_5km,0.43337868
surfacearea_ha,shoreline_development,0.422787815
nonFP_species_richness,secchi_avg,0.402006886
surfacearea_ha,nonFP_species_richness,0.40059339
depth_max_m,nonFP_species_richness,0.398024416
nonFP_species_richness,COND_avg,-0.3797888
COND_avg,longitude,-0.374656771
shoreline_development,nonFP_species_richness,0.370505934
secchi_avg,boatlaunch,0.357588465
ALK_avg,longitude,-0.335517787
surfacearea_ha,secchi_avg,0.317826516
COND_avg,nearest_any_FP,-0.3090782
nonFP_species_richness,nearest_any_FP,0.304066102
COND_avg,secchi_avg,-0.300655768
nonFP_species_richness,nearest_LM,0.298156396
PH_avg,longitude,-0.294796209
nonFP_species_richness,longitude,0.286077932
latitude,longitude,0.281321212
COND_avg,nearest_LM,-0.277797593
nonFP_species_richness,ALK_avg,-0.27069379
TOTP_avg,ALK_avg,0.258248041
TOTP_avg,COND_avg,0.257714611
shoreline_development,boatlaunch,0.257170247
surfacearea_ha,COND_avg,-0.256368026
nearest_SP,latitude,0.252148614
nearest_any_FP,boatlaunch,0.245833007
nonFP_species_richness,nearest_W,0.244926153
nonFP_species_richness,nearest_SP,0.244645259
waterbodies_1km,waterbodies_10km,0.244368411
nearest_LM,nearest_W,0.240211294
shoreline_development,waterbodies_5km,0.231386021
nonFP_species_richness,TOTP_avg,-0.22965573
nearest_SP,nearest_W,0.228552126
COND_avg,boatlaunch,-0.226123119
TOTP_avg,secchi_avg,-0.225717168
nearest_LM,dist_waterfowl,0.223947764
nonFP_species_richness,latitude,0.223493981
nearest_SP,boatlaunch,0.220019733
shoreline_development,waterbodies_10km,0.219565209
secchi_avg,nearest_any_FP,0.219164345
surfacearea_ha,latitude,0.218700141
shoreline_development,depth_max_m,0.212399624
dist_waterfowl,latitude,0.212020159
nearest_W,nearest_any_FP,0.211221995
surfacearea_ha,longitude,0.203304938
surfacearea_ha,nearest_any_FP,0.201605913
depth_max_m,COND_avg,-0.194007563
secchi_avg,nearest_LM,0.192856955
boatlaunch,latitude,0.190834053
nonFP_species_richness,PH_avg,-0.188849357
secchi_avg,latitude,0.188556868
boatlaunch,longitude,0.182271888
nearest_LM,boatlaunch,0.179450295
ALK_avg,secchi_avg,-0.178633029
PH_avg,secchi_avg,-0.172013092
nonFP_species_richness,waterbodies_5km,0.167463368
secchi_avg,longitude,0.16744414
waterbodies_5km,nearest_W,0.16152884
surfacearea_ha,nearest_LM,0.160470388
depth_max_m,TOTP_avg,-0.155445521
COND_avg,dist_waterfowl,-0.154868757
nearest_any_FP,dist_waterfowl,0.152444669
ALK_avg,boatlaunch,-0.152385847
COND_avg,nearest_SP,-0.150677647
waterbodies_10km,nearest_any_FP,-0.145765123
PH_avg,boatlaunch,-0.14451022
shoreline_development,nearest_W,0.144188492
TOTP_avg,longitude,-0.144119844
shoreline_development,TOTP_avg,-0.142704424
TOTP_avg,nearest_any_FP,-0.140602016
surfacearea_ha,TOTP_avg,-0.138091324
depth_max_m,ALK_avg,-0.137911013
PH_avg,nearest_W,-0.132695776
nearest_LM,longitude,0.132000936
COND_avg,latitude,-0.131465811
waterbodies_5km,nearest_any_FP,-0.123138153
shoreline_development,waterbodies_1km,0.122909434
depth_max_m,longitude,0.121083069
waterbodies_1km,nearest_W,0.12088094
TOTP_avg,boatlaunch,-0.117465589
surfacearea_ha,ALK_avg,-0.11668464
nearest_W,longitude,0.113845541
depth_max_m,nearest_W,0.112195866
TOTP_avg,nearest_W,-0.111366013
surfacearea_ha,nearest_W,0.109319505
surfacearea_ha,waterbodies_1km,0.109159091
surfacearea_ha,waterbodies_5km,0.107246237
waterbodies_1km,nearest_any_FP,-0.106579203
nonFP_species_richness,waterbodies_1km,0.105963089
waterbodies_5km,boatlaunch,0.105030178
nearest_any_FP,longitude,0.103631182
TOTP_avg,nearest_SP,0.103408064
nearest_W,latitude,0.102631051
PH_avg,waterbodies_10km,0.099372698
surfacearea_ha,nearest_SP,0.098886731
COND_avg,nearest_W,-0.096359242
shoreline_development,ALK_avg,-0.089761008
PH_avg,nearest_any_FP,-0.089436547
shoreline_development,COND_avg,-0.085603742
waterbodies_5km,latitude,-0.083806207
COND_avg,waterbodies_10km,0.081526621
PH_avg,nearest_LM,-0.081469168
depth_max_m,waterbodies_1km,0.080746531
ALK_avg,waterbodies_5km,-0.080315775
surfacearea_ha,dist_waterfowl,0.077526373
ALK_avg,waterbodies_10km,-0.077482165
secchi_avg,nearest_W,0.077365146
secchi_avg,waterbodies_5km,-0.076118563
nonFP_species_richness,dist_waterfowl,0.073569299
nonFP_species_richness,waterbodies_10km,0.072036278
depth_max_m,waterbodies_10km,0.071946275
secchi_avg,dist_waterfowl,0.069769774
nearest_W,boatlaunch,0.069727655
