"waterbody","date","year","town","latitude","longitude","state","data_source","mult_survey","surfacearea_ha","shoreline_development","depth_max_m","FP_presence","FPcover_avg","FPcover_low_est","FPcover_max","FPcover_min","azolla","eichhornia_crassipes","lemna_minor","lemna_trisulca","lemna_valdiviana","riccia","spirodela_polyrhiza","wolffia","wolffia_borealis","wolffia_brasiliensis","allplant_species_richness","FP_species_richness","nonFP_species_richness","TOTP_n","TOTP_avg","TOTP_SE","PH_n","PH_avg","PH_SE","COND_n","COND_avg","COND_SE","DO_n","DO_avg","DO_SE","TEMP_n","TEMP_avg","TEMP_SE","ALK_n","ALK_avg","ALK_SE","secchi_n","secchi_avg","secchi_SE","alisma","alisma_subcordatum","brasenia","cabomba","callitriche","callitriche_verna","callitriche_hetero","callitriche_stag","cardamine","ceratophyllum_dem","ceratophyllum_echin","charphyte","decodon","egeria","elatine","elatine_ameri","elatine_minima","elatine_triandra","eleocharis","eleocharis_acic","eleocharis_ellip","ellocharis_parv","elodea_canad","elodea_nutt","eriocaulon_aqua","fil_algae","glossostigma","gratiola","hydrilla","isoetes","isoetes_acad","isoetes_eaton","isoetes_echino","isoetes_engel","isoetes_lacus","isoetes_tuck","juncus","juncus_pelo","lobelia","ludwigia","ludwigia_dub","ludwigia_lac","ludwigia_pal","marsilea","megalodonta","myosotis","myriophyllum","myriophyllum_alt","myriophyllum_aqua","myriophyllum_hetero","myriophyllum_hetero_lax","myriophyllum_hum","myriophyllum_ten","myriophyllum_sibi","myriophyllum_spic","najas_flex","najas_grac","najas_guad","najas_minor","nasturtium","nelumbo","nuphar","nymphaea_odor","nymphaea_odor_odor","nymphaea_odor_tuber","nymphoides","nymphoides_cordata","nymphoides_pelt","peltandra","phragmites","polygonum","polygonum_amphi","polygonum_hydro","pontederia","potamogeton","potamogeton_ampli","potamogeton_berch","potamogeton_biculp","potamogeton_conferv","potamogeton_crispus","potamogeton_epi","potamogeton_foli","potamogeton_frie","potamogeton_grami","potamogeton_ilino","potamogeton_ilino_hybrid","potamogeton_natans","potamogeton_nodos","potamogeton_oakes","potamogeton_palus","potamogeton_perfo","potamogeton_pulch","potamogeton_pusil","potamogeton_prael","potamogeton_rich","potamogeton_robb","potamogeton_spir","potamogeton_vase","potamogeton_zost","proserpinaca","ranunculus","sagittaria","sagittaria_gram","sagittaria_lati","schoenoplectus","sparganium","sparganium_ameri","stuckenia","trapa","typha","typha_latif","sedge","utricularia","utricularia_gemi","utricularia_gibb","utricularia_inter","utricularia_macro","utricularia_mini","utricularia_mino","utricularia_purp","utricularia_radi","utricularia_subu","utricularia_vulg","vallisneria","zannichellia","zosterella"
"4H Camp Pond","7/23/2009","2009","Marlborough",41.5904,72.4266,"CT","CAES","N",0.36,1.04,3,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0165,0.0045,2,6.15,0.15,2,91.65,1.55,1,8.9,NA,1,22.5,NA,2,10.9,0.4,1,1.5,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alexander Lake","7/13/2005","2005","Killingly",41.8607,71.8991,"CT","CAES","N",87.01,1.822,15.545,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,19,2,0.028,0.006,2,5.7,0.2,2,30.25,1.75,1,7.7,NA,1,24.6,NA,2,5.25,1.5,1,5.8,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"Amos Lake","combined","comb","Preston",41.5147,71.9742,"CT","CAES","Y",45.73,1.707,14,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,33,2,0.0222,0.0072,2,6.73,0.33,2,116.5,0.5,2,8,0.4,2,25.05,5.45,2,40.1,19.85,2,1.65,0.65,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0
"Amston Lake","8/22/2006","2006","Hebron, Lebanon, Colchester",41.6265,72.3307,"CT","CAES","N",75.68,1.777,7.925,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,16,2,0.053,0.044,2,6.7,0,2,67.85,1.75,1,6.3,NA,1,26,NA,2,13.85,3.05,1,3.5,NA,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anderson Pond","8/24/2012","2012","North Stonington",41.5083,71.8954,"CT","CAES","Y",22.91,1.924,2.286,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,29,2,0.0998,0.0675,2,6.15,0.15,2,59.5,1.5,1,8.5,NA,1,24.3,NA,2,9.8,0,NA,1.3,NA,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0
"Andover Lake","8/14/2008","2008","Andover",41.7221,72.3592,"CT","CAES","N",63.54,1.619,3,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,13,2,0.013,0.012,2,6.3,0.1,2,76.65,0.35,1,5.9,NA,1,25.3,NA,2,13.4,0.6,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"Angus Park Pond","8/4/2005","2005","Glastonbury",41.693,72.5318,"CT","CAES","N",3.8,1.573,1.2,"Y",0.1857,0.2616,0.2616,0.1099,0,0,1,0,0,0,1,0,0,0,12,2,10,2,0.039,0.019,2,6.2,0,2,126.5,2.5,1,6.6,NA,1,23.9,NA,2,30.75,0,1,1.2,NA,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anni's Pond (Kleman's Dam)","6/20/2011","2011","Bethany",41.4551,72.995,"CT","CAES","N",2.19,1.293,3.5,"Y",0.0014,0.0014,0.0014,0.0014,0,0,1,0,0,0,0,0,0,0,19,1,18,2,0.0195,5e-04,2,5.95,0.05,2,129.5,3.5,1,5.2,NA,1,23.6,NA,2,131.25,3.75,1,2,NA,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Ashford Lake","7/12/2006","2006","Ashford",41.9005,72.1277,"CT","CAES","N",21.45,1.421,3.658,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8,2,0.0075,0.0065,2,6.2,0,2,93,0,1,7.8,NA,1,26.4,NA,2,6,2,1,1.1,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Avery Pond","9/30/2005","2005","Preston",41.4931,71.9797,"CT","CAES","N",10.4,1.164,2,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0.084,0.017,2,5.8,0.2,2,114,3,1,7.4,NA,1,19.5,NA,2,27.25,1.25,1,1.2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
