"surfacearea_ha","shoreline_development","depth_max_m","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","boatlaunch","dist_waterfowl","nearest_LM","nearest_SP","nearest_W","nearest_LMSPW"
87.01,1.822,15.545,0.028,5.7,30.25,5.25,5.8,0,8,44,0,21.2253,4.5627,4.5627,4.5627,4.5627
45.73,1.707,14,0.0222,6.73,116.5,40.1,1.65,0,12,41,1,2.9837,6.359,9.0254,6.359,6.359
75.68,1.777,7.925,0.053,6.7,67.85,13.85,3.5,1,11,41,0,3.0436,13.5086,17.024,13.5086,13.5086
22.91,1.924,2.286,0.0998,6.15,59.5,9.8,1.3,0,6,33,1,6.7009,5.7697,5.7697,5.7697,5.7697
63.54,1.619,3,0.013,6.3,76.65,13.4,2,0,10,37,0,7.8078,10.0359,10.0359,10.0359,10.0359
3.8,1.573,1.2,0.039,6.2,126.5,30.75,1.2,0,7,43,0,7.1969,6.5294,11.7661,11.7661,6.5294
2.19,1.293,3.5,0.0195,5.95,129.5,131.25,2,1,13,60,0,5.9411,6.4732,11.816,16.6865,6.4732
21.45,1.421,3.658,0.0075,6.2,93,6,1.1,2,18,85,0,2.5251,18.8084,5.8787,23.1029,5.8787
10.4,1.164,2,0.084,5.8,114,27.25,1.2,2,12,40,1,9.8996,5.7303,10.9515,8.5851,5.7303
33.39,1.449,15.545,0.1845,6.95,262.5,58.13,2,1,21,63,1,9.3505,12.6555,15.0668,23.9375,12.6555
10,1.687,2,0.0565,6.8,144,56.25,1.4,1,13,49,0,26.5347,21.8147,21.8147,22.0356,21.8147
0.04,1.385,3,0.0295,6.35,223.5,69.4,1,0,7,53,0,5.2177,7.9484,13.8412,8.9909,7.9484
150.54,1.886,14.5,0.0125,5.6,42.4,1.75,5,0,8,52,1,8.1551,4.5256,4.5256,4.5256,4.5256
23.39,1.935,12,0.0165,6.6,245,32.3,2,1,20,82,0,6.9818,4.6283,11.7436,9.6689,4.6283
12.23,1.362,3,0.0476,7.5,318.5,89.25,2,2,18,77,0,36.0288,6.6976,0.6352,0.6352,0.6352
45.73,1.621,7.315,0.0235,7.4,134,50.25,3,0,18,61,1,10.4349,3.9306,3.9306,3.9306,3.9306
