species,frequency
alisma,12
alisma_subcordatum,1
azolla,3
brasenia,80
cabomba,23
callitriche,32
callitriche_hetero,5
callitriche_stag,1
cardamine,2
ceratophyllum_dem,62
ceratophyllum_echin,31
charphyte,27
decodon,6
egeria,4
eichhornia_crassipes,1
elatine,35
elatine_ameri,1
elatine_minima,30
eleocharis,59
eleocharis_acic,32
eleocharis_ellip,1
elodea_canad,16
elodea_nutt,77
eriocaulon_aqua,42
fil_algae,6
glossostigma,8
gratiola,48
hydrilla,2
isoetes,33
isoetes_acad,1
isoetes_eaton,1
isoetes_echino,4
isoetes_engel,3
isoetes_lacus,1
isoetes_tuck,3
juncus,4
juncus_pelo,5
lemna_minor,56
lemna_trisulca,4
lobelia,5
ludwigia,24
ludwigia_pal,30
marsilea,1
megalodonta,1
myosotis,1
myriophyllum,1
myriophyllum_alt,1
myriophyllum_aqua,2
myriophyllum_hetero,31
myriophyllum_hetero_lax,2
myriophyllum_hum,29
myriophyllum_sibi,2
myriophyllum_spic,38
myriophyllum_ten,8
najas_flex,69
najas_grac,7
najas_guad,22
najas_minor,35
nasturtium,1
nelumbo,1
nuphar,93
nymphaea_odor,108
nymphaea_odor_tuber,1
nymphoides,1
nymphoides_cordata,13
peltandra,6
phragmites,5
polygonum,4
polygonum_amphi,13
polygonum_hydro,1
pontederia,62
potamogeton,3
potamogeton_ampli,34
potamogeton_berch,1
potamogeton_biculp,83
potamogeton_conferv,1
potamogeton_crispus,29
potamogeton_epi,59
potamogeton_foli,30
potamogeton_grami,15
potamogeton_ilino,3
potamogeton_ilino_hybrid,1
potamogeton_natans,29
potamogeton_nodos,1
potamogeton_oakes,3
potamogeton_palus,2
potamogeton_perfo,15
potamogeton_prael,5
potamogeton_pulch,30
potamogeton_pusil,71
potamogeton_rich,2
potamogeton_robb,25
potamogeton_spir,4
potamogeton_zost,13
proserpinaca,8
ranunculus,6
sagittaria,58
sagittaria_gram,4
sagittaria_lati,2
schoenoplectus,1
sedge,25
sparganium,39
sparganium_ameri,1
spirodela_polyrhiza,31
stuckenia,8
trapa,1
typha,25
typha_latif,2
utricularia,2
utricularia_gemi,4
utricularia_gibb,61
utricularia_inter,12
utricularia_macro,16
utricularia_mini,1
utricularia_mino,8
utricularia_purp,52
utricularia_radi,44
utricularia_subu,1
utricularia_vulg,41
vallisneria,44
wolffia,23
zannichellia,3
zosterella,5
