"surfacearea_ha","shoreline_development","depth_max_m","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","boatlaunch","dist_waterfowl"
87.01,1.822,15.545,0.028,5.7,30.25,5.25,5.8,0,8,44,0,21.2253
45.73,1.707,14,0.0222,6.73,116.5,40.1,1.65,0,12,41,1,2.9837
75.68,1.777,7.925,0.053,6.7,67.85,13.85,3.5,1,11,41,0,3.0436
22.91,1.924,2.286,0.0998,6.15,59.5,9.8,1.3,0,6,33,1,6.7009
63.54,1.619,3,0.013,6.3,76.65,13.4,2,0,10,37,0,7.8078
3.8,1.573,1.2,0.039,6.2,126.5,30.75,1.2,0,7,43,0,7.1969
2.19,1.293,3.5,0.0195,5.95,129.5,131.25,2,1,13,60,0,5.9411
21.45,1.421,3.658,0.0075,6.2,93,6,1.1,2,18,85,0,2.5251
10.4,1.164,2,0.084,5.8,114,27.25,1.2,2,12,40,1,9.8996
33.39,1.449,15.545,0.1845,6.95,262.5,58.13,2,1,21,63,1,9.3505
10,1.687,2,0.0565,6.8,144,56.25,1.4,1,13,49,0,26.5347
0.04,1.385,3,0.0295,6.35,223.5,69.4,1,0,7,53,0,5.2177
150.54,1.886,14.5,0.0125,5.6,42.4,1.75,5,0,8,52,1,8.1551
23.39,1.935,12,0.0165,6.6,245,32.3,2,1,20,82,0,6.9818
12.23,1.362,3,0.0476,7.5,318.5,89.25,2,2,18,77,0,36.0288
45.73,1.621,7.315,0.0235,7.4,134,50.25,3,0,18,61,1,10.4349
10.12,1.929,4.69,0.0365,5.95,67.85,10.5,2.5,2,27,98,1,13.1578
39.42,1.797,10.058,0.0035,5.75,38,4.88,5.4,1,9,33,1,19.8007
0.27,1.121,1,0.3475,6.2,171,46.88,0.4,0,27,69,0,3.2659
19.63,1.496,2,0.033,6.75,80.55,13,1,0,26,82,0,6.3915
5.1,1.282,4.9,0.059,6,127.5,24,2.8,3,24,77,0,40.1942
29.7,1.342,7.01,0.0165,5.85,75.9,7.5,3.8,3,36,88,1,4.3552
11.9,2.077,1.7,0.057,5.5,104.5,12.75,1.7,2,18,48,0,8.6753
70.82,1.387,6.096,0.0133,5.9,103.9,10.325,3.1,1,13,57,1,10.2389
48.97,1.608,6.096,0.0292,5.875,95.15,10.2,2.9,3,11,51,1,5.7415
20.23,1.951,2.286,0.03,4.8,62.05,2.25,0.8,2,10,52,1,4.861
8.5,1.456,1.5,0.0135,5.65,413.5,16.9,1,0,14,49,1,1.7979
11.94,1.587,3,0.074,6.4,159,33,1.5,3,24,84,0,21.1748
7.04,1.958,4,0.2015,6.55,213,90.75,1.5,2,19,42,0,5.9813
0.81,1.18,2,0.0366,8.25,236,63.75,2,3,10,31,0,3.2346
0.32,1.276,0.5,0.0407,7,264,68.3,0.5,1,11,30,0,5.303
13.52,2.485,5,0.0175,6.4,159,33,2,0,16,69,0,3.6792
34.44,2.236,3.353,0.006,6,93.15,6.75,2.4,0,13,47,1,0.038
3.44,2.626,11,0.0183,6.3,79.5,20.25,1.4,1,19,50,0,6.1547
25.78,2.26,6,0.0929,6.95,162,49.5,2.5,0,11,56,0,2.0509
28.04,1.274,13,0.0251,6.0333,37.05,8.5333,2.87,1,16,59,1,4.83
8.82,1.281,5.3,0.0295,6.65,291,93.75,2.3,2,16,45,0,8.4639
21.04,1.603,3.3,0.0185,7.3,130.5,24.75,2.3,2,17,85,0,3.8397
4.17,2.115,1,0.033,5.75,146,19.88,0.5,3,23,71,0,5.9834
