"latitude","longitude"
41.86072,71.89911
41.51468,71.97423
41.62651,72.33073
41.50827,71.89536
41.72207,72.3592
41.69298,72.53177
41.44757,72.99517
41.9005,72.12765
41.49308,71.97971
41.46259,73.52383
41.79429,73.19495
41.5904,72.42655
41.57596,71.78904
41.25058,73.14075
41.56859,72.78691
41.51539,72.73139
41.99266,72.13085
41.50757,71.87318
41.09058,73.46373
41.9231,72.21908
41.34555,72.29826
41.96955,72.06934
41.56374,72.03777
41.80132,72.433
41.8089,72.42619
41.82184,72.42102
41.78829,72.45363
41.37191,72.122
41.29532,72.80171
41.91115,72.53823
41.91006,72.53856
41.20738,73.18788
41.87184,73.09576
41.30587,72.52501
41.25132,73.239
41.40168,72.49901
41.32061,72.77994
41.93943,72.19431
41.30229,72.39669
41.84679,71.83803
41.33719,72.74107
41.77093,72.31974
42.02516,72.52218
41.52188,72.63876
41.30111,72.41396
41.93605,72.37389
41.92278,72.09932
41.38917,73.03082
41.40869,72.80267
41.34356,72.58872
41.34116,72.59215
41.69494,72.48231
41.64631,72.63289
41.64575,72.63426
41.56392,71.87308
41.81353,73.2388
41.07916,73.46074
41.60138,73.09778
41.52323,73.14099
41.64861,72.98933
41.39612,72.9421
41.32004,72.67371
41.21996,73.20664
41.74178,72.84136
41.50874,72.22279
41.39102,72.5576
41.57392,72.56294
41.53006,71.80907
41.84019,72.10908
41.67057,72.8475
41.68358,73.47777
41.51878,72.32729
41.18087,73.37183
41.42103,72.57104
41.54686,72.72233
41.54399,72.72083
41.53777,72.72257
41.55274,72.72902
41.46175,72.25084
41.18232,73.42648
41.54433,72.60446
41.32818,73.10852
42.02222,72.99288
41.28351,72.58265
41.25053,73.00999
41.91828,73.49461
41.29901,72.39684
41.34751,72.43418
41.36054,72.70377
41.80343,72.77213
41.50103,73.11168
41.88743,73.01997
41.31704,72.78478
41.6535,73.20825
41.51451,72.42203
41.39284,72.37909
41.46451,72.85655
41.44279,72.77219
41.32008,73.52723
41.63474,73.11386
41.33882,72.48377
41.69472,72.73002
41.47727,72.63283
41.82456,72.91158
41.82656,72.91411
41.81138,73.29292
41.67663,72.31115
41.73433,71.86675
41.96006,72.1922
42.02185,72.03045
41.36302,71.96287
41.41707,73.13694
41.48544,72.77947
41.35674,72.62813
41.33061,72.73172
41.2947,72.62439
41.68265,72.84798
41.3741,72.23028
41.25557,73.17577
41.43236,72.74155
41.59784,72.49581
41.39259,72.24905
41.38053,71.8605
41.37927,71.86087
41.17,73.35631
41.42209,72.33256
42.00268,72.64729
42.00276,72.6463
41.33536,72.52367
41.3388,73.37758
41.95974,71.81632
41.39442,72.69666
41.34442,73.05247
41.36418,72.30096
41.13459,73.42225
41.95089,71.95093
41.17892,73.41998
41.71794,72.60965
41.3693,72.58971
41.10905,73.44343
41.31925,73.11065
41.30803,73.11969
41.5794,72.77293
41.36044,71.90922
41.77849,72.82611
41.60271,72.86369
41.51512,73.47843
42.01228,72.25539
41.59868,73.07024
41.26764,72.78897
41.41,73.33179
41.07807,73.47213
41.53585,73.51186
41.29348,72.69152
41.82003,72.82271
41.81764,72.82342
41.83768,73.26142
41.44672,72.74408
41.33809,72.6815
41.504,72.407
41.41692,72.8846
41.2301,73.41338
41.34991,73.45925
41.87794,73.04411
41.33899,72.7341
41.85519,73.2565
41.43822,71.96957
41.63494,72.3087
41.90873,73.15069
41.58372,73.12765
41.35391,72.96891
41.73685,72.76538
41.49105,71.87221
41.27087,72.77647
