species,frequency,group,label,name
nymphaea_odor,109,lily,,
nuphar,94,lily,,
potamogeton_biculp,83,submerged,,
brasenia,81,lily,,
elodea_nutt,77,submerged,,
potamogeton_pusil,72,submerged,,
najas_flex,69,submerged,,
ceratophyllum_dem,62,submerged,,
pontederia,62,emergent,,
utricularia_gibb,61,submerged,,
eleocharis,59,emergent,,
potamogeton_epi,59,submerged,,
sagittaria,58,emergent,,
lemna_minor,56,floating,*,Lemna minor
utricularia_purp,53,submerged,,
gratiola,48,emergent,,
utricularia_radi,44,submerged,,
vallisneria,44,submerged,,
eriocaulon_aqua,42,emergent,,
utricularia_vulg,41,submerged,,
sparganium,39,emergent,,
myriophyllum_spic,38,submerged,,
elatine,35,submerged,,
najas_minor,35,submerged,,
potamogeton_ampli,34,submerged,,
isoetes,33,emergent,,
callitriche,32,submerged,,
ceratophyllum_echin,32,submerged,,
eleocharis_acic,32,emergent,,
myriophyllum_hetero,31,submerged,,
spirodela_polyrhiza,31,floating,*,Spirodela polyrhiza
elatine_minima,30,submerged,,
ludwigia_pal,30,emergent,,
potamogeton_foli,30,submerged,,
potamogeton_pulch,30,submerged,,
myriophyllum_hum,29,submerged,,
potamogeton_crispus,29,submerged,,
potamogeton_natans,29,submerged,,
charphyte,27,submerged,,
typha,26,emergent,,
potamogeton_robb,25,submerged,,
sedge,25,emergent,,
ludwigia,24,emergent,,
cabomba,23,submerged,,
wolffia,23,floating,*,Wolffia sp.
najas_guad,22,submerged,,
utricularia_macro,17,submerged,,
elodea_canad,16,submerged,,
potamogeton_grami,15,submerged,,
potamogeton_perfo,15,submerged,,
polygonum_amphi,14,emergent,,
nymphoides_cordata,13,lily,,
potamogeton_zost,13,submerged,,
alisma,12,emergent,,
utricularia_inter,12,submerged,,
glossostigma,8,submerged,,
myriophyllum_ten,8,submerged,,
proserpinaca,8,emergent,,
stuckenia,8,lily,,
utricularia_mino,8,submerged,,
najas_grac,7,submerged,,
decodon,6,emergent,,
fil_algae,6,submerged,,
peltandra,6,emergent,,
ranunculus,6,emergent,,
callitriche_hetero,5,submerged,,
juncus_pelo,5,emergent,,
lobelia,5,emergent,,
phragmites,5,emergent,,
potamogeton_prael,5,submerged,,
zosterella,5,submerged,,
egeria,4,submerged,,
isoetes_echino,4,emergent,,
juncus,4,emergent,,
lemna_trisulca,4,floating,*,Lemna trisulca
polygonum,4,emergent,,
potamogeton_oakes,4,submerged,,
potamogeton_spir,4,submerged,,
sagittaria_gram,4,emergent,,
utricularia_gemi,4,submerged,,
azolla,3,floating,*,Azolla sp.
isoetes_engel,3,emergent,,
isoetes_tuck,3,emergent,,
potamogeton,3,submerged,,
potamogeton_ilino,3,submerged,,
zannichellia,3,submerged,,
cardamine,2,emergent,,
hydrilla,2,submerged,,
myriophyllum_aqua,2,submerged,,
myriophyllum_hetero_lax,2,submerged,,
myriophyllum_sibi,2,submerged,,
potamogeton_palus,2,submerged,,
potamogeton_rich,2,submerged,,
sagittaria_lati,2,emergent,,
typha_latif,2,submerged,,
utricularia,2,submerged,,
alisma_subcordatum,1,emergent,,
callitriche_stag,1,submerged,,
eichhornia_crassipes,1,floating,*,Eichhornia crassipes
elatine_ameri,1,submerged,,
eleocharis_ellip,1,emergent,,
isoetes_acad,1,emergent,,
isoetes_eaton,1,emergent,,
isoetes_lacus,1,emergent,,
marsilea,1,emergent,,
megalodonta,1,submerged,,
myosotis,1,emergent,,
myriophyllum,1,submerged,,
myriophyllum_alt,1,submerged,,
nasturtium,1,emergent,,
nelumbo,1,lily,,
nymphaea_odor_tuber,1,lily,,
nymphoides,1,lily,,
polygonum_hydro,1,emergent,,
potamogeton_berch,1,submerged,,
potamogeton_conferv,1,submerged,,
potamogeton_ilino_hybrid,1,submerged,,
potamogeton_nodos,1,submerged,,
potamogeton_obtus,1,submerged,,
schoenoplectus,1,emergent,,
sparganium_ameri,1,emergent,,
trapa,1,lily,,
utricularia_mini,1,submerged,,
utricularia_subu,1,submerged,,
