"","surfacearea_ha","shoreline_development","depth_max_m","nonFP_species_richness","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","nearest_LM","nearest_SP","nearest_W","nearest_any_FP","boatlaunch","dist_waterfowl"
"surfacearea_ha",NA,5.0537436457887e-09,1.77635683940025e-13,3.60731906567935e-08,0.0675944697101312,0.983704542355691,0.000593751959402145,0.123015436275903,1.72046039361717e-05,0.149259155832705,0.156560878004119,0.746946084747563,0.0333770816976355,0.191642489592154,0.148658747973587,0.00729313207089,1.575988228808e-10,0.306442599801546
"shoreline_development",5.0537436457887e-09,NA,0.00465355242512389,4.15744830339904e-07,0.0588409903999059,0.841540842789806,0.258625987542582,0.236127295092922,0.369301387024819,0.104135533203256,0.00200256586757241,0.00341237505095915,0.680402804293023,0.469300640268109,0.0562317885138908,0.937819772597945,0.000569845141296099,0.53191558980908
"depth_max_m",1.77635683940025e-13,0.00465355242512389,NA,4.48773622707677e-08,0.0393925570814637,0.849705299691224,0.00987939207727351,0.0679570828077374,0,0.286726030812345,0.360753469916641,0.342669279778852,0.581255175696954,0.891448730237209,0.138200573156938,0.405772086017325,3.02583513800414e-10,0.722505397807874
"nonFP_species_richness",3.60731906567935e-08,4.15744830339904e-07,4.48773622707677e-08,NA,0.00216866816482852,0.012068122234939,2.00705116970568e-07,0.000279442653210893,3.19637130097306e-08,0.161607323888392,0.0263148171684415,0.342064205964193,5.84195461863501e-05,0.00106665036233355,0.00105211931505367,4.08325195198067e-05,6.40087982617388e-12,0.331862992213976
"TOTP_avg",0.0675944697101312,0.0588409903999059,0.0393925570814637,0.00216866816482852,NA,0.477864814906141,0.000554132828604281,0.000539124342762598,0.00259439006452089,0.972724126525057,0.876389968007424,0.791642149405337,0.682473682473707,0.172016825295215,0.141158417244031,0.0627071769832854,0.120510834990733,0.744882542715307
"PH_avg",0.983704542355691,0.841540842789806,0.849705299691224,0.012068122234939,0.477864814906141,NA,5.75204994746059e-10,2.25153229393982e-13,0.0224425330597093,0.45240130288666,0.452216775694157,0.189458018499764,0.282420820707287,0.626000770850857,0.0791504719798897,0.237832281497899,0.0556789171194927,0.494499220315218
"COND_avg",0.000593751959402145,0.258625987542582,0.00987939207727351,2.00705116970568e-07,0.000554132828604281,5.75204994746059e-10,NA,0,5.02551232761661e-05,0.567224299274885,0.784488368173366,0.282080373625036,0.000189298265813598,0.0459195096500875,0.203300853740748,2.99525182718696e-05,0.00254724963527586,0.0401380502710627
"ALK_avg",0.123015436275903,0.236127295092922,0.0679570828077374,0.000279442653210893,0.000539124342762598,2.25153229393982e-13,0,NA,0.0176892279540162,0.933297598884731,0.289313124947461,0.306719356224414,0.466560706316525,0.423090897078379,0.438570311888845,0.665088653871546,0.0434842461010723,0.984001113901805
"secchi_avg",1.72046039361717e-05,0.369301387024819,0,3.19637130097306e-08,0.00259439006452089,0.0224425330597093,5.02551232761661e-05,0.0176892279540162,NA,0.959547987548668,0.315335787200309,0.45013398471326,0.0103346503362503,0.402255034507687,0.307452661911804,0.00347299519153554,1.10353144844311e-06,0.357506237831551
"waterbodies_1km",0.149259155832705,0.104135533203256,0.286726030812345,0.161607323888392,0.972724126525057,0.45240130288666,0.567224299274885,0.933297598884731,0.959547987548668,NA,1.87918614003024e-09,0.00108115316744617,0.463272962085883,0.774501387951213,0.110019473353613,0.159169265749389,0.39128530985207,0.424757607277482
"waterbodies_5km",0.156560878004119,0.00200256586757241,0.360753469916641,0.0263148171684415,0.876389968007424,0.452216775694157,0.784488368173366,0.289313124947461,0.315335787200309,1.87918614003024e-09,NA,0,0.842965421784086,0.817199324779303,0.0322146115633051,0.103487953473243,0.165352062125088,0.592872590627256
"waterbodies_10km",0.746946084747563,0.00341237505095915,0.342669279778852,0.342064205964193,0.791642149405337,0.189458018499764,0.282080373625036,0.306719356224414,0.45013398471326,0.00108115316744617,0,NA,0.54047498783436,0.390505244249986,0.375773414696334,0.0535651722991508,0.820312063726409,0.554177878989842
"nearest_LM",0.0333770816976355,0.680402804293023,0.581255175696954,5.84195461863501e-05,0.682473682473707,0.282420820707287,0.000189298265813598,0.466560706316525,0.0103346503362503,0.463272962085883,0.842965421784086,0.54047498783436,NA,6.06181771445335e-14,0.00132179459884485,0,0.0171679360460373,0.00280923057417137
"nearest_SP",0.191642489592154,0.469300640268109,0.891448730237209,0.00106665036233355,0.172016825295215,0.626000770850857,0.0459195096500875,0.423090897078379,0.402255034507687,0.774501387951213,0.817199324779303,0.390505244249986,6.06181771445335e-14,NA,0.00228104991927047,3.77475828372553e-15,0.00334479669256282,0.836607272713213
"nearest_W",0.148658747973587,0.0562317885138908,0.138200573156938,0.00105211931505367,0.141158417244031,0.0791504719798897,0.203300853740748,0.438570311888845,0.307452661911804,0.110019473353613,0.0322146115633051,0.375773414696334,0.00132179459884485,0.00228104991927047,NA,0.0048924709515199,0.357797407855244,0.824693963558245
"nearest_any_FP",0.00729313207089,0.937819772597945,0.405772086017325,4.08325195198067e-05,0.0627071769832854,0.237832281497899,2.99525182718696e-05,0.665088653871546,0.00347299519153554,0.159169265749389,0.103487953473243,0.0535651722991508,0,3.77475828372553e-15,0.0048924709515199,NA,0.00100643568211201,0.0434023409677096
"boatlaunch",1.575988228808e-10,0.000569845141296099,3.02583513800414e-10,6.40087982617388e-12,0.120510834990733,0.0556789171194927,0.00254724963527586,0.0434842461010723,1.10353144844311e-06,0.39128530985207,0.165352062125088,0.820312063726409,0.0171679360460373,0.00334479669256282,0.357797407855244,0.00100643568211201,NA,0.621300348261691
"dist_waterfowl",0.306442599801546,0.53191558980908,0.722505397807874,0.331862992213976,0.744882542715307,0.494499220315218,0.0401380502710627,0.984001113901805,0.357506237831551,0.424757607277482,0.592872590627256,0.554177878989842,0.00280923057417137,0.836607272713213,0.824693963558245,0.0434023409677096,0.621300348261691,NA
