"","surfacearea_ha","shoreline_development","depth_max_m","nonFP_species_richness","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","nearest_LM","nearest_SP","nearest_W","nearest_any_FP","boatlaunch","dist_waterfowl"
"surfacearea_ha",1,0.422787815332413,0.518123984336853,0.400593400001526,-0.138091325759888,-0.00155062146950513,-0.256368041038513,-0.116684645414352,0.317826509475708,0.109159097075462,0.107246242463589,0.0244929529726505,0.160470381379128,0.0988867357373238,0.109319508075714,0.201605916023254,0.458416193723679,0.0775263756513596
"shoreline_development",0.422787815332413,1,0.212399631738663,0.370505928993225,-0.142704427242279,-0.0151770366355777,-0.0856037437915802,-0.0897610113024712,0.0680794715881348,0.122909434139729,0.23138602077961,0.219565212726593,-0.0312643349170685,0.0548947267234325,0.144188478589058,-0.00592240504920483,0.257170259952545,-0.0474289506673813
"depth_max_m",0.518123984336853,0.212399631738663,1,0.398024410009384,-0.155445516109467,-0.0143854478374124,-0.194007560610771,-0.137911021709442,0.619441568851471,0.0807465314865112,0.0693010315299034,0.0719462707638741,0.0418548285961151,0.0103604579344392,0.112195871770382,0.0630527809262276,0.452021151781082,0.0269548073410988
"nonFP_species_richness",0.400593400001526,0.370505928993225,0.398024410009384,1,-0.229655727744102,-0.188849344849586,-0.379788786172867,-0.270693778991699,0.402006894350052,0.105963088572025,0.167463362216949,0.0720362812280655,0.298156410455704,0.244645267724991,0.244926154613495,0.304066091775894,0.488035619258881,0.0735693052411079
"TOTP_avg",-0.138091325759888,-0.142704427242279,-0.155445516109467,-0.229655727744102,1,0.0538435764610767,0.257714599370956,0.258248031139374,-0.225717172026634,-0.00259580370038748,0.0118085434660316,-0.0200541205704212,-0.0310501251369715,0.103408068418503,-0.111366018652916,-0.140602022409439,-0.1174655854702,-0.0246997885406017
"PH_avg",-0.00155062146950513,-0.0151770366355777,-0.0143854478374124,-0.188849344849586,0.0538435764610767,1,0.445591419935226,0.51621413230896,-0.172013118863106,0.0570003315806389,0.0570235624909401,0.0993726849555969,-0.0814691632986069,0.0369873866438866,-0.132695779204369,-0.0894365385174751,-0.144510209560394,0.0518305972218513
"COND_avg",-0.256368041038513,-0.0856037437915802,-0.194007560610771,-0.379788786172867,0.257714599370956,0.445591419935226,1,0.571121752262115,-0.300655782222748,0.0434160120785236,0.0207596309483051,0.0815266221761703,-0.277797609567642,-0.150677651166916,-0.0963592454791069,-0.309078216552734,-0.226123124361038,-0.154868766665459
"ALK_avg",-0.116684645414352,-0.0897610113024712,-0.137911021709442,-0.270693778991699,0.258248031139374,0.51621413230896,0.571121752262115,1,-0.178633034229279,-0.00635408749803901,-0.0803157761693001,-0.0774821639060974,0.0552332326769829,0.0607600882649422,-0.0587566122412682,-0.0328562445938587,-0.152385845780373,0.00152239692397416
"secchi_avg",0.317826509475708,0.0680794715881348,0.619441568851471,0.402006894350052,-0.225717172026634,-0.172013118863106,-0.300655782222748,-0.178633034229279,1,0.00385064957663417,-0.076118566095829,-0.0572861433029175,0.192856967449188,0.063525378704071,0.0773651450872421,0.219164356589317,0.357588469982147,0.0697697922587395
"waterbodies_1km",0.109159097075462,0.122909434139729,0.0807465314865112,0.105963088572025,-0.00259580370038748,0.0570003315806389,0.0434160120785236,-0.00635408749803901,0.00385064957663417,1,0.433378666639328,0.244368404150009,-0.0556408651173115,0.02174754999578,0.12088093906641,-0.106579199433327,0.0650154426693916,-0.0605423599481583
"waterbodies_5km",0.107246242463589,0.23138602077961,0.0693010315299034,0.167463362216949,0.0118085434660316,0.0570235624909401,0.0207596309483051,-0.0803157761693001,-0.076118566095829,0.433378666639328,1,0.795321643352509,-0.0150388004258275,-0.0175471771508455,0.161528840661049,-0.123138152062893,0.105030179023743,0.040575385093689
"waterbodies_10km",0.0244929529726505,0.219565212726593,0.0719462707638741,0.0720362812280655,-0.0200541205704212,0.0993726849555969,0.0815266221761703,-0.0774821639060974,-0.0572861433029175,0.244368404150009,0.795321643352509,1,-0.0464444234967232,-0.0651223510503769,0.0671661272644997,-0.145765125751495,-0.0172431897372007,0.0448841899633408
"nearest_LM",0.160470381379128,-0.0312643349170685,0.0418548285961151,0.298156410455704,-0.0310501251369715,-0.0814691632986069,-0.277797609567642,0.0552332326769829,0.192856967449188,-0.0556408651173115,-0.0150388004258275,-0.0464444234967232,1,0.526597321033478,0.240211293101311,0.874611735343933,0.179450288414955,0.223947763442993
"nearest_SP",0.0988867357373238,0.0548947267234325,0.0103604579344392,0.244645267724991,0.103408068418503,0.0369873866438866,-0.150677651166916,0.0607600882649422,0.063525378704071,0.02174754999578,-0.0175471771508455,-0.0651223510503769,0.526597321033478,1,0.228552132844925,0.547458410263062,0.220019727945328,0.0156561620533466
"nearest_W",0.109319508075714,0.144188478589058,0.112195871770382,0.244926154613495,-0.111366018652916,-0.132695779204369,-0.0963592454791069,-0.0587566122412682,0.0773651450872421,0.12088093906641,0.161528840661049,0.0671661272644997,0.240211293101311,0.228552132844925,1,0.211221992969513,0.0697276517748833,0.0168157201260328
"nearest_any_FP",0.201605916023254,-0.00592240504920483,0.0630527809262276,0.304066091775894,-0.140602022409439,-0.0894365385174751,-0.309078216552734,-0.0328562445938587,0.219164356589317,-0.106579199433327,-0.123138152062893,-0.145765125751495,0.874611735343933,0.547458410263062,0.211221992969513,1,0.24583300948143,0.152444675564766
"boatlaunch",0.458416193723679,0.257170259952545,0.452021151781082,0.488035619258881,-0.1174655854702,-0.144510209560394,-0.226123124361038,-0.152385845780373,0.357588469982147,0.0650154426693916,0.105030179023743,-0.0172431897372007,0.179450288414955,0.220019727945328,0.0697276517748833,0.24583300948143,1,-0.037491325289011
"dist_waterfowl",0.0775263756513596,-0.0474289506673813,0.0269548073410988,0.0735693052411079,-0.0246997885406017,0.0518305972218513,-0.154868766665459,0.00152239692397416,0.0697697922587395,-0.0605423599481583,0.040575385093689,0.0448841899633408,0.223947763442993,0.0156561620533466,0.0168157201260328,0.152444675564766,-0.037491325289011,1
