"","surfacearea_ha","shoreline_development","depth_max_m","nonFP_species_richness","TOTP_avg","PH_avg","COND_avg","ALK_avg","secchi_avg","waterbodies_1km","waterbodies_5km","waterbodies_10km","nearest_LM","nearest_SP","nearest_W","nearest_any_FP","boatlaunch","dist_waterfowl"
"surfacearea_ha",1,0.533166527748108,0.654483616352081,0.588740587234497,-0.313220024108887,0.0199705865234137,-0.257251858711243,-0.263272404670715,0.483513355255127,0.0615367367863655,0.150424689054489,0.111744716763496,0.217590376734734,0.120164580643177,0.179599389433861,0.294685244560242,0.493866294622421,0.128123894333839
"shoreline_development",0.533166527748108,1,0.276915907859802,0.392965495586395,-0.217170476913452,-0.0240573659539223,-0.101873055100441,-0.164288073778152,0.145916864275932,0.0584064796566963,0.210262596607208,0.210643082857132,0.0236603431403637,0.10145416110754,0.189551576972008,0.0794672667980194,0.247039034962654,-0.0239461921155453
"depth_max_m",0.654483616352081,0.276915907859802,1,0.433921933174133,-0.313443899154663,-0.0157998576760292,-0.250544220209122,-0.21154896914959,0.694941163063049,0.0897954851388931,0.0597750544548035,0.0744321644306183,0.120535619556904,0.00428593950346112,0.189343750476837,0.231100305914879,0.447518110275269,0.0325418449938297
"nonFP_species_richness",0.588740587234497,0.392965495586395,0.433921933174133,1,-0.387447655200958,-0.128600567579269,-0.324969351291656,-0.281654834747314,0.489815443754196,0.0986834242939949,0.100095309317112,0.0276200659573078,0.316915601491928,0.170272335410118,0.255019277334213,0.327157258987427,0.39899730682373,0.0882304385304451
"TOTP_avg",-0.313220024108887,-0.217170476913452,-0.313443899154663,-0.387447655200958,1,0.123605579137802,0.353090286254883,0.392506390810013,-0.416647911071777,0.0228877011686563,-0.00946440361440182,-0.0617065690457821,-0.129590511322021,-0.0150724845007062,-0.219637781381607,-0.31964522600174,-0.185952499508858,-0.0336887761950493
"PH_avg",0.0199705865234137,-0.0240573659539223,-0.0157998576760292,-0.128600567579269,0.123605579137802,1,0.488027185201645,0.625834167003632,-0.122674278914928,0.104250259697437,0.042558278888464,0.083548828959465,-0.150865718722343,-0.0300693716853857,-0.0758780241012573,-0.153890833258629,-0.154443264007568,0.0179271176457405
"COND_avg",-0.257251858711243,-0.101873055100441,-0.250544220209122,-0.324969351291656,0.353090286254883,0.488027185201645,1,0.791561365127563,-0.328788578510284,0.102136984467506,0.0570157989859581,0.0844857841730118,-0.37150102853775,-0.207542166113853,-0.106521934270859,-0.415039211511612,-0.303287923336029,-0.163186922669411
"ALK_avg",-0.263272404670715,-0.164288073778152,-0.21154896914959,-0.281654834747314,0.392506390810013,0.625834167003632,0.791561365127563,1,-0.264591455459595,0.111100271344185,-0.0339306145906448,-0.0364444218575954,-0.240324690937996,-0.0826625600457191,-0.0983810126781464,-0.28424197435379,-0.287389576435089,-0.134314924478531
"secchi_avg",0.483513355255127,0.145916864275932,0.694941163063049,0.489815443754196,-0.416647911071777,-0.122674278914928,-0.328788578510284,-0.264591455459595,1,0.0480585098266602,-0.0399751402437687,-0.00472409976646304,0.21980282664299,0.108962945640087,0.147289544343948,0.28337961435318,0.347597479820251,0.0682946220040321
"waterbodies_1km",0.0615367367863655,0.0584064796566963,0.0897954851388931,0.0986834242939949,0.0228877011686563,0.104250259697437,0.102136984467506,0.111100271344185,0.0480585098266602,1,0.349517285823822,0.18180838227272,-0.154137596487999,-0.030793247744441,0.00788487773388624,-0.188403084874153,0.0418915525078773,-0.125114187598228
