Var1,Var2,corrl
nearest_LM,nearest_any_FP,0.868709531
COND_avg,ALK_avg,0.775491423
depth_max_m,secchi_avg,0.698019791
surfacearea_ha,depth_max_m,0.662309396
PH_avg,ALK_avg,0.62997039
surfacearea_ha,nonFP_species_richness,0.586633582
surfacearea_ha,shoreline_development,0.540318095
nearest_LM,latitude,0.523305455
surfacearea_ha,boatlaunch,0.519531936
secchi_avg,nonFP_species_richness,0.508132834
nearest_LM,nearest_SP,0.500621119
PH_avg,COND_avg,0.489826358
nearest_SP,nearest_any_FP,0.488596956
surfacearea_ha,secchi_avg,0.4738863
TOTP_avg,secchi_avg,-0.473704552
depth_max_m,nonFP_species_richness,0.463794949
TOTP_avg,ALK_avg,0.460814825
depth_max_m,boatlaunch,0.443588684
boatlaunch,nonFP_species_richness,0.438843589
ALK_avg,longitude,-0.436154774
TOTP_avg,COND_avg,0.431273463
COND_avg,longitude,-0.416872899
shoreline_development,nonFP_species_richness,0.411049781
COND_avg,nearest_any_FP,-0.390894696
nearest_any_FP,latitude,0.385110078
COND_avg,nonFP_species_richness,-0.372076449
depth_max_m,TOTP_avg,-0.360716489
COND_avg,nearest_LM,-0.355436267
TOTP_avg,nonFP_species_richness,-0.35503503
nearest_any_FP,nonFP_species_richness,0.354893391
secchi_avg,boatlaunch,0.350823205
nearest_LM,nonFP_species_richness,0.345728775
surfacearea_ha,TOTP_avg,-0.335910118
COND_avg,secchi_avg,-0.329051293
ALK_avg,nonFP_species_richness,-0.326946715
surfacearea_ha,latitude,0.308656831
PH_avg,longitude,-0.30586723
COND_avg,boatlaunch,-0.292819961
surfacearea_ha,nearest_any_FP,0.288745493
shoreline_development,depth_max_m,0.287643487
latitude,longitude,0.286573418
surfacearea_ha,COND_avg,-0.282651625
secchi_avg,nearest_any_FP,0.273606365
ALK_avg,boatlaunch,-0.270185556
TOTP_avg,boatlaunch,-0.265700226
longitude,nonFP_species_richness,0.265421147
surfacearea_ha,ALK_avg,-0.263273435
ALK_avg,secchi_avg,-0.257186848
shoreline_development,TOTP_avg,-0.249751998
depth_max_m,COND_avg,-0.248439048
latitude,nonFP_species_richness,0.246667924
nearest_W,nonFP_species_richness,0.24331738
TOTP_avg,longitude,-0.239181063
ALK_avg,nearest_any_FP,-0.238077114
nearest_any_FP,boatlaunch,0.23688428
surfacearea_ha,nearest_LM,0.236430081
nearest_SP,latitude,0.234246651
shoreline_development,boatlaunch,0.2342334
secchi_avg,nearest_LM,0.229585438
nearest_W,nearest_any_FP,0.227311488
nearest_LM,nearest_W,0.225152822
TOTP_avg,nearest_any_FP,-0.222194219
nearest_SP,boatlaunch,0.222147398
waterbodies_1km,waterbodies_10km,0.221308468
nearest_LM,longitude,0.220112788
depth_max_m,ALK_avg,-0.205256261
shoreline_development,waterbodies_10km,0.204684729
ALK_avg,nearest_LM,-0.203184673
nearest_SP,nonFP_species_richness,0.202709357
nearest_SP,nearest_W,0.200745393
dist_waterfowl,latitude,0.196965722
latitude,boatlaunch,0.194409303
surfacearea_ha,longitude,0.194207485
nearest_LM,boatlaunch,0.188817813
longitude,boatlaunch,0.182271888
COND_avg,nearest_SP,-0.179793476
depth_max_m,nearest_any_FP,0.177822463
secchi_avg,latitude,0.173692784
nearest_any_FP,longitude,0.170267289
dist_waterfowl,nearest_any_FP,0.166141973
shoreline_development,ALK_avg,-0.166005738
depth_max_m,nearest_W,0.163520391
dist_waterfowl,nearest_LM,0.16320954
secchi_avg,longitude,0.162229453
TOTP_avg,PH_avg,0.162145653
PH_avg,boatlaunch,-0.161534896
PH_avg,nonFP_species_richness,-0.161279624
COND_avg,dist_waterfowl,-0.160889591
shoreline_development,nearest_W,0.160853255
waterbodies_1km,nearest_any_FP,-0.157304758
surfacearea_ha,nearest_W,0.157098956
COND_avg,latitude,-0.15685075
TOTP_avg,nearest_LM,-0.149100499
shoreline_development,secchi_avg,0.145493764
surfacearea_ha,dist_waterfowl,0.142185715
ALK_avg,latitude,-0.139384921
surfacearea_ha,nearest_SP,0.134733856
PH_avg,nearest_any_FP,-0.132927412
secchi_avg,nearest_W,0.131158996
PH_avg,nearest_LM,-0.129887366
waterbodies_10km,nearest_any_FP,-0.128487962
PH_avg,secchi_avg,-0.126557163
depth_max_m,longitude,0.118912135
nearest_W,longitude,0.118592368
waterbodies_1km,nearest_LM,-0.118509254
ALK_avg,dist_waterfowl,-0.112844671
TOTP_avg,latitude,-0.11049975
dist_waterfowl,nonFP_species_richness,0.106409903
surfacearea_ha,waterbodies_10km,0.106120885
depth_max_m,nearest_LM,0.10538543
secchi_avg,nearest_SP,0.103231312
shoreline_development,COND_avg,-0.100982269
PH_avg,nearest_W,-0.098634951
depth_max_m,waterbodies_1km,0.094337886
nearest_W,latitude,0.09321404
waterbodies_1km,dist_waterfowl,-0.093084931
COND_avg,nearest_W,-0.092751664
shoreline_development,longitude,0.091103598
PH_avg,waterbodies_1km,0.090205649
PH_avg,waterbodies_10km,0.088575591
waterbodies_10km,latitude,-0.088458053
TOTP_avg,waterbodies_10km,-0.08817254
COND_avg,waterbodies_10km,0.084049877
ALK_avg,nearest_W,-0.083253167
secchi_avg,dist_waterfowl,0.082714815
COND_avg,waterbodies_1km,0.081782536
waterbodies_1km,nonFP_species_richness,0.081227025
shoreline_development,waterbodies_1km,0.079787932
surfacearea_ha,waterbodies_1km,0.079388669
shoreline_development,nearest_SP,0.076753085
ALK_avg,waterbodies_1km,0.075880963
depth_max_m,waterbodies_10km,0.075791394
waterbodies_10km,nearest_LM,-0.066943239
waterbodies_1km,nearest_W,0.066084318
waterbodies_1km,latitude,-0.065897325
waterbodies_10km,longitude,-0.063389213
nearest_W,boatlaunch,0.061687703
waterbodies_1km,longitude,-0.060369051
shoreline_development,nearest_any_FP,0.054659787
waterbodies_10km,nearest_SP,-0.052966824
TOTP_avg,nearest_W,-0.049585141
waterbodies_1km,boatlaunch,0.049205932
ALK_avg,waterbodies_10km,-0.046481841
TOTP_avg,nearest_SP,-0.044637368
dist_waterfowl,nearest_SP,0.042741853
ALK_avg,nearest_SP,-0.039201709
depth_max_m,dist_waterfowl,0.037933134
waterbodies_10km,nearest_W,0.037167413
waterbodies_10km,nonFP_species_richness,0.036718495
PH_avg,dist_waterfowl,0.035957409
secchi_avg,waterbodies_1km,0.0352462
TOTP_avg,waterbodies_1km,0.030712016
TOTP_avg,dist_waterfowl,-0.030348161
dist_waterfowl,boatlaunch,-0.028478483
waterbodies_10km,boatlaunch,-0.025557226
shoreline_development,PH_avg,-0.025264334
dist_waterfowl,longitude,0.0227635
surfacearea_ha,PH_avg,0.021424808
PH_avg,nearest_SP,0.021246443
nearest_SP,longitude,0.019900899
depth_max_m,nearest_SP,-0.019476895
shoreline_development,nearest_LM,0.018254673
shoreline_development,dist_waterfowl,-0.016775867
waterbodies_10km,dist_waterfowl,0.016161554
shoreline_development,latitude,0.013654497
dist_waterfowl,nearest_W,0.012621482
PH_avg,latitude,0.012307722
depth_max_m,PH_avg,-0.010327244
secchi_avg,waterbodies_10km,-0.008271237
depth_max_m,latitude,0.00581315
waterbodies_1km,nearest_SP,0.005466161
