Group,Species,Frequency,Label,FP?,group
Helophyte,Acorus calmus,2,,notFP,emergent
Helophyte,Alisma plantago-aquatica,32,,notFP,emergent
Isoetid,Alopecurus aequalis,9,,notFP,emergent
Helophyte,Bidens cernua,13,,notFP,emergent
Helophyte,Bidens tripartita,31,,notFP,emergent
Helophyte,Calla palustris,2,,notFP,emergent
Helophyte,Carex acuta,1,,notFP,emergent
Helophyte,Carex aquatilis,1,,notFP,emergent
Helophyte,Carex nigra,25,,notFP,emergent
Helophyte,Carex pseudocyperus,2,,notFP,emergent
Helophyte,Carex rostrata,11,,notFP,emergent
Helophyte,Carex vesicaria,7,,notFP,emergent
Helophyte,Cicuta virosa,1,,notFP,emergent
Helophyte,Eleocharis mamillata,16,,notFP,emergent
Helophyte,Eleocharis palustris,6,,notFP,emergent
Helophyte,Equisetum fluviatile,6,,notFP,emergent
Helophyte,Glyceria fluitans,43,,notFP,emergent
Helophyte,Iris pseudacorus,8,,notFP,emergent
Helophyte,Lysimachia thyrsiflora,9,,notFP,emergent
Helophyte,Menyanthes trifoliata,1,,notFP,emergent
Nymphaeid,Persicaria amphibia,1,,notFP,emergent
Helophyte,Phragmites australis,6,,notFP,emergent
Isoetid,Ranunculus reptans,4,,notFP,emergent
Helophyte,Schoenoplectus lacustris,4,,notFP,emergent
Nymphaeid,Sparganium emersum,4,,notFP,emergent
Helophyte,Sparganium erectum,18,,notFP,emergent
Helophyte,Sparganium glomeratum,5,,notFP,emergent
Nymphaeid,Sparganium natans,12,,notFP,emergent
Helophyte,Typha angustifolia,2,,notFP,emergent
Helophyte,Typha latifolia,10,,notFP,emergent
Lemnid,Lemna minor,49,*,FP,floating 
Lemnid,Lemna trisulca,1,*,FP,floating 
Lemnid,Spirodela polyrhiza,8,*,FP,floating 
Nymphaeid,Nuphar lutea,3,,notFP,lily
Nymphaeid,Nymphaea alba,1,,notFP,lily
Elodeid,Callitriche cophocarpa,15,,notFP,submerged
Elodeid,Callitriche hamulata,11,,notFP,submerged
Elodeid,Callitriche palustris,5,,notFP,submerged
Elodeid,Hippuris vulgaris,3,,notFP,submerged
Elodeid,Potamogeton alpinus,12,,notFP,submerged
Elodeid,Potamogeton berchtoldii,29,,notFP,submerged
Nymphaeid,Potamogeton natans,28,,notFP,submerged
Elodeid,Potamogeton perfoliatus,1,,notFP,submerged
Elodeid,Potamogeton pusillus,7,,notFP,submerged
Elodeid,Ranunculus aquatilis,1,,notFP,submerged
Elodeid,Utricularia minor,4,,notFP,submerged
Elodeid,Utricularia vulgaris,1,,notFP,submerged
Terrestrial plant,Acer platanoides,10,,notFP,terrestrial
Terrestrial plant,Acer pseudoplatanus,1,,notFP,terrestrial
Terrestrial plant,Achillea millefolium,53,,notFP,terrestrial
Terrestrial plant,Achillea ptarmica,36,,notFP,terrestrial
Terrestrial plant,Aconitum septentrionale,1,,notFP,terrestrial
Terrestrial plant,Aegopodium podagraria,10,,notFP,terrestrial
Terrestrial plant,Agrimonia eupatoria,1,,notFP,terrestrial
Terrestrial plant,Agrostis capillaris,40,,notFP,terrestrial
Terrestrial plant,Agrostis gigantea,3,,notFP,terrestrial
Terrestrial plant,Agrostis stolonifera,14,,notFP,terrestrial
Terrestrial plant,Ajuga pyramidalis,1,,notFP,terrestrial
Terrestrial plant,Alchemilla filicaulis,1,,notFP,terrestrial
Terrestrial plant,Alchemilla glabra,6,,notFP,terrestrial
Terrestrial plant,Alchemilla gracilis,2,,notFP,terrestrial
Terrestrial plant,Alchemilla monticola,5,,notFP,terrestrial
Terrestrial plant,Alchemilla subcrenata,4,,notFP,terrestrial
Terrestrial plant,Alchemilla wichurae,1,,notFP,terrestrial
Terrestrial plant,Alnus glutinosa,11,,notFP,terrestrial
Terrestrial plant,Alnus incana,10,,notFP,terrestrial
Terrestrial plant,Alopecurus geniculatus,11,,notFP,terrestrial
Terrestrial plant,Alopecurus pratensis,17,,notFP,terrestrial
Terrestrial plant,Amelanchier spicata,1,,notFP,terrestrial
Terrestrial plant,Anemone nemorosa,12,,notFP,terrestrial
Terrestrial plant,Angelica sylvestris,17,,notFP,terrestrial
Terrestrial plant,Anthoxanthum odoratum,10,,notFP,terrestrial
Terrestrial plant,Anthriscus sylvestris,43,,notFP,terrestrial
Terrestrial plant,Anthyllis vulneraria,1,,notFP,terrestrial
Terrestrial plant,Aquilegia vulgaris,1,,notFP,terrestrial
Terrestrial plant,Arctium spp.,3,,notFP,terrestrial
Terrestrial plant,Artemisia vulgaris,19,,notFP,terrestrial
Terrestrial plant,Aruncus dioicus,1,,notFP,terrestrial
Terrestrial plant,Athyrium filix-femina,15,,notFP,terrestrial
Terrestrial plant,Atriplex patula,4,,notFP,terrestrial
Terrestrial plant,Avena sativa,2,,notFP,terrestrial
Terrestrial plant,Barbarea vulgaris,6,,notFP,terrestrial
Terrestrial plant,Betula pendula,25,,notFP,terrestrial
Terrestrial plant,Betula pubescens,22,,notFP,terrestrial
Terrestrial plant,Bistorta vivipara,2,,notFP,terrestrial
Terrestrial plant,Bromus inermis,3,,notFP,terrestrial
Terrestrial plant,Calamagrostis arundinacea,2,,notFP,terrestrial
Terrestrial plant,Calamagrostis canescens,9,,notFP,terrestrial
Terrestrial plant,Calamagrostis purpurea,5,,notFP,terrestrial
Terrestrial plant,Calluna vulgaris,4,,notFP,terrestrial
Terrestrial plant,Caltha palustris,13,,notFP,terrestrial
Terrestrial plant,Campanula patula,1,,notFP,terrestrial
Terrestrial plant,Campanula persicifolia,2,,notFP,terrestrial
Terrestrial plant,Campanula rapunculoides,5,,notFP,terrestrial
Terrestrial plant,Campanula rotundifolia,12,,notFP,terrestrial
Terrestrial plant,Capsella bursa-pastoris,2,,notFP,terrestrial
Terrestrial plant,Cardamine amara,1,,notFP,terrestrial
Terrestrial plant,Cardamine pratensis,9,,notFP,terrestrial
Terrestrial plant,Carduus crispus,9,,notFP,terrestrial
Terrestrial plant,Carex canescens,34,,notFP,terrestrial
Terrestrial plant,Carex diandra,1,,notFP,terrestrial
Terrestrial plant,Carex echinata,5,,notFP,terrestrial
Terrestrial plant,Carex elongata,1,,notFP,terrestrial
Terrestrial plant,Carex flava,3,,notFP,terrestrial
Terrestrial plant,Carex ovalis,24,,notFP,terrestrial
Terrestrial plant,Carex pallescens,8,,notFP,terrestrial
Terrestrial plant,Carex panicea,2,,notFP,terrestrial
Terrestrial plant,Carum carvi,1,,notFP,terrestrial
Terrestrial plant,Centaurea jacea,6,,notFP,terrestrial
Terrestrial plant,Cerastium fontanum,23,,notFP,terrestrial
Terrestrial plant,Chamomilla suaveolens,8,,notFP,terrestrial
Terrestrial plant,Chenopodium album,5,,notFP,terrestrial
Terrestrial plant,Chrysosplenium alternifolium,1,,notFP,terrestrial
Terrestrial plant,Cirsium arvense,35,,notFP,terrestrial
Terrestrial plant,Cirsium helenioides,7,,notFP,terrestrial
Terrestrial plant,Cirsium palustre,6,,notFP,terrestrial
Terrestrial plant,Cirsium vulgare,8,,notFP,terrestrial
Terrestrial plant,Convallaria majalis,2,,notFP,terrestrial
Terrestrial plant,Convolvolus arvensis,1,,notFP,terrestrial
Terrestrial plant,Cornus sanguinea,1,,notFP,terrestrial
Terrestrial plant,Corylus avellana,1,,notFP,terrestrial
Terrestrial plant,Cotoneaster lucidus,1,,notFP,terrestrial
Terrestrial plant,Crepis paludosa,1,,notFP,terrestrial
Terrestrial plant,Dactylis glomerata,25,,notFP,terrestrial
Terrestrial plant,Dactylorhiza fuchsii,1,,notFP,terrestrial
Terrestrial plant,Deschampsia cespitosa,43,,notFP,terrestrial
Terrestrial plant,Deschampsia flexuosa,13,,notFP,terrestrial
Terrestrial plant,Dryopteris carthusiana,5,,notFP,terrestrial
Terrestrial plant,Dryopteris expansa,1,,notFP,terrestrial
Terrestrial plant,Dryopteris filix-mas,7,,notFP,terrestrial
Terrestrial plant,Elymus repens,37,,notFP,terrestrial
Terrestrial plant,Epilobium angustifolium,22,,notFP,terrestrial
Terrestrial plant,Epilobium montanum,8,,notFP,terrestrial
Terrestrial plant,Epilobium palustre,4,,notFP,terrestrial
