Group,Species,Frequency,Label
Aquatic,Nuphar lutea,361,
Aquatic,Elodea canadensis,300,
Aquatic,Lemna minor,300,*
Aquatic,Potamogeton natans,264,
Aquatic,Lemna trisulca,254,*
Aquatic,Nymphaea alba,187,
Aquatic,Sparganium emersum,187,
Aquatic,Potamogeton obtusifolius,187,
Aquatic,Littorella uniflora,172,
Aquatic,Potamogeton berchtoldii,119,
Aquatic,Potamogeton alpinus,107,
Aquatic,Potamogeton perfoliatus,103,
Aquatic,Potamogeton crispus,101,
Aquatic,Myriophyllum spicatum,88,
Aquatic,Callitriche hamulata,82,
Aquatic,Sparganium angustifolium,82,
Aquatic,Potamogeton pusillus,82,
Aquatic,Myriophyllum alterniflorum,69,
Aquatic,Potamogeton pectinatus,66,
Aquatic,Hippuris vulgaris,53,
Aquatic,Isoetes lacustris,43,
Aquatic,Potamogeton lucens,38,
Aquatic,Potamogeton praelongus,35,
Aquatic,Utricularia vulgaris,34,
Aquatic,Lobelia dortmanna,32,
Aquatic,Ranunculus peltatus,31,
Aquatic,Spirodela polyrrhiza,28,*
Aquatic,Potamogeton polygonifolius,27,
Aquatic,Zannichellia palustris,25,
Aquatic,Callitriche hermaphroditica,24,
Aquatic,Potamogeton gramineus,22,
Aquatic,Callitriche stagnalis,21,
