Location_ID,Location_Name,Location_Setting,Location_Description,Ecology_Facility_Site_ID,Is_Location_a_Well,Address,City,State,Zip_Code,County,Watershed_WRIA,Ecology_Region,US_Congressional_District,State_Legislative_District,NHD_Reach_Code,NHD_Reach_Measure,NHD_Edit_Date,Calculated_Latitude_Decimal_Degrees_NAD83HARN,Calculated_Longitude_Decimal_Degrees_NAD83HARN,Horizontal_Coordinates_Represent,Horizontal_Coordinate_Accuracy,Horizontal_Coordinate_Collection_Method,Paper_Map_Scale,Township_Number,Township_Direction,Range_Number,Range_Direction,Section_Number,Quarter_Section_Township_Range,Quarter_Quarter_Section_Township_Range,Elevation_of,Elevation,Elevation_Units,Elevation_Datum,Elevation_Accuracy,Elevation_Collecton_Method,Sediment_Elevation_Reference,Location_Suspect_or_Rejected_Flag,Location_Suspect_Code,Location_Suspect_Description,Location_ID_Alias,Associated_Study_ID,Record_Created_On
FWM_ABEGR1,ABERDEEN LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Grays Harbor,Lower Chehalis,Southwest Regional Office,6,24,1.71001E+13,,12/26/2007 13:44,46.98411241,-123.7423273,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,17,N,9,W,1,SE,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:32
FWM_AENOK1,AENEAS LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Okanogan,Okanogan,Central Regional Office,4,7,1.702E+13,,4/22/2006 14:33,48.678857,-119.5111606,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,37,N,26,E,25,NW,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:32
FWM_ALIKI1,ALICE LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,King,Snohomish,Northwest Regional Office,8,5,1.711E+13,,7/20/2012 0:00,47.53255502,-121.8885993,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,24,N,7,E,27,SE,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:32
FWM_ALKGR1,ALKALI LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Grant,Grand Coulee,Eastern Regional Office,4,13,1.702E+13,,4/21/2006 15:54,47.52776836,-119.4877368,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,24,N,27,E,31,SW,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:32
FWM_ALLKI1,ALLEN LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,King,Cedar-Sammamish,Northwest Regional Office,1,45,1.711E+13,,6/5/2006 15:28,47.61457533,-122.0107213,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,25,N,6,E,35,NW,NW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:33
FWM_ALTOK1,ALTA LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Okanogan,Methow,Central Regional Office,4,12,1.702E+13,,7/26/2012 0:00,48.01992512,-119.9377656,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,29,N,23,E,10,SW,SE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:33
FWM_AMBSP1,AMBER LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Spokane,Palouse,Eastern Regional Office,5,9,1.70601E+13,,7/4/2008 12:49,47.34839226,-117.7110627,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,22,N,40,E,36,SW,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:33
FWM_AMEPI1,AMERICAN LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Pierce,Chambers-Clover,Southwest Regional Office,10,28,1.711E+13,,5/10/2007 0:53,47.1298577,-122.5630201,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,0,,0,,0,,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:33
FWM_ANDJE1,ANDERSON LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Jefferson,Quilcence-Snow,Southwest Regional Office,6,24,1.711E+13,,5/10/2007 0:47,48.01885268,-122.8012455,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,29,N,1,W,9,SE,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:33
FWM_ANDMA1,ANDERSON LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Mason,Kennedy-Goldsborough,Southwest Regional Office,6,35,1.711E+13,,5/10/2007 0:49,47.38161873,-122.8463863,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,22,N,1,W,19,SE,NE,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:34
FWM_ANTCH1,ANTILON LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Chelan,Chelan,Central Regional Office,8,12,1.702E+13,,7/26/2012 0:00,47.97080062,-120.1584157,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,29,N,21,E,36,NW,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:34
FWM_ARMSN1,ARMSTRONG LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Snohomish,Stillaguamish,Northwest Regional Office,1,10,1.711E+13,,9/10/2009 23:38,48.22646783,-122.1239437,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,32,N,5,E,26,SE,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:34
FWM_ASHSK1,ASHES LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Skamania,Wind-White Salmon,Southwest Regional Office,3,14,1.70701E+13,,9/11/2006 1:51,45.6738609,-121.913236,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,2,N,7,E,37,NW,,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:34
FWM_ASPYA1,ASPEN LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Yakima,Naches,Central Regional Office,4,15,1.703E+13,,2/9/2006 12:57,46.62108834,-120.5355999,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,13,N,18,E,14,NE,NW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:35
FWM_BABGR1,BABCOCK RIDGE LAKE,"Lake, Pond, or Reservoir","littoral zone of waterbody for aquatic plant data (see 'sample collection method' in results for more details), deepest point for secchi depth data.",,N,,,WA,,Grant,Lower Crab,Eastern Regional Office,4,12,1.702E+13,,6/17/2008 16:49,47.23564779,-119.9253352,Centroid of monitoring area,+/- 40 ft (12 m),Computer map - GIS-based,,20,N,23,E,10,SE,SW,,,,,,,,,,,,FW_MACROPHYTE,3/11/2014 11:35
