species,frequency,label,FP?
Alisma,17,,notFP
Alisma gramineum,1,,notFP
Alisma triviale,7,,notFP
Alismatales,4,,notFP
Amorpha fruticosa,3,,notFP
Amphiscirpus nevadensis,1,,notFP
Angelica,1,,notFP
Angiospermae,34,,notFP
Azolla,3,*,FP
Bidens,1,,notFP
Bidens beckii,5,,notFP
Bolboschoenus fluviatilis,1,,notFP
Bolboschoenus maritimus,3,,notFP
Brasenia schreberi,60,,notFP
Bryophyta,5,,notFP
Buddleja davidii,1,,notFP
Butomus umbellatus,7,,notFP
Cabomba caroliniana,2,,notFP
Callitriche,22,,notFP
Callitriche hermaphroditica,6,,notFP
Callitriche palustris,1,,notFP
Callitriche stagnalis,16,,notFP
Carex,134,,notFP
Carex comosa,4,,notFP
Carex leptalea,1,,notFP
Carex obnupta,5,,notFP
Carex retrorsa,2,,notFP
Ceratophyllum,1,,notFP
Ceratophyllum demersum,147,,notFP
Ceratophyllum echinatum,2,,notFP
Chara,166,,notFP
Cicuta bulbifera,2,,notFP
Cicuta douglasii,34,,notFP
Comarum palustre,103,,notFP
Crassula aquatica,1,,notFP
Cyperaceae,2,,notFP
Cyperus,2,,notFP
Cyperus erythrorhizos,1,,notFP
Dipsacus fullonum,3,,notFP
Drosera,1,,notFP
Dulichium arundinaceum,37,,notFP
Echinochloa crus-galli,1,,notFP
Egeria densa,14,,notFP
Elaeagnus angustifolia,4,,notFP
Elatine,2,,notFP
Eleocharis,97,,notFP
Eleocharis acicularis,2,,notFP
Eleocharis palustris,2,,notFP
Elodea,73,,notFP
Elodea canadensis,167,,notFP
Elodea nuttallii,19,,notFP
Epilobium,4,,notFP
Epilobium hirsutum,7,,notFP
Equisetum,39,,notFP
Equisetum fluviatile,14,,notFP
Eriophorum chamissonis,1,,notFP
Fallopia japonica,18,,notFP
Fontinalaceae,3,,notFP
Fontinalis,1,,notFP
Fontinalis antipyretica,37,,notFP
Glyceria,13,,notFP
Glyceria borealis,2,,notFP
Glyceria maxima,1,,notFP
Gratiola neglecta,1,,notFP
Heteranthera dubia,15,,notFP
Hibiscus moscheutos,1,,notFP
Hippuris vulgaris,12,,notFP
Hydrilla verticillata,1,,notFP
Hydrocharis morsus-ranae,1,,notFP
Hydrocotyle,1,,notFP
Hydrocotyle ranunculoides,6,,notFP
Impatiens,4,,notFP
Iris pseudacorus,157,,notFP
Isoetes,34,,notFP
Juncus,147,,notFP
Juncus balticus,1,,notFP
Juncus bulbosus,1,,notFP
Juncus effusus,4,,notFP
Juncus supiniformis,1,,notFP
Lemna,40,*,FP
Lemna minor,15,*,FP
Lemna trisulca,10,*,FP
Lilaeopsis occidentalis,1,,notFP
Limosella,1,,notFP
Limosella aquatica,5,,notFP
Lobelia dortmanna,6,,notFP
Ludwigia hexapetala,1,,notFP
Ludwigia palustris,48,,notFP
Lycopus americanus,2,,notFP
Lycopus asper,5,,notFP
Lysichiton americanum,4,,notFP
Lysimachia nummularia,2,,notFP
Lysimachia punctata,1,,notFP
Lysimachia thyrsiflora,8,,notFP
Lysimachia vulgaris,9,,notFP
Lythrum salicaria,91,,notFP
Marsilea mutica,1,,notFP
Mentha,22,,notFP
Mentha X piperita,1,,notFP
Menyanthes trifoliata,22,,notFP
Mimulus,4,,notFP
Myosotis,17,,notFP
Myosotis laxa,4,,notFP
Myosotis scorpioides,8,,notFP
Myriophyllum,23,,notFP
Myriophyllum aquaticum,10,,notFP
Myriophyllum heterophyllum,4,,notFP
Myriophyllum hippuroides,2,,notFP
Myriophyllum sibiricum,104,,notFP
Myriophyllum spicatum,136,,notFP
Myriophyllum spicatum X Myriophyllum sibiricum,13,,notFP
Myriophyllum verticillatum,13,,notFP
Najas,24,,notFP
Najas flexilis,59,,notFP
Najas guadalupensis,3,,notFP
Nasturtium officinale,7,,notFP
Nelumbo,1,,notFP
Nitella,97,,notFP
Nuphar,3,,notFP
Nuphar polysepala,177,,notFP
Nymphaea odorata,102,,notFP
Nymphaeaceae,1,,notFP
Nymphoides peltata,2,,notFP
Persicaria,26,,notFP
Persicaria amphibia,52,,notFP
Persicaria hydropiper,1,,notFP
Persicaria hydropiperoides,24,,notFP
Persicaria maculosa,11,,notFP
Phalaris arundinacea,163,,notFP
Phragmites australis,19,,notFP
Poaceae,4,,notFP
Poales,37,,notFP
Polygonum,9,,notFP
Pontederia cordata,2,,notFP
Potamogeton,172,,notFP
Potamogeton alpinus,5,,notFP
Potamogeton amplifolius,116,,notFP
Potamogeton crispus,98,,notFP
Potamogeton epihydrus,66,,notFP
Potamogeton foliosus,19,,notFP
Potamogeton friesii,8,,notFP
Potamogeton gramineus,38,,notFP
Potamogeton illinoensis,46,,notFP
Potamogeton natans,58,,notFP
Potamogeton nodosus,20,,notFP
Potamogeton obtusifolius,6,,notFP
Potamogeton praelongus,32,,notFP
Potamogeton pusillus,43,,notFP
Potamogeton richardsonii,71,,notFP
Potamogeton robbinsii,43,,notFP
Potamogeton strictifolius,1,,notFP
Potamogeton zosteriformis,69,,notFP
Ranunculus,14,,notFP
Ranunculus aquatilis,63,,notFP
Ranunculus flammula,9,,notFP
Rhododendron,1,,notFP
Rhododendron groenlandicum,5,,notFP
Rumex,3,,notFP
Ruppia cirrhosa,22,,notFP
Sagittaria,15,,notFP
Sagittaria cuneata,2,,notFP
Sagittaria graminea,3,,notFP
Sagittaria latifolia,7,,notFP
Sagittaria platyphylla,1,,notFP
Sagittaria rigida,4,,notFP
Salix,32,,notFP
Sarracenia purpurea,1,,notFP
Schoenoplectus,91,,notFP
Schoenoplectus acutus,23,,notFP
Schoenoplectus americanus,5,,notFP
Schoenoplectus pungens,1,,notFP
