"","Azolla","Eichhornia crassipes","Lemna minor","Lemna","Lemna trisulca","Spirodela polyrrhiza","Wolffia","year","site"
"FWM_ABEGR1 1996",0,0,0,0,0,0,0,1996,"FWM_ABEGR1"
"FWM_ABEGR1 2000",0,0,1,0,0,0,0,2000,"FWM_ABEGR1"
"FWM_ABEGR1 2007",0,0,0,0,0,0,0,2007,"FWM_ABEGR1"
"FWM_BADSP1 1994",0,0,0,0,1,0,0,1994,"FWM_BADSP1"
"FWM_BADSP1 2008",0,0,0,1,0,0,0,2008,"FWM_BADSP1"
"FWM_BADSP1 2011",0,0,0,0,1,0,1,2011,"FWM_BADSP1"
"FWM_BEACL1 1996",0,0,0,0,0,0,0,1996,"FWM_BEACL1"
"FWM_BEACL1 2000",0,0,1,0,0,0,0,2000,"FWM_BEACL1"
"FWM_BEASK1 1994",0,0,0,0,0,1,0,1994,"FWM_BEASK1"
"FWM_BEASK1 1999",0,0,0,0,0,0,0,1999,"FWM_BEASK1"
"FWM_BEASK1 2004",0,0,0,0,0,0,1,2004,"FWM_BEASK1"
"FWM_BEASK1 2008",0,0,0,0,0,0,0,2008,"FWM_BEASK1"
"FWM_BLAPA1 1994",0,0,0,0,0,0,0,1994,"FWM_BLAPA1"
"FWM_BLAPA1 1996",0,0,0,0,0,0,0,1996,"FWM_BLAPA1"
"FWM_BLAPA1 1997",0,0,0,0,0,0,0,1997,"FWM_BLAPA1"
"FWM_BLAPA1 1999",0,0,0,0,0,0,0,1999,"FWM_BLAPA1"
"FWM_BLAPA1 2001",0,0,0,0,0,0,0,2001,"FWM_BLAPA1"
"FWM_BLAPA1 2006",0,0,0,0,0,0,0,2006,"FWM_BLAPA1"
"FWM_BLAPA1 2011",0,0,0,0,0,0,0,2011,"FWM_BLAPA1"
"FWM_BLAPA1 2013",0,0,0,1,0,0,0,2013,"FWM_BLAPA1"
"FWM_BLUOK3 1999",0,0,0,0,1,0,0,1999,"FWM_BLUOK3"
"FWM_BLUOK3 2007",0,0,0,0,0,0,0,2007,"FWM_BLUOK3"
"FWM_BLUTH1 2006",0,0,0,0,0,0,0,2006,"FWM_BLUTH1"
"FWM_BLUTH1 2007",0,0,0,1,1,0,0,2007,"FWM_BLUTH1"
"FWM_BLUTH1 2008",0,0,0,1,1,0,0,2008,"FWM_BLUTH1"
"FWM_BLUTH1 2009",0,0,0,1,0,0,0,2009,"FWM_BLUTH1"
"FWM_BLUTH1 2010",0,0,0,0,0,0,0,2010,"FWM_BLUTH1"
"FWM_BLUTH1 2011",0,0,0,1,1,0,0,2011,"FWM_BLUTH1"
"FWM_BLUTH1 2012",0,0,0,1,1,0,0,2012,"FWM_BLUTH1"
"FWM_BLUTH1 2013",0,0,0,1,1,0,0,2013,"FWM_BLUTH1"
"FWM_BONWH1 2008",0,0,0,1,0,1,1,2008,"FWM_BONWH1"
"FWM_BORKI1 2011",0,0,0,0,0,0,0,2011,"FWM_BORKI1"
"FWM_BORKI1 2012",0,0,0,1,0,0,0,2012,"FWM_BORKI1"
"FWM_BRYSN1 2001",0,0,1,0,0,0,0,2001,"FWM_BRYSN1"
"FWM_BUGWH1 1998",0,0,0,0,0,0,0,1998,"FWM_BUGWH1"
"FWM_BUGWH1 2004",0,0,0,1,0,0,0,2004,"FWM_BUGWH1"
"FWM_BURGR1 1994",0,0,1,0,0,0,0,1994,"FWM_BURGR1"
"FWM_BURGR1 1996",0,0,0,0,0,0,0,1996,"FWM_BURGR1"
"FWM_BURGR1 1997",0,0,0,0,0,0,0,1997,"FWM_BURGR1"
"FWM_BURGR1 1998",0,0,0,0,0,0,0,1998,"FWM_BURGR1"
"FWM_BURGR1 1999",0,0,0,0,0,0,0,1999,"FWM_BURGR1"
"FWM_BURGR1 2001",0,0,0,1,0,0,0,2001,"FWM_BURGR1"
"FWM_BURGR1 2002",0,0,0,1,0,0,0,2002,"FWM_BURGR1"
"FWM_BURGR1 2003",0,0,0,0,0,0,0,2003,"FWM_BURGR1"
"FWM_BURGR1 2004",0,0,0,0,0,0,0,2004,"FWM_BURGR1"
"FWM_BURGR1 2005",0,0,0,0,0,0,0,2005,"FWM_BURGR1"
"FWM_BURGR1 2006",0,0,0,0,0,0,0,2006,"FWM_BURGR1"
"FWM_BURGR1 2007",0,0,0,0,0,0,0,2007,"FWM_BURGR1"
"FWM_BURGR1 2008",0,0,0,1,0,0,0,2008,"FWM_BURGR1"
"FWM_BURGR1 2009",0,0,0,1,0,0,0,2009,"FWM_BURGR1"
"FWM_BURGR1 2010",0,0,0,0,0,0,0,2010,"FWM_BURGR1"
"FWM_BURGR1 2011",0,0,0,1,0,1,0,2011,"FWM_BURGR1"
"FWM_BURGR1 2013",0,0,0,1,0,1,0,2013,"FWM_BURGR1"
"FWM_BYRPI1 2008",0,0,0,1,0,1,0,2008,"FWM_BYRPI1"
