Species,Frequency_1989,Rank_1989,Frequency_2004,Rank_2004,Label,FP?
Juncus bulbosus,537,2,2140,1,,notFP
Littorella uniflora,565,1,1838,2,,notFP
Potamogeton natans,471,3,1647,3,,notFP
Potamogeton polygonifolius,330,5,1633,4,,notFP
Myriophyllum alterniflorum,453,4,1552,5,,notFP
Lobelia dortmanna,313,6,1383,6,,notFP
Sparganium angustifolium,260,10,1140,7,,notFP
Glyceria fluitans,289,7,1052,8,,notFP
Sphagnum,80,38,1004,9,,notFP
Nymphaea alba,237,12,872,10,,notFP
Isoetes lacustris,215,14,832,11,,notFP
Fontinalis antipyretica,262,9,803,12,,notFP
Chara spp.,279,8,726,13,,notFP
Nitella spp.,175,21,686,14,,notFP
Callitriche stagnalis,206,15,664,15,,notFP
Callitriche hamulata,162,23,585,16,,notFP
Eleogiton fluitans,90,29,523,17,,notFP
Potamogeton perfoliatus,242,11,450,18,,notFP
Potamogeton berchtoldii,190,17,416,19,,notFP
Lemna minor,148,24,409,20,*,FP
Utricularia minor,59,42,364,21,,notFP
Subularia aquatica,85,34,353,22,,notFP
Elodea canadensis,183,18,316,23,,notFP
Persicaria amphibia,216,13,306,24,,notFP
Potamogeton gramineus,163,22,278,25,,notFP
Utricularia intermedia sens .lat,83,36,256,26,,notFP
Sparganium natans,71,39,239,27,,notFP
Potamogeton pectinatus,199,16,220,28,,notFP
Myriophyllum spicatum,183,18,216,29,,notFP
Nuphar lutea,131,26,214,30,,notFP
Potamogeton crispus,104,28,194,31,,notFP
Potamogeton pusillus,142,25,187,32,,notFP
Utricularia vulgaris sens. Lat.,89,30,187,32,,notFP
Apium inundatum,88,31,186,34,,notFP
Potamogeton obtusifolius,85,34,181,35,,notFP
Potamogeton filiformis,112,27,169,36,,notFP
Potamogeton alpinus,65,40,169,36,,notFP
Callitriche hermaphroditica,87,32,168,38,,notFP
Sparganium emersum,60,41,155,39,,notFP
Hippuris vulgaris,176,20,153,40,,notFP
Zannichellia palustris,86,33,145,41,,notFP
Potamogeton gramineus x perfoliatus,19,60,127,42,,notFP
Lemna trisulca,53,44,102,43,*,FP
Ranunculus baudotii,82,37,97,44,,notFP
Potamogeton praelongus,32,48,88,45,,notFP
Ranunculus peltatus,28,52,75,46,,notFP
Elatine hexandra,25,55,75,46,,notFP
Ranunculus hederaceus,22,57,74,48,,notFP
Ranunculus aquatilis sens. Str.,31,50,66,49,,notFP
Enteromorpha spp.,42,45,60,50,,notFP
Nuphar pumila,28,52,58,51,,notFP
Ranunculus trichophyllus,32,48,55,52,,notFP
Elodea nuttallii,58,43,52,53,,notFP
Isoetes echinospora,5,74,50,54,,notFP
Eriocaulon aquaticum,3,85,48,55,,notFP
Ranunculus circinatus,42,45,47,56,,notFP
Ceratophyllum demersum,28,52,44,57,,notFP
Potamogeton lucens,41,47,34,58,,notFP
Eleocharis acicularis,21,58,34,58,,notFP
Ruppia maritima,0,103,29,60,,notFP
Potamogeton friesii,30,51,28,61,,notFP
Potamogeton gramineus x lucens,5,74,27,62,,notFP
Pilularia globulifera,12,65,25,63,,notFP
Callitriche platycarpa,23,56,23,64,,notFP
Najas flexilis,11,66,22,65,,notFP
Ranunculus omiophyllus,14,63,18,66,,notFP
Elatine hydropiper,8,69,15,67,,notFP
Callitriche obtusangula,15,62,14,68,,notFP
Nuphar lutea x pumila,4,81,14,68,,notFP
Hottonia palustris,5,74,13,70,,notFP
Oenanthe aquatica,13,64,12,71,,notFP
Hydrocharis morsus-ranae,6,72,12,71,,notFP
Lemna gibba,5,74,12,71,*,FP
Potamogeton trichoides,17,61,11,74,,notFP
Fucoid algae,10,68,11,74,,notFP
Nymphoides peltata,5,74,11,74,,notFP
Riccia fluitans,5,74,9,77,*,FP
Ceratophyllum submersum,3,85,9,77,,notFP
Potamogeton coloratus,0,103,9,77,,notFP
Luronium natans,6,72,8,80,,notFP
Potamogeton rutilus,4,81,8,80,,notFP
Glyceria notata,8,69,5,82,,notFP
Spirodela polyrhiza,3,85,5,82,*,FP
Groenlandia densa,3,85,4,84,,notFP
Potamogeton gramineus x natans,0,103,4,84,,notFP
Ruppia cirrhosa,0,103,4,84,,notFP
Myriophyllum verticillatum,1,93,3,87,,notFP
Lagarosipon major,0,103,3,87,,notFP
Potamogeton gramineus x nitens,0,103,3,87,,notFP
Crassula helmsii,2,89,2,90,,notFP
Callitriche truncata,4,81,1,91,,notFP
Potamogeton compressus,4,81,1,91,,notFP
Azolla filiculoides,2,89,1,91,*,FP
Lemna minuta,1,93,1,91,*,FP
Alisma gramineum,1,93,1,91,,notFP
Ranunculus penicillatus spp. pseudofluitans,1,93,1,91,,notFP
Vallisneria spiralis,1,93,1,91,,notFP
Wolffia arrhiza,0,103,1,91,*,FP
Potamogeton epihydrus,0,103,1,91,,notFP
Potamogeton natans x polygonifolius,0,103,1,91,,notFP
Potamogeton alpinus x praelongus,0,103,1,91,,notFP
Ruppia spp.,21,58,0,102,,notFP
Glyceria declinata,11,66,0,102,,notFP
Drepanocladus spp.,8,69,0,102,,notFP
Stratiotes aloides,5,74,0,102,,notFP
Oenanthe fluviatilis,2,89,0,102,,notFP
Ricciocarpos natans,2,89,0,102,,notFP
Catabrosa aquatica,1,93,0,102,,notFP
Fontinalis squamosa,1,93,0,102,,notFP
Najas marina,1,93,0,102,,notFP
Potamogeton x lintonii,1,93,0,102,,notFP
Ranunculus fluitans,1,93,0,102,,notFP
