Group,Species,Frequency,Label,FP?
Terrestrial plant,Ranunculus repens,55,,notFP
Terrestrial plant,Achillea millefolium,53,,notFP
Terrestrial plant,Vicia cracca,53,,notFP
Terrestrial plant,Urtica dioica,51,,notFP
Lemnid,Lemna minor,49,*,FP
Terrestrial plant,Poa trivialis,46,,notFP
Terrestrial plant,Stellaria graminea,45,,notFP
Helophyte,Glyceria fluitans,43,,notFP
Terrestrial plant,Anthriscus sylvestris,43,,notFP
Terrestrial plant,Deschampsia cespitosa,43,,notFP
Terrestrial plant,Epilobium watsonii,43,,notFP
Terrestrial plant,Filipendula ulmaria,41,,notFP
Terrestrial plant,Galeopsis tetrahit,41,,notFP
Terrestrial plant,Agrostis capillaris,40,,notFP
Terrestrial plant,Rumex acetosa,39,,notFP
Terrestrial plant,Taraxacum spp.,39,,notFP
Terrestrial plant,Phleum pratense,38,,notFP
Terrestrial plant,Elymus repens,37,,notFP
Terrestrial plant,Trifolium repens,37,,notFP
Terrestrial plant,Achillea ptarmica,36,,notFP
Terrestrial plant,Rubus ideaus,36,,notFP
Terrestrial plant,Cirsium arvense,35,,notFP
Terrestrial plant,Ranunculus acris,35,,notFP
Terrestrial plant,Rumex longifolius,35,,notFP
Terrestrial plant,Carex canescens,34,,notFP
Helophyte,Alisma plantago-aquatica,32,,notFP
Helophyte,Bidens tripartita,31,,notFP
Elodeid,Potamogeton berchtoldii,29,,notFP
Terrestrial plant,Lathyrus pratensis,29,,notFP
Terrestrial plant,Salix caprea,29,,notFP
Nymphaeid,Potamogeton natans,28,,notFP
Terrestrial plant,Festuca pratensis,28,,notFP
Terrestrial plant,Galium palustre,28,,notFP
Terrestrial plant,Hypericum maculatum,28,,notFP
Terrestrial plant,Matricaria perforata,28,,notFP
Terrestrial plant,Trifolium pratense,28,,notFP
Helophyte,Carex nigra,25,,notFP
Terrestrial plant,Betula pendula,25,,notFP
Terrestrial plant,Dactylis glomerata,25,,notFP
Terrestrial plant,Carex ovalis,24,,notFP
Terrestrial plant,Scirpus sylvaticus,24,,notFP
Terrestrial plant,Cerastium fontanum,23,,notFP
Terrestrial plant,Veronica chamaedrys,23,,notFP
Terrestrial plant,Betula pubescens,22,,notFP
Terrestrial plant,Epilobium angustifolium,22,,notFP
Terrestrial plant,Juncus conglomeratus,22,,notFP
Terrestrial plant,Juncus effusus,22,,notFP
Terrestrial plant,Leontodon autumnalis,22,,notFP
Terrestrial plant,Festuca rubra,21,,notFP
Terrestrial plant,Galeopsis bifida,21,,notFP
Terrestrial plant,Salix myrsinifolia,21,,notFP
Terrestrial plant,Sorbus aucuparia,21,,notFP
Terrestrial plant,Trifolium hybridum,21,,notFP
Terrestrial plant,Equisetum pratense,20,,notFP
Terrestrial plant,Picea abies,20,,notFP
Terrestrial plant,Tussilago farfara,20,,notFP
Terrestrial plant,Artemisia vulgaris,19,,notFP
Helophyte,Sparganium erectum,18,,notFP
Terrestrial plant,Leucanthemum vulgare,18,,notFP
Terrestrial plant,Alopecurus pratensis,17,,notFP
Terrestrial plant,Angelica sylvestris,17,,notFP
Terrestrial plant,Equisetum arvense,17,,notFP
Terrestrial plant,Myosotis arvensis,17,,notFP
Terrestrial plant,Poa pratensis,17,,notFP
Terrestrial plant,Salix cinerea,17,,notFP
Helophyte,Eleocharis mamillata,16,,notFP
Terrestrial plant,Juncus articulatus,16,,notFP
