Group,Species,Frequency,Label,FP?
Aquatic,Nuphar lutea,361,,notFP
Aquatic,Elodea canadensis,300,,notFP
Aquatic,Lemna minor,300,*,FP
Aquatic,Potamogeton natans,264,,notFP
Aquatic,Lemna trisulca,254,*,FP
Aquatic,Nymphaea alba,187,,notFP
Aquatic,Sparganium emersum,187,,notFP
Aquatic,Potamogeton obtusifolius,187,,notFP
Aquatic,Littorella uniflora,172,,notFP
Aquatic,Potamogeton berchtoldii,119,,notFP
Aquatic,Potamogeton alpinus,107,,notFP
Aquatic,Potamogeton perfoliatus,103,,notFP
Aquatic,Potamogeton crispus,101,,notFP
Aquatic,Myriophyllum spicatum,88,,notFP
Aquatic,Callitriche hamulata,82,,notFP
Aquatic,Sparganium angustifolium,82,,notFP
Aquatic,Potamogeton pusillus,82,,notFP
Aquatic,Myriophyllum alterniflorum,69,,notFP
Aquatic,Potamogeton pectinatus,66,,notFP
Aquatic,Hippuris vulgaris,53,,notFP
Aquatic,Isoetes lacustris,43,,notFP
Aquatic,Potamogeton lucens,38,,notFP
Aquatic,Potamogeton praelongus,35,,notFP
Aquatic,Utricularia vulgaris,34,,notFP
Aquatic,Lobelia dortmanna,32,,notFP
Aquatic,Ranunculus peltatus,31,,notFP
Aquatic,Spirodela polyrrhiza,28,*,FP
Aquatic,Potamogeton polygonifolius,27,,notFP
Aquatic,Zannichellia palustris,25,,notFP
Aquatic,Callitriche hermaphroditica,24,,notFP
Aquatic,Potamogeton gramineus,22,,notFP
Aquatic,Callitriche stagnalis,21,,notFP
