Species,Frequency,Label,FP?
Apium inundatum,62,,notFP
Callitriche hamuiata,156,,notFP
Callitriche hermaphroditica,69,,notFP
Callitriche obtusangula,13,,notFP
Callitriche stagnalis,188,,notFP
Ceratophyllum demersum,28,,notFP
Chara spp.,244,,notFP
Eiatine hexandra,23,,notFP
Eleocharis acicularis,16,,notFP
Elodea canadensis,180,,notFP
Elodea nuttallii,56,,notFP
Fontinalis antipyretica,243,,notFP
Glyceria jluirans,264,,notFP
Hippuris vulgaris,156,,notFP
Isoetes iacusrris,212,,notFP
Juncus buibosus,512,,notFP
Lemna minor,140,*,FP
Lemna trisulca,53,*,FP
Littoreila unifrora,496,,notFP
Lobelia dortmanna,304,,notFP
Myriophyiium aiternijlorum,404,,notFP
Myriophyllum spicatum,165,,notFP
Niteila spp.,165,,notFP
Nuphar lutea,129,,notFP
Nuphar pumiia,28,,notFP
Nymphaea aiba,228,,notFP
Oenanthe aquatica,12,,notFP
Polygonum amphibium,202,,notFP
Potamogeton alpinus,61,,notFP
Potamogeton berchtoldii,170,,notFP
Potamogeton crispus,99,,notFP
Potamogeton friesii,27,,notFP
Potamogeton gramineus,120,,notFP
Potamogeton jlliYormis,75,,notFP
Potamogeton lucens,40,,notFP
Potamogeton natans,434,,notFP
Potamogeton obtusvolius,81,,notFP
Potamogeton pectinatus,169,,notFP
Potamogeton perfoliatus,194,,notFP
Potamogeton poiygonifolius,320,,notFP
Potamogeton praeiongus,27,,notFP
Potamogeton pusillus,125,,notFP
Potamoneton trichoides,17,,notFP
Ranuncuius trichophyllus,30,,notFP
Ranunculus aquatilis,28,,notFP
Ranunculus baudotii,67,,notFP
Ranunculus circinatus,42,,notFP
Ranunculus hederaceus,18,,notFP
Ranunculus peltatus,26,,notFP
Scirpus jluitans,86,,notFP
Sparganium angustifoiium,247,,notFP
Sparganium emersum,56,,notFP
Sparganium minimum,70,,notFP
Sphagnum spp.,79,,notFP
Subularia aquatica,83,,notFP
Utricuiaria minor,57,,notFP
Utricuiaria vulgaris agg.,88,,notFP
Utricularia intermedia,81,,notFP
Zannichellia palustris,76,,notFP
