Species,Frequency,Label,FP?
Elodea nuttallii,8,,notFP
Lemna minor,8,*,FP
Glyceria maxima,7,,notFP
Spirodela polyrhiza,7,*,FP
Ceratophyllum demersum,5,,notFP
Lemna trisulca,5,*,FP
Sagittaria sagittifolia,5,,notFP
Sparganium erectum,5,,notFP
Butomus umbellatus,4,,notFP
Hydrocharis morsus-ranae,4,,notFP
Phragmites australis,4,,notFP
"Algae, floating",3,,notFP
Chara,3,,notFP
Eleocharis palustris,3,,notFP
Equisetum fluviatile,3,,notFP
Glyceria sp.,3,,notFP
Lemna gibba,3,*,FP
Lemna minuta,3,*,FP
Myosotis scorpioides,3,,notFP
Persicaria amphibia,3,,notFP
Phalaris arundinacea,3,,notFP
"Algae, submerged",2,,notFP
Callitriche sp.,2,,notFP
Elodea canadensis,2,,notFP
Nitella,2,,notFP
Potamogeton lucens,2,,notFP
Potamogeton pusillus,2,,notFP
Potamogeton trichoides,2,,notFP
Riccia fluitans,2,*,FP
Veronica spp.,2,,notFP
Wolffia arrhiza,2,*,FP
Alisma plantago-aquatica,1,,notFP
Alisma sp.,1,,notFP
Berula erecta,1,,notFP
Carex sp.,1,,notFP
Equisetum palustre,1,,notFP
Juncus acutifolius,1,,notFP
Nymphoides peltata,1,,notFP
Oenanthe fistulosa,1,,notFP
Potamogeton crispus,1,,notFP
Potamogeton natans,1,,notFP
Ranunculus spp.,1,,notFP
Rorippa sp.,1,,notFP
Rumex hydrolapathum,1,,notFP
Sium latifolium,1,,notFP
Typha latifolia,1,,notFP
Utricularia sp.,1,,notFP
