Group,Species,Frequency,Percent,Label,FP?
Elodeid,Potamogeton pectinatus,41,50,,notFP
Elodeid,Elodea canadensis ,32,39,,notFP
Elodeid,Potamogeton perfoliatus,32,39,,notFP
Elodeid,Batrachium circinatum,31,37.8,,notFP
Elodeid,Myriophyllum spicatum,31,37.8,,notFP
Elodeid,Potamogeton crispus,31,37.8,,notFP
Elodeid,Potamogeton obtusifolius ,31,37.8,,notFP
Isoetid,Juncus bulbosus ,31,37.8,,notFP
Isoetid,Littorella uniflora,31,37.8,,notFP
Elodeid,Potamogeton berchtoldii,28,34.1,,notFP
Bryophyte,Fontinalis antipyretica,23,28,,notFP
Isoetid,Litorella dortmanna,23,28,,notFP
Elodeid,Ceratophyllum dermersum,22,26.8,,notFP
Elodeid,Sparganium emersum,22,26.8,,notFP
Elodeid,Potamogeton pusillus,18,22,,notFP
Characean,Chara globularis Thuill.,17,20.7,,notFP
Characean,Nitella flexilis,15,18.3,,notFP
Elodeid,Callitriche platycarpa,15,18.3,,notFP
Elodeid,Lemna trisulca ,15,18.3,*,FP
Elodeid,Myriophyllum alterniflorum,14,17.1,,notFP
Elodeid,Zannichellia repens ,13,15.9,,notFP
Isoetid,Lobelia lacustris ,13,15.9,,notFP
Bryophyte,Sphagnum subsecundum,12,14.6,,notFP
Characean,Chara sp.,12,14.6,,notFP
Elodeid,Helosciadium inundatum ,12,14.6,,notFP
Isoetid,Eleocharis acicularis,12,14.6,,notFP
Bryophyte,Drepanocladus sp.,11,13.4,,notFP
Characean,Chara aspera,11,13.4,,notFP
Elodeid,Callitriche hamulata,11,13.4,,notFP
Elodeid,Potamogeton gramineus ,11,13.4,,notFP
Elodeid,Sparganium angustifolium,11,13.4,,notFP
Isoetid,Ranunculus flammula,11,13.4,,notFP
Elodeid,Hottonia palustris ,9,11,,notFP
Elodeid,Potamogeton lucens,9,11,,notFP
Isoetid,Isoetes echinospora,9,11,,notFP
Characean,Chara globularis Thuillier,8,9.8,,notFP
Elodeid,Batrachium aquatile,8,9.8,,notFP
Elodeid,Hippuris vulgaris,8,9.8,,notFP
Elodeid,Potamogeton filiformis ,8,9.8,,notFP
Elodeid,Potamogeton praelongus ,8,9.8,,notFP
Elodeid,Sparganium minimum ,8,9.8,,notFP
Bryophyte,Sphagnum sp.,7,8.5,,notFP
Elodeid,Batrachium baudotti,7,8.5,,notFP
Elodeid,Batrachium peltatum ,7,8.5,,notFP
Elodeid,Potamogeton friesii,7,8.5,,notFP
Elodeid,Zannichellia pedunculata,7,8.5,,notFP
Isoetid,Elatine hexanrda,7,8.5,,notFP
Elodeid,Utricularia australis ,6,7.3,,notFP
Elodeid,Callitriche hermaphroditica ,5,6.1,,notFP
Elodeid,Myriophyllum verticillatum,5,6.1,,notFP
Elodeid,Potamogeton alpinus,5,6.1,,notFP
Elodeid,Potamogeton zosterifolius ,5,6.1,,notFP
Isoetid,Ranunculus reptans,5,6.1,,notFP
Characean,Chara vulgaris v. papillata,4,4.9,,notFP
Characean,Nitella sp.,4,4.9,,notFP
Characean,Nitellopsis obtusa,4,4.9,,notFP
Elodeid,Batrachium trichophyllum,4,4.9,,notFP
Elodeid,Callitriche stagnalis ,4,4.9,,notFP
Elodeid,Zannichellia major,4,4.9,,notFP
Isoetid,Pilularia globulifera,4,4.9,,notFP
Bryophyte,Riccardia sinuata,3,3.7,,notFP
Characean,Chara canescens,3,3.7,,notFP
Characean,Chara tomentosa,3,3.7,,notFP
Characean,Chara vulgarus ,3,3.7,,notFP
Characean,Chara vulgarus v. contraria,3,3.7,,notFP
Characean,Tolypella nidifica ,3,3.7,,notFP
Elodeid,Batrachium hederaceum,3,3.7,,notFP
Elodeid,Batrachium sp.,3,3.7,,notFP
Elodeid,Ceratophyllum submersum,3,3.7,,notFP
Elodeid,Potamogeton x nitens,3,3.7,,notFP
Isoetid,Elatine hydropiber,3,3.7,,notFP
Isoetid,Scirpus parvulus,3,3.7,,notFP
Bryophyte,Chiloscyphus fragilis ,2,2.4,,notFP
Bryophyte,Drepanocladus exannulatus,2,2.4,,notFP
Bryophyte,Depanocladus fluitans,2,2.4,,notFP
Characean,Chara contraria ,2,2.4,,notFP
Characean,Chara globularis v. virgata,2,2.4,,notFP
Characean,Chara hispida,2,2.4,,notFP
Characean,Chara vulgaris v. longibracteata,2,2.4,,notFP
Characean,Nitella tenuissimia,2,2.4,,notFP
Characean,Nitella translucens,2,2.4,,notFP
Characean,Tolypella glomerata ,2,2.4,,notFP
Elodeid,Najas flexilis,2,2.4,,notFP
Elodeid,Potamogeton acutifolius ,2,2.4,,notFP
Elodeid,Sagittaria sagittifolia ,2,2.4,,notFP
Elodeid,Scirpus fluitains ,2,2.4,,notFP
Elodeid,Utricularia minor,2,2.4,,notFP
Elodeid,Utricularia vulgaris ,2,2.4,,notFP
Characean,Chara connivens ,1,1.2,,notFP
Characean,Chara denudata,1,1.2,,notFP
Characean,Chara fragilis,1,1.2,,notFP
Characean,Chara rudis,1,1.2,,notFP
Characean,Chara vulgaris v. denundata ,1,1.2,,notFP
Characean,Lamprothamnium papulosum,1,1.2,,notFP
Characean,Nitella mucronata,1,1.2,,notFP
Elodeid,Callitriche pendunculata ,1,1.2,,notFP
Elodeid,Callitriche sp.,1,1.2,,notFP
Elodeid,Luronium natans,1,1.2,,notFP
Elodeid,Najas marina,1,1.2,,notFP
Elodeid,Potamogeton x zizii,1,1.2,,notFP
Elodeid,Ruppia aloides,1,1.2,,notFP
Elodeid,Utricularia ochroleuca,1,1.2,,notFP
Isoetid,Subularia aquatica,1,1.2,,notFP
