Species,Frequency,Label
Apium inundatum,62,
Callitriche hamuiata,156,
Callitriche hermaphroditica,69,
Callitriche obtusangula,13,
Callitriche stagnalis,188,
Ceratophyllum demersum,28,
Chara spp.,244,
Eiatine hexandra,23,
Eleocharis acicularis,16,
Elodea canadensis,180,
Elodea nuttallii,56,
Fontinalis antipyretica,243,
Glyceria jluirans,264,
Hippuris vulgaris,156,
Isoetes iacusrris,212,
Juncus buibosus,512,
Lemna minor,140,*
Lemna trisulca,53,*
Littoreila unifrora,496,
Lobelia dortmanna,304,
Myriophyiium aiternijlorum,404,
Myriophyllum spicatum,165,
Niteila spp.,165,
Nuphar lutea,129,
Nuphar pumiia,28,
Nymphaea aiba,228,
Oenanthe aquatica,12,
Polygonum amphibium,202,
Potamogeton alpinus,61,
Potamogeton berchtoldii,170,
Potamogeton crispus,99,
Potamogeton friesii,27,
Potamogeton gramineus,120,
Potamogeton jlliYormis,75,
Potamogeton lucens,40,
Potamogeton natans,434,
Potamogeton obtusvolius,81,
Potamogeton pectinatus,169,
Potamogeton perfoliatus,194,
Potamogeton poiygonifolius,320,
Potamogeton praeiongus,27,
Potamogeton pusillus,125,
Potamoneton trichoides,17,
Ranuncuius trichophyllus,30,
Ranunculus aquatilis,28,
Ranunculus baudotii,67,
Ranunculus circinatus,42,
Ranunculus hederaceus,18,
Ranunculus peltatus,26,
Scirpus jluitans,86,
Sparganium angustifoiium,247,
Sparganium emersum,56,
Sparganium minimum,70,
Sphagnum spp.,79,
Subularia aquatica,83,
Utricuiaria minor,57,
Utricuiaria vulgaris agg.,88,
Utricularia intermedia,81,
Zannichellia palustris,76,
